#      x          Cp  
     1.00000    0.50770
     0.99504    0.04764
     0.98816    0.10460
     0.97898    0.13987
     0.96711    0.10093
     0.95356    0.09454
     0.93935    0.07572
     0.92504    0.06159
     0.91075    0.04432
     0.89643    0.02435
     0.88210    0.00538
     0.86778   -0.01515
     0.85346   -0.03784
     0.83913   -0.06182
     0.82479   -0.08893
     0.81040   -0.12012
     0.79595   -0.15276
     0.78146   -0.18604
     0.76699   -0.21942
     0.75254   -0.25280
     0.73814   -0.28635
     0.72378   -0.31957
     0.70944   -0.35139
     0.69512   -0.38227
     0.68080   -0.41303
     0.66651   -0.44318
     0.65225   -0.47164
     0.63800   -0.49811
     0.62375   -0.52213
     0.60948   -0.54348
     0.59520   -0.56309
     0.58090   -0.58121
     0.56658   -0.59800
     0.55224   -0.61339
     0.53787   -0.62787
     0.52349   -0.64196
     0.50908   -0.65590
     0.49466   -0.66990
     0.48022   -0.68421
     0.46577   -0.69900
     0.45131   -0.71462
     0.43684   -0.73096
     0.42238   -0.74831
     0.40792   -0.76636
     0.39345   -0.78444
     0.37898   -0.80295
     0.36449   -0.82353
     0.35003   -0.84646
     0.33558   -0.86992
     0.32113   -0.89324
     0.30668   -0.91809
     0.29222   -0.94554
     0.27777   -0.97560
     0.26335   -1.00897
     0.24896   -1.04441
     0.23458   -1.08088
     0.22020   -1.12062
     0.20584   -1.16551
     0.19150   -1.21609
     0.17722   -1.27336
     0.16297   -1.33560
     0.14875   -1.40512
     0.13459   -1.49036
     0.12053   -1.58990
     0.10657   -1.70462
     0.09273   -1.84492
     0.07907   -2.02293
     0.06572   -2.25482
     0.05289   -2.56216
     0.04094   -2.97713
     0.03044   -3.51633
     0.02188   -4.14570
     0.01537   -4.90705
     0.01061   -5.81639
     0.00717   -6.70142
     0.00462   -7.63180
     0.00268   -9.23221
     0.00130  -10.61756
     0.00045  -11.20291
     0.00005  -11.20657
     0.00005   -9.36836
     0.00046   -6.42642
     0.00131   -3.94282
     0.00268   -1.95997
     0.00461   -0.63854
     0.00716    0.10872
     0.01060    0.58316
     0.01535    0.85572
     0.02182    0.97741
     0.03039    0.99833
     0.04095    0.96344
     0.05290    0.90700
     0.06572    0.84747
     0.07907    0.79105
     0.09273    0.73948
     0.10657    0.69286
     0.12053    0.65076
     0.13459    0.61315
     0.14875    0.57902
     0.16297    0.54706
     0.17722    0.51793
     0.19150    0.49148
     0.20584    0.46676
     0.22020    0.44352
     0.23458    0.42148
     0.24896    0.40080
     0.26335    0.38185
     0.27777    0.36411
     0.29222    0.34697
     0.30668    0.33046
     0.32113    0.31439
     0.33558    0.29900
     0.35003    0.28480
     0.36449    0.27143
     0.37898    0.25807
     0.39345    0.24474
     0.40792    0.23204
     0.42238    0.22006
     0.43684    0.20846
     0.45131    0.19703
     0.46577    0.18586
     0.48022    0.17483
     0.49466    0.16408
     0.50908    0.15363
     0.52349    0.14360
     0.53787    0.13408
     0.55224    0.12517
     0.56658    0.11715
     0.58090    0.11032
     0.59520    0.10465
     0.60948    0.10026
     0.62375    0.09734
     0.63800    0.09648
     0.65225    0.09760
     0.66651    0.10047
     0.68080    0.10495
     0.69512    0.11037
     0.70944    0.11643
     0.72378    0.12367
     0.73814    0.13240
     0.75254    0.14190
     0.76699    0.15183
     0.78146    0.16229
     0.79595    0.17323
     0.81040    0.18424
     0.82479    0.19473
     0.83913    0.20261
     0.85346    0.20838
     0.86778    0.21328
     0.88210    0.21652
     0.89643    0.21837
     0.91075    0.22077
     0.92504    0.22052
     0.93935    0.21676
     0.95356    0.21578
     0.96711    0.20252
     0.97898    0.21806
     0.98816    0.16555
     0.99504    0.08894
     1.00000    0.50770
