#      x          Cp  
     1.00000    0.54974
     0.99365    0.04838
     0.98545    0.22085
     0.97593    0.22899
     0.96478    0.20308
     0.95211    0.19082
     0.93817    0.17467
     0.92332    0.15454
     0.90782    0.12996
     0.89190    0.10345
     0.87570    0.07396
     0.85930    0.04127
     0.84271    0.00298
     0.82589   -0.04089
     0.80883   -0.08907
     0.79157   -0.14272
     0.77422   -0.19959
     0.75692   -0.25633
     0.73979   -0.31281
     0.72285   -0.36845
     0.70606   -0.42217
     0.68941   -0.47467
     0.67289   -0.52647
     0.65651   -0.57490
     0.64019   -0.61807
     0.62389   -0.65741
     0.60759   -0.69287
     0.59125   -0.72389
     0.57484   -0.75037
     0.55833   -0.77429
     0.54173   -0.79639
     0.52504   -0.81707
     0.50826   -0.83672
     0.49140   -0.85575
     0.47446   -0.87452
     0.45745   -0.89350
     0.44038   -0.91308
     0.42328   -0.93411
     0.40615   -0.95641
     0.38900   -0.97899
     0.37182   -1.00300
     0.35465   -1.03075
     0.33753   -1.06047
     0.32043   -1.09073
     0.30337   -1.12335
     0.28635   -1.15923
     0.26941   -1.19690
     0.25252   -1.23694
     0.23570   -1.28157
     0.21899   -1.33129
     0.20243   -1.38699
     0.18604   -1.44801
     0.16986   -1.51631
     0.15399   -1.59627
     0.13852   -1.68329
     0.12352   -1.77933
     0.10917   -1.89200
     0.09569   -2.02397
     0.08327   -2.17268
     0.07205   -2.33337
     0.06209   -2.51510
     0.05337   -2.71248
     0.04579   -2.91256
     0.03921   -3.11562
     0.03347   -3.33794
     0.02847   -3.56642
     0.02409   -3.80616
     0.02024   -4.05484
     0.01684   -4.31368
     0.01382   -4.61389
     0.01115   -4.90841
     0.00880   -5.22098
     0.00675   -5.55337
     0.00499   -5.79747
     0.00351   -5.88479
     0.00229   -5.81750
     0.00134   -5.60934
     0.00066   -5.21519
     0.00023   -4.70969
     0.00003   -4.16066
     0.00003   -3.55342
     0.00023   -2.90780
     0.00066   -2.26554
     0.00134   -1.62651
     0.00229   -1.01804
     0.00351   -0.49402
     0.00499   -0.06105
     0.00675    0.28262
     0.00880    0.53946
     0.01115    0.71969
     0.01382    0.84316
     0.01684    0.92417
     0.02024    0.97219
     0.02409    0.99547
     0.02847    0.99941
     0.03347    0.98809
     0.03921    0.96476
     0.04579    0.93181
     0.05337    0.89158
     0.06209    0.84632
     0.07205    0.79762
     0.08327    0.74691
     0.09569    0.69655
     0.10917    0.64758
     0.12352    0.60051
     0.13852    0.55591
     0.15399    0.51484
     0.16986    0.47739
     0.18604    0.44214
     0.20243    0.40947
     0.21899    0.37930
     0.23570    0.35097
     0.25252    0.32427
     0.26941    0.29895
     0.28635    0.27535
     0.30337    0.25337
     0.32043    0.23228
     0.33753    0.21216
     0.35465    0.19349
     0.37182    0.17556
     0.38900    0.15746
     0.40615    0.14001
     0.42328    0.12358
     0.44038    0.10763
     0.45745    0.09197
     0.47446    0.07693
     0.49140    0.06263
     0.50826    0.04927
     0.52504    0.03700
     0.54173    0.02604
     0.55833    0.01659
     0.57484    0.00891
     0.59125    0.00346
     0.60759    0.00143
     0.62389    0.00288
     0.64019    0.00755
     0.65651    0.01553
     0.67289    0.02778
     0.68941    0.04322
     0.70606    0.06019
     0.72285    0.07904
     0.73979    0.10029
     0.75692    0.12323
     0.77422    0.14750
     0.79157    0.17310
     0.80883    0.19769
     0.82589    0.21950
     0.84271    0.23914
     0.85930    0.25541
     0.87570    0.26793
     0.89190    0.27833
     0.90782    0.28657
     0.92332    0.29341
     0.93817    0.29660
     0.95211    0.29631
     0.96478    0.29247
     0.97593    0.30098
     0.98545    0.27783
     0.99365    0.09367
     1.00000    0.54974
