#      x          Cp  
     1.00000    0.42837
     0.99175    0.24588
     0.98114    0.18548
     0.96915    0.13198
     0.95562    0.08706
     0.94066    0.04613
     0.92480    0.00885
     0.90866   -0.02501
     0.89260   -0.05608
     0.87662   -0.08517
     0.86068   -0.11275
     0.84472   -0.13920
     0.82872   -0.16476
     0.81265   -0.18959
     0.79651   -0.21370
     0.78033   -0.23707
     0.76412   -0.25995
     0.74788   -0.28251
     0.73165   -0.30487
     0.71543   -0.32718
     0.69922   -0.34969
     0.68303   -0.37278
     0.66686   -0.39616
     0.65071   -0.41968
     0.63458   -0.44328
     0.61846   -0.46687
     0.60235   -0.49031
     0.58624   -0.51325
     0.57013   -0.53597
     0.55401   -0.55877
     0.53788   -0.58181
     0.52174   -0.60528
     0.50559   -0.62939
     0.48945   -0.65468
     0.47332   -0.68109
     0.45721   -0.70832
     0.44113   -0.73633
     0.42506   -0.76512
     0.40902   -0.79471
     0.39300   -0.82509
     0.37699   -0.85636
     0.36100   -0.88871
     0.34503   -0.92235
     0.32906   -0.95753
     0.31313   -0.99457
     0.29722   -1.03429
     0.28136   -1.07760
     0.26556   -1.12372
     0.24982   -1.17258
     0.23416   -1.22433
     0.21857   -1.27938
     0.20307   -1.33842
     0.18766   -1.40297
     0.17235   -1.47387
     0.15718   -1.55244
     0.14219   -1.64442
     0.12749   -1.75075
     0.11314   -1.86790
     0.09925   -1.99653
     0.08593   -2.13868
     0.07350   -2.31948
     0.06237   -2.56361
     0.05262   -2.80610
     0.04410   -3.00648
     0.03668   -3.20608
     0.03032   -3.45338
     0.02491   -3.82756
     0.02032   -4.49554
     0.01643   -5.10999
     0.01315   -5.51293
     0.01038   -5.70782
     0.00806   -5.84973
     0.00613   -5.98424
     0.00453   -6.10850
     0.00321   -6.21171
     0.00214   -6.27470
     0.00129   -6.27001
     0.00066   -6.16141
     0.00024   -5.90393
     0.00003   -5.45424
     0.00003   -4.71960
     0.00024   -3.80173
     0.00066   -2.89711
     0.00129   -2.07381
     0.00214   -1.36283
     0.00321   -0.76940
     0.00453   -0.28606
     0.00613    0.09987
     0.00806    0.40188
     0.01038    0.63188
     0.01315    0.80008
     0.01643    0.91352
     0.02032    0.97623
     0.02491    0.99880
     0.03032    0.99536
     0.03668    0.97328
     0.04410    0.93622
     0.05262    0.88863
     0.06237    0.83672
     0.07350    0.78403
     0.08593    0.72931
     0.09925    0.67552
     0.11314    0.62619
     0.12749    0.58173
     0.14219    0.54195
     0.15718    0.50564
     0.17235    0.47204
     0.18766    0.44154
     0.20307    0.41386
     0.21857    0.38860
     0.23416    0.36566
     0.24982    0.34483
     0.26556    0.32591
     0.28136    0.30864
     0.29722    0.29273
     0.31313    0.27766
     0.32906    0.26350
     0.34503    0.25035
     0.36100    0.23818
     0.37699    0.22695
     0.39300    0.21661
     0.40902    0.20714
     0.42506    0.19847
     0.44113    0.19052
     0.45721    0.18320
     0.47332    0.17645
     0.48945    0.17017
     0.50559    0.16415
     0.52174    0.15828
     0.53788    0.15279
     0.55401    0.14774
     0.57013    0.14319
     0.58624    0.13919
     0.60235    0.13587
     0.61846    0.13340
     0.63458    0.13154
     0.65071    0.13017
     0.66686    0.12922
     0.68303    0.12862
     0.69922    0.12825
     0.71543    0.12786
     0.73165    0.12769
     0.74788    0.12786
     0.76412    0.12845
     0.78033    0.12955
     0.79651    0.13125
     0.81265    0.13375
     0.82872    0.13701
     0.84472    0.14103
     0.86068    0.14587
     0.87662    0.15166
     0.89260    0.15858
     0.90866    0.16688
     0.92480    0.17711
     0.94066    0.19005
     0.95562    0.20642
     0.96915    0.22713
     0.98114    0.25556
     0.99175    0.29317
     1.00000    0.42837
