#      x          Cp  
     1.00000    0.35718
     0.99346    0.14845
     0.98499    0.08348
     0.97526    0.02335
     0.96398   -0.03045
     0.95098   -0.08222
     0.93713   -0.12925
     0.92361   -0.17060
     0.90988   -0.21007
     0.89580   -0.25099
     0.88198   -0.29347
     0.86836   -0.33470
     0.85481   -0.37389
     0.84124   -0.40994
     0.82758   -0.44122
     0.81379   -0.46522
     0.79985   -0.47588
     0.78580   -0.46166
     0.77167   -0.43691
     0.75753   -0.41040
     0.74344   -0.38807
     0.72943   -0.37589
     0.71556   -0.38127
     0.70187   -0.41819
     0.68839   -0.53203
     0.67510   -0.69103
     0.66194   -0.85932
     0.64886   -0.98647
     0.63577   -0.99571
     0.62262   -0.94820
     0.60939   -0.87348
     0.59605   -0.78817
     0.58260   -0.70499
     0.56904   -0.63552
     0.55539   -0.59207
     0.54169   -0.61898
     0.52795   -0.70599
     0.51418   -0.81154
     0.50033   -0.90597
     0.48636   -0.93114
     0.47223   -0.92578
     0.45797   -0.91590
     0.44364   -0.93430
     0.42932   -0.98907
     0.41508   -1.05177
     0.40090   -1.10904
     0.38674   -1.13676
     0.37252   -1.14999
     0.35821   -1.15918
     0.34380   -1.17202
     0.32931   -1.19346
     0.31483   -1.22429
     0.30035   -1.27275
     0.28596   -1.35786
     0.27176   -1.45650
     0.25774   -1.55167
     0.24379   -1.60883
     0.22979   -1.62096
     0.21563   -1.62452
     0.20129   -1.63801
     0.18687   -1.69514
     0.17249   -1.78020
     0.15823   -1.88291
     0.14410   -2.00548
     0.13007   -2.14690
     0.11617   -2.29647
     0.10243   -2.44312
     0.08895   -2.54104
     0.07546   -2.68635
     0.06193   -3.08910
     0.04875   -3.55101
     0.03874   -3.85739
     0.03072   -4.18509
     0.02160   -4.49318
     0.01265   -5.06356
     0.00709   -7.20102
     0.00434   -9.52524
     0.00255  -12.43116
     0.00131  -16.29613
     0.00051  -21.24250
     0.00008  -26.16354
     0.00001  -25.93979
     0.00031  -17.79777
     0.00100  -10.29492
     0.00211   -5.51818
     0.00376   -2.65171
     0.00623   -0.90230
     0.01061    0.23600
     0.02045    0.84817
     0.03005    0.98584
     0.03827    0.99856
     0.04862    0.97126
     0.06221    0.92394
     0.07601    0.88263
     0.08979    0.83957
     0.10371    0.79860
     0.11798    0.76651
     0.13240    0.74086
     0.14683    0.71942
     0.16122    0.69715
     0.17557    0.67438
     0.18990    0.65275
     0.20424    0.63381
     0.21859    0.61888
     0.23297    0.60646
     0.24738    0.59607
     0.26182    0.58734
     0.27626    0.57986
     0.29071    0.57325
     0.30514    0.56686
     0.31956    0.56026
     0.33396    0.55356
     0.34836    0.54640
     0.36277    0.53767
     0.37719    0.52868
     0.39162    0.52071
     0.40604    0.51658
     0.42040    0.51674
     0.43470    0.51746
     0.44896    0.51660
     0.46322    0.51031
     0.47753    0.50118
     0.49193    0.49103
     0.50639    0.48158
     0.52090    0.47361
     0.53539    0.46647
     0.54990    0.46044
     0.56439    0.45636
     0.57885    0.45303
     0.59328    0.44966
     0.60768    0.44500
     0.62206    0.43898
     0.63642    0.43246
     0.65078    0.42570
     0.66515    0.41887
     0.67954    0.41202
     0.69397    0.40513
     0.70844    0.39826
     0.72291    0.39145
     0.73731    0.38474
     0.75165    0.37822
     0.76597    0.37199
     0.78030    0.36618
     0.79470    0.36102
     0.80915    0.35747
     0.82342    0.35518
     0.83748    0.35315
     0.85136    0.35094
     0.86512    0.34813
     0.87889    0.34418
     0.89281    0.33841
     0.90707    0.32810
     0.92118    0.31353
     0.93495    0.29797
     0.94897    0.28259
     0.96258    0.27124
     0.97439    0.26442
     0.98451    0.26178
     0.99327    0.26666
     1.00000    0.35718
