#      x          Cp  
     1.00000    0.34719
     0.99196    0.10547
     0.98003    0.01904
     0.96697   -0.05168
     0.95369   -0.10325
     0.94028   -0.14608
     0.92681   -0.18331
     0.91330   -0.21617
     0.89974   -0.24688
     0.88617   -0.27586
     0.87257   -0.30179
     0.85894   -0.32556
     0.84528   -0.34943
     0.83161   -0.37324
     0.81794   -0.39520
     0.80425   -0.41504
     0.79052   -0.43461
     0.77678   -0.45554
     0.76304   -0.47660
     0.74930   -0.49649
     0.73556   -0.51513
     0.72179   -0.53353
     0.70801   -0.55247
     0.69422   -0.57163
     0.68043   -0.59086
     0.66664   -0.61010
     0.65285   -0.62920
     0.63905   -0.64776
     0.62525   -0.66585
     0.61143   -0.68396
     0.59761   -0.70266
     0.58379   -0.72180
     0.56996   -0.74110
     0.55614   -0.76041
     0.54231   -0.77981
     0.52848   -0.79922
     0.51464   -0.81861
     0.50080   -0.83839
     0.48695   -0.85911
     0.47310   -0.88099
     0.45926   -0.90371
     0.44541   -0.92722
     0.43157   -0.95161
     0.41773   -0.97715
     0.40389   -1.00435
     0.39007   -1.03291
     0.37625   -1.06275
     0.36245   -1.09390
     0.34866   -1.12614
     0.33488   -1.15930
     0.32112   -1.19340
     0.30737   -1.22872
     0.29363   -1.26552
     0.27991   -1.30392
     0.26620   -1.34418
     0.25251   -1.38663
     0.23885   -1.43155
     0.22521   -1.47974
     0.21160   -1.53118
     0.19802   -1.58636
     0.18449   -1.64580
     0.17100   -1.71063
     0.15756   -1.78218
     0.14419   -1.86072
     0.13089   -1.94808
     0.11769   -2.04572
     0.10460   -2.15716
     0.09165   -2.28292
     0.07885   -2.42751
     0.06624   -2.59900
     0.05385   -2.81812
     0.04180   -3.12966
     0.03053   -3.57815
     0.02066   -4.27869
     0.01307   -5.29659
     0.00813   -6.51620
     0.00480   -8.15747
     0.00249  -10.69811
     0.00107  -12.55321
     0.00028  -14.58565
     0.00000  -15.41150
     0.00020  -11.75394
     0.00091   -7.60779
     0.00226   -3.90995
     0.00444   -1.22503
     0.00758    0.02729
     0.01202    0.63956
     0.01868    0.92349
     0.02800    0.99916
     0.03926    0.97901
     0.05161    0.92916
     0.06447    0.87590
     0.07762    0.82712
     0.09096    0.78443
     0.10443    0.74823
     0.11804    0.71762
     0.13175    0.69081
     0.14550    0.66743
     0.15930    0.64722
     0.17314    0.62957
     0.18701    0.61369
     0.20091    0.59945
     0.21483    0.58666
     0.22875    0.57513
     0.24270    0.56465
     0.25665    0.55507
     0.27061    0.54633
     0.28458    0.53833
     0.29855    0.53108
     0.31252    0.52472
     0.32646    0.51917
     0.34038    0.51406
     0.35428    0.50902
     0.36818    0.50413
     0.38208    0.49951
     0.39597    0.49520
     0.40985    0.49100
     0.42372    0.48671
     0.43759    0.48228
     0.45145    0.47773
     0.46532    0.47298
     0.47919    0.46805
     0.49306    0.46296
     0.50694    0.45765
     0.52082    0.45223
     0.53472    0.44682
     0.54863    0.44148
     0.56254    0.43618
     0.57645    0.43096
     0.59036    0.42581
     0.60427    0.42065
     0.61819    0.41538
     0.63211    0.41006
     0.64604    0.40479
     0.65996    0.39973
     0.67389    0.39473
     0.68781    0.38965
     0.70174    0.38441
     0.71567    0.37918
     0.72960    0.37416
     0.74353    0.36927
     0.75745    0.36427
     0.77137    0.35897
     0.78530    0.35361
     0.79923    0.34852
     0.81316    0.34363
     0.82708    0.33871
     0.84099    0.33368
     0.85489    0.32847
     0.86879    0.32299
     0.88269    0.31734
     0.89658    0.31157
     0.91047    0.30582
     0.92434    0.30021
     0.93819    0.29447
     0.95200    0.28810
     0.96578    0.28109
     0.97930    0.27480
     0.99174    0.27487
     1.00000    0.34719
