#      x          Cp  
     1.00000-1846.88456
     0.99302  -10.72898
     0.98268    0.15204
     0.97141   -0.40277
     0.95911   -0.33686
     0.94565   -0.37617
     0.93085   -0.39974
     0.91458   -0.42587
     0.89671   -0.45420
     0.87718   -0.48309
     0.85595   -0.51381
     0.83313   -0.55105
     0.80884   -0.58969
     0.78327   -0.63450
     0.75666   -0.68618
     0.72925   -0.74216
     0.70120   -0.80492
     0.67281   -0.87967
     0.64439   -0.96363
     0.61617   -1.05874
     0.58832   -1.17207
     0.56098   -1.30501
     0.53448   -1.45969
     0.50916   -1.64481
     0.48555   -1.87483
     0.46399   -2.13923
     0.44437   -2.43242
     0.42697   -2.88859
     0.41174   -3.43719
     0.39791   -3.87433
     0.38478   -4.19105
     0.37193   -4.37985
     0.35905   -4.40933
     0.34600   -4.41177
     0.33287   -4.50142
     0.31980   -4.60078
     0.30673   -4.61847
     0.29353   -4.57710
     0.28017   -4.54097
     0.26672   -4.51797
     0.25323   -4.48908
     0.23974   -4.45387
     0.22628   -4.42000
     0.21293   -4.38859
     0.19975   -4.35176
     0.18678   -4.30954
     0.17409   -4.27064
     0.16173   -4.23368
     0.14978   -4.19281
     0.13826   -4.14860
     0.12723   -4.10219
     0.11671   -4.05471
     0.10673   -4.01056
     0.09732   -3.96542
     0.08848   -3.91563
     0.08021   -3.86312
     0.07250   -3.81248
     0.06534   -3.76228
     0.05871   -3.71125
     0.05258   -3.65931
     0.04693   -3.60657
     0.04173   -3.55469
     0.03695   -3.50183
     0.03256   -3.45234
     0.02855   -3.40301
     0.02489   -3.34797
     0.02155   -3.28374
     0.01851   -3.21556
     0.01575   -3.14983
     0.01324   -3.09560
     0.01098   -3.04164
     0.00895   -2.98547
     0.00715   -2.93360
     0.00557   -2.86941
     0.00422   -2.78068
     0.00308   -2.64655
     0.00214   -2.48870
     0.00138   -2.32762
     0.00078   -2.18610
     0.00035   -2.06351
     0.00008   -1.92350
    -0.00002   -1.73032
     0.00006   -1.48548
     0.00029   -1.23834
     0.00065   -1.00290
     0.00113   -0.79708
     0.00171   -0.62792
     0.00239   -0.47535
     0.00318   -0.33511
     0.00408   -0.20855
     0.00511   -0.09722
     0.00629    0.01454
     0.00767    0.13223
     0.00927    0.25821
     0.01112    0.39015
     0.01327    0.52230
     0.01573    0.65062
     0.01852    0.76868
     0.02166    0.86405
     0.02515    0.93398
     0.02899    0.97701
     0.03318    0.99599
     0.03769    0.99993
     0.04250    0.99518
     0.04765    0.98496
     0.05318    0.97119
     0.05915    0.95509
     0.06560    0.93694
     0.07259    0.91669
     0.08018    0.89500
     0.08847    0.87248
     0.09757    0.84927
     0.10760    0.82553
     0.11870    0.80136
     0.13102    0.77677
     0.14470    0.75158
     0.15987    0.72617
     0.17664    0.70150
     0.19509    0.67726
     0.21523    0.65448
     0.23701    0.63331
     0.26027    0.61241
     0.28474    0.59363
     0.31018    0.57566
     0.33620    0.55832
     0.36245    0.54143
     0.38857    0.52512
     0.41432    0.51007
     0.43958    0.49692
     0.46430    0.48575
     0.48849    0.47796
     0.51225    0.47381
     0.53570    0.47385
     0.55898    0.47887
     0.58225    0.48862
     0.60566    0.50501
     0.62947    0.52742
     0.65365    0.55307
     0.67780    0.58118
     0.70130    0.60752
     0.72375    0.63052
     0.74511    0.65021
     0.76543    0.66690
     0.78484    0.68077
     0.80342    0.69278
     0.82120    0.70333
     0.83821    0.71253
     0.85448    0.72110
     0.87001    0.72884
     0.88482    0.73551
     0.89895    0.74101
     0.91243    0.74583
     0.92529    0.75084
     0.93754    0.75612
     0.94922    0.76075
     0.96042    0.75381
     0.97123    0.77652
     0.98175    0.70128
     0.99206   -3.08897
     1.00000-1846.88456
