#      x          Cp  
     1.00000    0.43277
     0.99197    0.26900
     0.98205    0.21083
     0.97133    0.16853
     0.95968    0.13417
     0.94696    0.10359
     0.93303    0.07506
     0.91780    0.04762
     0.90127    0.02074
     0.88364   -0.00579
     0.86578   -0.03091
     0.84815   -0.05422
     0.83044   -0.07622
     0.81248   -0.09703
     0.79458   -0.11513
     0.77695   -0.12985
     0.75951   -0.14364
     0.74220   -0.15770
     0.72497   -0.17324
     0.70779   -0.19166
     0.69064   -0.21726
     0.67351   -0.25005
     0.65639   -0.28650
     0.63926   -0.32542
     0.62211   -0.36550
     0.60491   -0.40517
     0.58766   -0.44004
     0.57033   -0.47122
     0.55291   -0.50118
     0.53542   -0.53072
     0.51785   -0.56063
     0.50023   -0.59194
     0.48258   -0.62629
     0.46492   -0.66280
     0.44730   -0.70107
     0.42971   -0.74101
     0.41219   -0.78262
     0.39475   -0.82585
     0.37739   -0.87081
     0.36012   -0.91786
     0.34291   -0.96741
     0.32573   -1.01993
     0.30854   -1.07612
     0.29128   -1.13534
     0.27390   -1.20031
     0.25648   -1.27748
     0.23928   -1.38185
     0.22257   -1.51013
     0.20647   -1.65077
     0.19096   -1.80264
     0.17596   -1.96411
     0.16151   -2.13252
     0.14770   -2.31147
     0.13464   -2.50628
     0.12238   -2.69570
     0.11084   -2.86875
     0.09990   -3.01183
     0.08947   -3.10390
     0.07955   -3.17679
     0.07027   -3.27475
     0.06177   -3.38556
     0.05406   -3.46349
     0.04705   -3.48077
     0.04070   -3.45352
     0.03498   -3.42978
     0.02989   -3.42262
     0.02540   -3.45210
     0.02146   -3.56666
     0.01799   -3.64284
     0.01491   -3.63598
     0.01216   -3.57033
     0.00971   -3.49863
     0.00755   -3.44286
     0.00568   -3.40129
     0.00407   -3.37020
     0.00270   -3.34500
     0.00154   -3.32049
     0.00058   -3.29031
    -0.00019   -3.24640
    -0.00077   -3.17855
    -0.00118   -3.07360
    -0.00140   -2.91569
    -0.00144   -2.68746
    -0.00129   -2.37353
    -0.00095   -1.96622
    -0.00038   -1.47525
     0.00043   -0.91143
     0.00150   -0.37205
     0.00283    0.06345
     0.00442    0.39302
     0.00629    0.63037
     0.00845    0.79364
     0.01092    0.89951
     0.01368    0.96192
     0.01673    0.99234
     0.02015    0.99997
     0.02400    0.99283
     0.02840    0.97658
     0.03349    0.95370
     0.03947    0.92607
     0.04654    0.89522
     0.05494    0.86074
     0.06487    0.82192
     0.07643    0.78098
     0.08974    0.74090
     0.10487    0.70106
     0.12142    0.66050
     0.13865    0.62156
     0.15596    0.58420
     0.17312    0.54770
     0.19015    0.51314
     0.20708    0.48198
     0.22401    0.45485
     0.24100    0.43041
     0.25813    0.40862
     0.27545    0.38903
     0.29295    0.37057
     0.31058    0.35147
     0.32822    0.33173
     0.34580    0.31245
     0.36327    0.29396
     0.38062    0.27656
     0.39787    0.26066
     0.41510    0.24728
     0.43236    0.23565
     0.44971    0.22512
     0.46718    0.21534
     0.48476    0.20596
     0.50244    0.19636
     0.52017    0.18579
     0.53790    0.17502
     0.55558    0.16435
     0.57319    0.15393
     0.59073    0.14387
     0.60818    0.13418
     0.62555    0.12495
     0.64286    0.11642
     0.66011    0.10878
     0.67729    0.10224
     0.69441    0.09709
     0.71147    0.09412
     0.72846    0.09310
     0.74540    0.09348
     0.76234    0.09512
     0.77931    0.09796
     0.79641    0.10200
     0.81374    0.10744
     0.83138    0.11419
     0.84930    0.12217
     0.86734    0.13130
     0.88516    0.14142
     0.90236    0.15222
     0.91855    0.16340
     0.93353    0.17565
     0.94728    0.18949
     0.95989    0.20570
     0.97146    0.22575
     0.98212    0.25288
     0.99199    0.29560
     1.00000    0.43277
