#      x          Cp  
     1.00000    0.50052
     0.99251    0.31386
     0.98283    0.24111
     0.97179    0.18468
     0.95919    0.13710
     0.94506    0.09532
     0.93006    0.05977
     0.91509    0.02890
     0.90002   -0.00042
     0.88510   -0.03102
     0.87020   -0.06224
     0.85519   -0.09390
     0.84008   -0.12564
     0.82497   -0.15740
     0.80984   -0.18956
     0.79474   -0.22233
     0.77967   -0.25587
     0.76463   -0.29009
     0.74960   -0.32495
     0.73459   -0.36044
     0.71959   -0.39665
     0.70462   -0.43366
     0.68966   -0.47169
     0.67472   -0.51065
     0.65981   -0.55041
     0.64492   -0.59087
     0.63004   -0.63198
     0.61518   -0.67375
     0.60034   -0.71621
     0.58552   -0.75947
     0.57072   -0.80319
     0.55595   -0.84709
     0.54119   -0.89060
     0.52644   -0.93369
     0.51171   -0.97655
     0.49698   -1.01921
     0.48226   -1.06157
     0.46757   -1.10340
     0.45288   -1.14433
     0.43820   -1.18345
     0.42351   -1.22150
     0.40883   -1.25940
     0.39415   -1.29502
     0.37945   -1.32802
     0.36472   -1.36107
     0.34995   -1.39632
     0.33518   -1.43724
     0.32044   -1.48191
     0.30573   -1.53005
     0.29107   -1.58523
     0.27650   -1.64696
     0.26206   -1.71415
     0.24777   -1.78209
     0.23362   -1.84651
     0.21957   -1.90898
     0.20566   -1.96927
     0.19187   -2.02630
     0.17822   -2.07965
     0.16470   -2.12979
     0.15135   -2.17564
     0.13817   -2.21586
     0.12516   -2.25016
     0.11234   -2.27833
     0.09973   -2.29757
     0.08727   -2.30310
     0.07499   -2.31279
     0.06295   -2.33278
     0.05142   -2.39289
     0.04069   -2.51832
     0.03155   -2.66498
     0.02424   -2.88731
     0.01779   -3.23786
     0.01256   -3.51057
     0.00886   -3.86118
     0.00620   -4.39035
     0.00424   -4.94423
     0.00276   -5.51964
     0.00164   -6.08974
     0.00083   -6.59573
     0.00029   -6.92592
     0.00000   -6.90955
    -0.00002   -6.34220
     0.00023   -5.05558
     0.00075   -3.61655
     0.00155   -2.36141
     0.00264   -1.35761
     0.00407   -0.59126
     0.00593   -0.02075
     0.00832    0.39485
     0.01144    0.68834
     0.01555    0.88195
     0.02099    0.97743
     0.02784    0.99997
     0.03638    0.98633
     0.04708    0.94928
     0.05968    0.90002
     0.07325    0.84528
     0.08717    0.79033
     0.10116    0.73757
     0.11520    0.68979
     0.12936    0.64637
     0.14364    0.60691
     0.15802    0.57141
     0.17250    0.53954
     0.18710    0.51089
     0.20179    0.48480
     0.21656    0.46045
     0.23137    0.43812
     0.24623    0.41773
     0.26113    0.39908
     0.27607    0.38204
     0.29105    0.36652
     0.30607    0.35197
     0.32111    0.33819
     0.33617    0.32569
     0.35127    0.31417
     0.36639    0.30312
     0.38152    0.29264
     0.39667    0.28261
     0.41182    0.27266
     0.42695    0.26317
     0.44208    0.25459
     0.45721    0.24676
     0.47235    0.23960
     0.48749    0.23302
     0.50264    0.22693
     0.51778    0.22122
     0.53292    0.21606
     0.54805    0.21157
     0.56318    0.20798
     0.57831    0.20513
     0.59346    0.20288
     0.60862    0.20115
     0.62378    0.19989
     0.63896    0.19909
     0.65415    0.19870
     0.66934    0.19871
     0.68453    0.19917
     0.69973    0.20014
     0.71494    0.20177
     0.73018    0.20386
     0.74544    0.20624
     0.76071    0.20871
     0.77599    0.21133
     0.79128    0.21420
     0.80658    0.21743
     0.82193    0.22106
     0.83727    0.22500
     0.85262    0.22930
     0.86789    0.23395
     0.88307    0.23884
     0.89824    0.24387
     0.91352    0.24847
     0.92867    0.25401
     0.94388    0.26223
     0.95834    0.27499
     0.97125    0.29327
     0.98252    0.31944
     0.99239    0.36210
     1.00000    0.50052
