#      x          Cp  
     1.00000    0.21459
     0.99118    0.17652
     0.97852    0.14043
     0.96523    0.11154
     0.95175    0.08801
     0.93833    0.06626
     0.92488    0.04567
     0.91139    0.02645
     0.89790    0.00793
     0.88441   -0.01021
     0.87093   -0.02821
     0.85746   -0.04644
     0.84397   -0.06522
     0.83049   -0.08459
     0.81701   -0.10465
     0.80352   -0.12568
     0.79002   -0.14745
     0.77651   -0.16971
     0.76298   -0.19208
     0.74946   -0.21460
     0.73593   -0.23744
     0.72241   -0.26069
     0.70889   -0.28436
     0.69537   -0.30840
     0.68187   -0.33274
     0.66837   -0.35727
     0.65487   -0.38205
     0.64138   -0.40718
     0.62788   -0.43273
     0.61439   -0.45880
     0.60091   -0.48523
     0.58743   -0.51192
     0.57395   -0.53866
     0.56047   -0.56539
     0.54700   -0.59227
     0.53352   -0.61934
     0.52004   -0.64662
     0.50657   -0.67412
     0.49309   -0.70179
     0.47962   -0.72959
     0.46614   -0.75740
     0.45267   -0.78537
     0.43919   -0.81357
     0.42571   -0.84210
     0.41224   -0.87102
     0.39876   -0.90030
     0.38529   -0.92988
     0.37182   -0.95973
     0.35835   -0.98996
     0.34489   -1.02070
     0.33142   -1.05208
     0.31796   -1.08427
     0.30451   -1.11742
     0.29106   -1.15183
     0.27761   -1.18796
     0.26418   -1.22594
     0.25075   -1.26604
     0.23734   -1.30936
     0.22395   -1.35586
     0.21058   -1.40530
     0.19724   -1.45825
     0.18393   -1.51511
     0.17065   -1.57641
     0.15740   -1.64423
     0.14421   -1.71888
     0.13107   -1.80179
     0.11801   -1.89627
     0.10502   -2.00306
     0.09215   -2.13026
     0.07942   -2.27917
     0.06689   -2.46180
     0.05460   -2.68566
     0.04269   -2.98289
     0.03135   -3.37773
     0.02098   -3.93987
     0.01243   -4.74211
     0.00659   -5.82295
     0.00319   -7.35325
     0.00141   -8.67831
     0.00045  -10.22608
     0.00002  -14.67062
     0.00024  -12.42949
     0.00129   -4.10833
     0.00307   -1.47371
     0.00603   -0.03876
     0.01193    0.74938
     0.02098    0.98108
     0.03154    0.99357
     0.04392    0.94389
     0.05665    0.88282
     0.06939    0.82459
     0.08238    0.77195
     0.09556    0.72564
     0.10881    0.68572
     0.12211    0.65102
     0.13548    0.62084
     0.14892    0.59391
     0.16239    0.56958
     0.17589    0.54777
     0.18939    0.52797
     0.20292    0.50992
     0.21646    0.49341
     0.23001    0.47804
     0.24358    0.46369
     0.25714    0.45034
     0.27072    0.43788
     0.28429    0.42619
     0.29787    0.41524
     0.31146    0.40492
     0.32505    0.39512
     0.33864    0.38582
     0.35223    0.37703
     0.36582    0.36872
     0.37942    0.36090
     0.39301    0.35348
     0.40662    0.34642
     0.42022    0.33961
     0.43382    0.33300
     0.44743    0.32665
     0.46104    0.32056
     0.47464    0.31476
     0.48825    0.30924
     0.50186    0.30393
     0.51547    0.29880
     0.52908    0.29376
     0.54269    0.28882
     0.55631    0.28402
     0.56992    0.27938
     0.58353    0.27494
     0.59714    0.27069
     0.61075    0.26660
     0.62437    0.26265
     0.63798    0.25881
     0.65160    0.25510
     0.66521    0.25155
     0.67882    0.24821
     0.69244    0.24516
     0.70605    0.24228
     0.71967    0.23950
     0.73330    0.23670
     0.74692    0.23387
     0.76054    0.23108
     0.77416    0.22839
     0.78778    0.22589
     0.80139    0.22344
     0.81500    0.22097
     0.82861    0.21834
     0.84222    0.21562
     0.85583    0.21289
     0.86943    0.21031
     0.88303    0.20773
     0.89662    0.20495
     0.91022    0.20184
     0.92383    0.19870
     0.93740    0.19596
     0.95095    0.19297
     0.96456    0.18874
     0.97809    0.18703
     0.99106    0.19764
     1.00000    0.21459
