#      x          Cp  
     1.00000    0.71028
     0.98681    0.48068
     0.97239    0.38709
     0.95791    0.30723
     0.94266    0.24088
     0.92618    0.17490
     0.90787    0.11204
     0.88732    0.04685
     0.86452   -0.02035
     0.83983   -0.08898
     0.81360   -0.15945
     0.78614   -0.23069
     0.75802   -0.30351
     0.72959   -0.37723
     0.70123   -0.45327
     0.67331   -0.53027
     0.64608   -0.60760
     0.61904   -0.68750
     0.59214   -0.76959
     0.56569   -0.85492
     0.53972   -0.94482
     0.51425   -1.03756
     0.48944   -1.13045
     0.46536   -1.22868
     0.44209   -1.32858
     0.41967   -1.43236
     0.39809   -1.53257
     0.37739   -1.63940
     0.35750   -1.73953
     0.33843   -1.84570
     0.32016   -1.94539
     0.30265   -2.04431
     0.28587   -2.14601
     0.26982   -2.23394
     0.25445   -2.33254
     0.23978   -2.41703
     0.22576   -2.50750
     0.21239   -2.58630
     0.19963   -2.65938
     0.18747   -2.74550
     0.17589   -2.80137
     0.16487   -2.87825
     0.15438   -2.93237
     0.14442   -2.99159
     0.13494   -3.03446
     0.12594   -3.07937
     0.11738   -3.12236
     0.10926   -3.15138
     0.10155   -3.16525
     0.09422   -3.20851
     0.08728   -3.18897
     0.08068   -3.20741
     0.07443   -3.21603
     0.06851   -3.19390
     0.06290   -3.16997
     0.05759   -3.15584
     0.05256   -3.10881
     0.04782   -3.06043
     0.04333   -3.01905
     0.03911   -2.95668
     0.03513   -2.87873
     0.03140   -2.80453
     0.02790   -2.71618
     0.02463   -2.60080
     0.02159   -2.49602
     0.01876   -2.39200
     0.01615   -2.23851
     0.01374   -2.12184
     0.01154   -1.98288
     0.00955   -1.81779
     0.00775   -1.67371
     0.00615   -1.51467
     0.00474   -1.35082
     0.00353   -1.19228
     0.00251   -1.02269
     0.00167   -0.85264
     0.00102   -0.68184
     0.00052   -0.53469
     0.00019   -0.38235
     0.00002   -0.24935
     0.00002   -0.11188
     0.00019    0.02708
     0.00052    0.14926
     0.00102    0.27007
     0.00167    0.37570
     0.00251    0.47691
     0.00353    0.57116
     0.00474    0.65838
     0.00615    0.73485
     0.00775    0.80183
     0.00955    0.85927
     0.01154    0.90556
     0.01374    0.94292
     0.01615    0.97060
     0.01876    0.98872
     0.02159    0.99828
     0.02463    0.99954
     0.02790    0.99312
     0.03140    0.97962
     0.03513    0.95978
     0.03911    0.93403
     0.04333    0.90318
     0.04782    0.86823
     0.05256    0.82896
     0.05759    0.78583
     0.06290    0.74122
     0.06851    0.69337
     0.07443    0.64305
     0.08068    0.59338
     0.08728    0.54352
     0.09422    0.48801
     0.10155    0.43911
     0.10926    0.38597
     0.11738    0.33448
     0.12594    0.28531
     0.13494    0.23685
     0.14442    0.18840
     0.15438    0.14399
     0.16487    0.09940
     0.17589    0.06141
     0.18747    0.01961
     0.19963   -0.01272
     0.21239   -0.04668
     0.22576   -0.07717
     0.23978   -0.10189
     0.25445   -0.12622
     0.26982   -0.14332
     0.28587   -0.16160
     0.30265   -0.17217
     0.32016   -0.18092
     0.33843   -0.18656
     0.35750   -0.18653
     0.37739   -0.18615
     0.39809   -0.17974
     0.41967   -0.17342
     0.44209   -0.16238
     0.46536   -0.15026
     0.48944   -0.13598
     0.51425   -0.12158
     0.53972   -0.10433
     0.56569   -0.08563
     0.59214   -0.06678
     0.61904   -0.04721
     0.64608   -0.02619
     0.67331   -0.00428
     0.70123    0.01935
     0.72959    0.04443
     0.75802    0.07018
     0.78614    0.09773
     0.81360    0.12668
     0.83983    0.15789
     0.86452    0.19056
     0.88732    0.22508
     0.90787    0.26104
     0.92618    0.29796
     0.94266    0.33999
     0.95791    0.38429
     0.97239    0.44186
     0.98681    0.51444
     1.00000    0.71028
