#      x          Cp  
     1.00000    0.27889
     0.99120    0.26400
     0.98033    0.25514
     0.96859    0.23820
     0.95576    0.20824
     0.94161    0.17972
     0.92602    0.15364
     0.90898    0.12700
     0.89055    0.10347
     0.87070    0.06533
     0.84920    0.01959
     0.82604   -0.02870
     0.80165   -0.07434
     0.77647   -0.12761
     0.75065   -0.20091
     0.72487   -0.26609
     0.69943   -0.31493
     0.67446   -0.40779
     0.64955   -0.47223
     0.62486   -0.54220
     0.60073   -0.61802
     0.57725   -0.69016
     0.55456   -0.76462
     0.53256   -0.84151
     0.51112   -0.90829
     0.49006   -0.96988
     0.46911   -1.02026
     0.44817   -1.06897
     0.42710   -1.11256
     0.40592   -1.15694
     0.38465   -1.20744
     0.36348   -1.25545
     0.34250   -1.31337
     0.32200   -1.37906
     0.30215   -1.44826
     0.28307   -1.52580
     0.26491   -1.60505
     0.24769   -1.68400
     0.23146   -1.78176
     0.21621   -1.85677
     0.20190   -1.96456
     0.18848   -2.03316
     0.17587   -2.12881
     0.16404   -2.19005
     0.15291   -2.27060
     0.14247   -2.34301
     0.13268   -2.43937
     0.12351   -2.51980
     0.11490   -2.56069
     0.10678   -2.62018
     0.09916   -2.67278
     0.09199   -2.79255
     0.08526   -2.89927
     0.07895   -3.03678
     0.07302   -3.11884
     0.06743   -3.18355
     0.06214   -3.17834
     0.05713   -3.23488
     0.05237   -3.22644
     0.04784   -3.29489
     0.04355   -3.38876
     0.03948   -3.41408
     0.03564   -3.42070
     0.03200   -3.35148
     0.02854   -3.31745
     0.02523   -3.33436
     0.02209   -3.40396
     0.01912   -3.54020
     0.01634   -3.65640
     0.01378   -3.70430
     0.01147   -3.60158
     0.00940   -3.26592
     0.00752   -2.95931
     0.00577   -2.70503
     0.00413   -2.66051
     0.00265   -2.78741
     0.00148   -2.58458
     0.00068   -2.18379
     0.00024   -1.58486
     0.00003   -1.17547
     0.00000   -0.78777
     0.00007   -0.65304
     0.00035   -0.41478
     0.00081   -0.30997
     0.00162   -0.08653
     0.00281    0.17465
     0.00433    0.44546
     0.00600    0.59980
     0.00777    0.70547
     0.00969    0.79327
     0.01182    0.86881
     0.01421    0.92926
     0.01685    0.97037
     0.01971    0.99216
     0.02278    0.99979
     0.02603    0.99741
     0.02944    0.98739
     0.03305    0.97119
     0.03686    0.94905
     0.04092    0.92517
     0.04524    0.89911
     0.04982    0.87175
     0.05468    0.84323
     0.05983    0.81042
     0.06532    0.78059
     0.07113    0.74384
     0.07733    0.71103
     0.08391    0.67365
     0.09093    0.63559
     0.09843    0.60469
     0.10641    0.56375
     0.11490    0.52411
     0.12391    0.48335
     0.13352    0.44679
     0.14378    0.41723
     0.15473    0.38230
     0.16639    0.34856
     0.17877    0.31423
     0.19193    0.28466
     0.20592    0.25935
     0.22084    0.23736
     0.23670    0.21283
     0.25358    0.19678
     0.27146    0.17590
     0.29024    0.15544
     0.30987    0.14112
     0.33027    0.12322
     0.35121    0.10728
     0.37254    0.09151
     0.39401    0.07465
     0.41546    0.05927
     0.43675    0.04529
     0.45789    0.03403
     0.47897    0.02906
     0.50008    0.02583
     0.52147    0.03258
     0.54336    0.04358
     0.56591    0.05630
     0.58923    0.07347
     0.61335    0.09043
     0.63818    0.11212
     0.66350    0.12605
     0.68879    0.15380
     0.71436    0.17945
     0.74004    0.19099
     0.76565    0.22186
     0.79056    0.24786
     0.81451    0.26406
     0.83723    0.28099
     0.85835    0.30360
     0.87789    0.31855
     0.89605    0.32939
     0.91299    0.33321
     0.92875    0.33917
     0.94333    0.34437
     0.95671    0.35452
     0.96905    0.35707
     0.98049    0.35642
     0.99120    0.33827
     0.99998    0.27889
