#      x          Cp  
     1.00000    0.35598
     0.99243    0.16358
     0.98025    0.17808
     0.96666    0.16527
     0.95263    0.15615
     0.93840    0.14328
     0.92416    0.13016
     0.90992    0.11694
     0.89565    0.10373
     0.88137    0.09084
     0.86711    0.07763
     0.85288    0.06358
     0.83864    0.04861
     0.82440    0.03303
     0.81016    0.01720
     0.79594    0.00100
     0.78173   -0.01593
     0.76755   -0.03387
     0.75338   -0.05299
     0.73922   -0.07325
     0.72508   -0.09471
     0.71095   -0.11736
     0.69684   -0.14147
     0.68275   -0.16730
     0.66869   -0.19510
     0.65465   -0.22519
     0.64063   -0.25807
     0.62664   -0.29433
     0.61268   -0.33529
     0.59872   -0.38112
     0.58477   -0.43187
     0.57080   -0.48744
     0.55680   -0.54732
     0.54279   -0.61829
     0.52890   -0.70743
     0.51534   -0.84332
     0.50225   -1.02264
     0.48961   -1.21091
     0.47722   -1.38080
     0.46483   -1.48509
     0.45225   -1.55363
     0.43937   -1.60105
     0.42619   -1.63559
     0.41279   -1.66079
     0.39923   -1.67919
     0.38556   -1.69815
     0.37181   -1.71965
     0.35800   -1.74125
     0.34415   -1.76465
     0.33028   -1.79075
     0.31641   -1.81740
     0.30254   -1.84463
     0.28868   -1.87266
     0.27482   -1.90200
     0.26099   -1.93474
     0.24721   -1.97094
     0.23350   -2.00891
     0.21984   -2.04814
     0.20622   -2.08995
     0.19268   -2.13842
     0.17931   -2.20111
     0.16619   -2.26545
     0.15330   -2.31987
     0.14059   -2.36131
     0.12804   -2.39509
     0.11574   -2.42234
     0.10369   -2.43840
     0.09178   -2.42817
     0.07990   -2.41068
     0.06826   -2.44744
     0.05724   -2.51619
     0.04688   -2.55348
     0.03710   -2.57286
     0.02815   -2.62894
     0.02045   -2.69754
     0.01423   -2.78494
     0.00961   -2.88223
     0.00632   -3.04135
     0.00403   -3.16153
     0.00243   -3.31041
     0.00132   -3.52888
     0.00060   -3.85632
     0.00017   -4.12497
    -0.00002   -4.85768
     0.00017   -6.10298
     0.00105   -2.81837
     0.00262   -0.50480
     0.00469    0.26873
     0.00744    0.71341
     0.01119    0.92253
     0.01638    0.99136
     0.02365    0.99583
     0.03308    0.96099
     0.04463    0.91019
     0.05800    0.85691
     0.07213    0.80703
     0.08629    0.76423
     0.10054    0.72730
     0.11498    0.69481
     0.12954    0.66583
     0.14415    0.64005
     0.15876    0.61670
     0.17340    0.59545
     0.18805    0.57605
     0.20273    0.55822
     0.21742    0.54177
     0.23212    0.52649
     0.24684    0.51215
     0.26156    0.49870
     0.27629    0.48605
     0.29102    0.47416
     0.30576    0.46292
     0.32051    0.45224
     0.33526    0.44199
     0.35002    0.43206
     0.36477    0.42252
     0.37952    0.41340
     0.39427    0.40478
     0.40903    0.39661
     0.42380    0.38875
     0.43857    0.38108
     0.45335    0.37346
     0.46812    0.36598
     0.48289    0.35872
     0.49765    0.35174
     0.51242    0.34508
     0.52719    0.33862
     0.54196    0.33232
     0.55674    0.32609
     0.57152    0.31992
     0.58630    0.31382
     0.60108    0.30779
     0.61586    0.30178
     0.63064    0.29582
     0.64541    0.28994
     0.66019    0.28420
     0.67496    0.27860
     0.68974    0.27306
     0.70452    0.26751
     0.71929    0.26181
     0.73407    0.25606
     0.74883    0.25035
     0.76360    0.24482
     0.77837    0.23942
     0.79315    0.23397
     0.80792    0.22826
     0.82270    0.22225
     0.83746    0.21616
     0.85221    0.21012
     0.86694    0.20409
     0.88167    0.19783
     0.89643    0.19110
     0.91118    0.18395
     0.92579    0.17555
     0.94023    0.16734
     0.95476    0.16141
     0.96889    0.15199
     0.98149    0.15643
     0.99289    0.14169
     1.00000    0.35598
