#      x          Cp  
     1.00000    0.28478
     0.97500    0.07738
     0.95000    0.01554
     0.92500   -0.05261
     0.90000   -0.11343
     0.87500   -0.16938
     0.85000   -0.22938
     0.82500   -0.29466
     0.80000   -0.35627
     0.77500   -0.41775
     0.75000   -0.47870
     0.72500   -0.53996
     0.70000   -0.60137
     0.67500   -0.66186
     0.65000   -0.71984
     0.62500   -0.77279
     0.60000   -0.81990
     0.57500   -0.86016
     0.55000   -0.89516
     0.52500   -0.92660
     0.50000   -0.95697
     0.47500   -0.98793
     0.45000   -1.02165
     0.42500   -1.05843
     0.40000   -1.09732
     0.37500   -1.14040
     0.35000   -1.18769
     0.32500   -1.24180
     0.30000   -1.30461
     0.27500   -1.37513
     0.25000   -1.45401
     0.22500   -1.54453
     0.20000   -1.65330
     0.17500   -1.79072
     0.15000   -1.97182
     0.12500   -2.20480
     0.10000   -2.53765
     0.07500   -3.04953
     0.05000   -3.87866
     0.03750   -4.26893
     0.02500   -4.46503
     0.01250   -4.90918
     0.00500   -5.08975
     0.00200   -5.05367
     0.00000   -4.99110
     0.00200   -2.05554
     0.00500   -0.35532
     0.01250    0.73026
     0.02500    0.98969
     0.03750    0.99058
     0.05000    0.94810
     0.07500    0.85142
     0.10000    0.76912
     0.12500    0.69857
     0.15000    0.63830
     0.17500    0.58649
     0.20000    0.54177
     0.22500    0.50279
     0.25000    0.46841
     0.27500    0.43750
     0.30000    0.40892
     0.32500    0.38188
     0.35000    0.35584
     0.37500    0.33112
     0.40000    0.30803
     0.42500    0.28740
     0.45000    0.26995
     0.47500    0.25625
     0.50000    0.24549
     0.52500    0.23672
     0.55000    0.23058
     0.57500    0.22844
     0.60000    0.23149
     0.62500    0.24001
     0.65000    0.25278
     0.67500    0.26813
     0.70000    0.28490
     0.72500    0.30263
     0.75000    0.32181
     0.77500    0.34172
     0.80000    0.36138
     0.82500    0.37911
     0.85000    0.39418
     0.87500    0.40662
     0.90000    0.41651
     0.92500    0.42377
     0.95000    0.42169
     0.97500    0.42358
     1.00000    0.28478
