#      x          Cp  
     1.00000    0.38959
     0.99132    0.19411
     0.97884    0.11928
     0.96538    0.06757
     0.95154    0.03045
     0.93754    0.00161
     0.92350   -0.02373
     0.90944   -0.04688
     0.89536   -0.06789
     0.88127   -0.08721
     0.86716   -0.10530
     0.85304   -0.12257
     0.83891   -0.13949
     0.82478   -0.15604
     0.81064   -0.17225
     0.79650   -0.18833
     0.78236   -0.20431
     0.76823   -0.22015
     0.75409   -0.23587
     0.73994   -0.25144
     0.72580   -0.26694
     0.71165   -0.28244
     0.69751   -0.29802
     0.68336   -0.31381
     0.66921   -0.32982
     0.65506   -0.34602
     0.64091   -0.36241
     0.62676   -0.37899
     0.61262   -0.39577
     0.59847   -0.41280
     0.58432   -0.43013
     0.57018   -0.44780
     0.55603   -0.46592
     0.54189   -0.48450
     0.52775   -0.50350
     0.51361   -0.52296
     0.49947   -0.54289
     0.48534   -0.56333
     0.47120   -0.58433
     0.45707   -0.60597
     0.44294   -0.62832
     0.42881   -0.65160
     0.41469   -0.67588
     0.40057   -0.70109
     0.38646   -0.72723
     0.37236   -0.75440
     0.35826   -0.78267
     0.34417   -0.81216
     0.33008   -0.84312
     0.31600   -0.87573
     0.30193   -0.91071
     0.28789   -0.94804
     0.27387   -0.98602
     0.25984   -1.02440
     0.24582   -1.06658
     0.23182   -1.11418
     0.21785   -1.16454
     0.20390   -1.21724
     0.18997   -1.27598
     0.17608   -1.34223
     0.16224   -1.41412
     0.14845   -1.49338
     0.13471   -1.58518
     0.12105   -1.68882
     0.10749   -1.80540
     0.09401   -1.94154
     0.08066   -2.11073
     0.06753   -2.33254
     0.05477   -2.62918
     0.04272   -3.05630
     0.03192   -3.62917
     0.02293   -4.34121
     0.01604   -5.11038
     0.01094   -5.83051
     0.00732   -6.44036
     0.00473   -7.03958
     0.00279   -8.01625
     0.00140   -8.90691
     0.00050  -10.14618
     0.00006  -11.35226
     0.00006   -9.54350
     0.00050   -5.89175
     0.00140   -3.33757
     0.00279   -1.68293
     0.00473   -0.55085
     0.00732    0.14177
     0.01094    0.60702
     0.01604    0.87916
     0.02293    0.98842
     0.03192    0.99258
     0.04272    0.94613
     0.05477    0.88443
     0.06753    0.82189
     0.08066    0.76379
     0.09401    0.71082
     0.10749    0.66311
     0.12105    0.62066
     0.13471    0.58313
     0.14845    0.54967
     0.16224    0.51919
     0.17608    0.49184
     0.18997    0.46732
     0.20390    0.44463
     0.21785    0.42359
     0.23182    0.40476
     0.24582    0.38769
     0.25984    0.37130
     0.27387    0.35577
     0.28789    0.34198
     0.30193    0.32968
     0.31600    0.31814
     0.33008    0.30718
     0.34417    0.29692
     0.35826    0.28732
     0.37236    0.27835
     0.38646    0.26997
     0.40057    0.26211
     0.41469    0.25476
     0.42881    0.24782
     0.44294    0.24121
     0.45707    0.23490
     0.47120    0.22891
     0.48534    0.22326
     0.49947    0.21791
     0.51361    0.21287
     0.52775    0.20810
     0.54189    0.20359
     0.55603    0.19931
     0.57018    0.19521
     0.58432    0.19127
     0.59847    0.18752
     0.61262    0.18395
     0.62676    0.18057
     0.64091    0.17739
     0.65506    0.17438
     0.66921    0.17153
     0.68336    0.16882
     0.69751    0.16620
     0.71165    0.16365
     0.72580    0.16124
     0.73994    0.15900
     0.75409    0.15696
     0.76823    0.15516
     0.78236    0.15354
     0.79650    0.15211
     0.81064    0.15080
     0.82478    0.14961
     0.83891    0.14864
     0.85304    0.14790
     0.86716    0.14733
     0.88127    0.14721
     0.89536    0.14782
     0.90944    0.14944
     0.92350    0.15235
     0.93754    0.15642
     0.95154    0.16249
     0.96538    0.17450
     0.97884    0.19735
     0.99132    0.24102
     1.00000    0.38959
