#      x          Cp  
     1.00000    0.28971
     0.99500    0.21037
     0.99000    0.18489
     0.98000    0.20042
     0.97000    0.12748
     0.96000    0.15753
     0.95000    0.11330
     0.92500    0.07916
     0.90000    0.03654
     0.87500   -0.02012
     0.85000   -0.06398
     0.82500   -0.10929
     0.80000   -0.15581
     0.77500   -0.22151
     0.75000   -0.26353
     0.72500   -0.32426
     0.70000   -0.37782
     0.67500   -0.43245
     0.65000   -0.50954
     0.62500   -0.54508
     0.60000   -0.62419
     0.57500   -0.68155
     0.55000   -0.72734
     0.52500   -0.79767
     0.50000   -0.86870
     0.47500   -0.92641
     0.45000   -0.96505
     0.42500   -1.05733
     0.40000   -1.05250
     0.37500   -1.13075
     0.35000   -1.04438
     0.32500   -1.11980
     0.30000   -1.21430
     0.27500   -1.29830
     0.25000   -1.41325
     0.22500   -1.54669
     0.20000   -1.68237
     0.17500   -1.90241
     0.15000   -2.13541
     0.12500   -2.42145
     0.10000   -2.83904
     0.09000   -3.03679
     0.08000   -3.18255
     0.07000   -3.32525
     0.06000   -3.74756
     0.05000   -3.84510
     0.04000   -4.12976
     0.03000   -4.40610
     0.02000   -4.34150
     0.01000   -4.04671
     0.00500   -3.37664
     0.00400   -3.15997
     0.00300   -2.99506
     0.00200   -2.74223
     0.00100   -2.44620
     0.00080   -2.36604
     0.00060   -2.33603
     0.00040   -2.28715
     0.00020   -2.05291
     0.00000   -2.92649
     0.00020   -1.75381
     0.00040   -1.80323
     0.00060   -2.00072
     0.00080   -1.68143
     0.00100   -1.36487
     0.00200   -0.83015
     0.00300   -0.35581
     0.00400   -0.20299
     0.00500    0.17391
     0.01000    0.70855
     0.02000    0.98019
     0.03000    0.99691
     0.04000    0.96577
     0.05000    0.91831
     0.06000    0.87428
     0.07000    0.82449
     0.08000    0.78263
     0.09000    0.74095
     0.10000    0.70421
     0.12500    0.62172
     0.15000    0.55139
     0.17500    0.49139
     0.20000    0.43600
     0.22500    0.38702
     0.25000    0.34825
     0.27500    0.31016
     0.30000    0.27110
     0.32500    0.24727
     0.35000    0.21714
     0.37500    0.20878
     0.40000    0.18158
     0.42500    0.18193
     0.45000    0.16858
     0.47500    0.17064
     0.50000    0.17529
     0.52500    0.17075
     0.55000    0.17965
     0.57500    0.18982
     0.60000    0.19028
     0.62500    0.19787
     0.65000    0.21805
     0.67500    0.22266
     0.70000    0.23901
     0.72500    0.25026
     0.75000    0.26728
     0.77500    0.27889
     0.80000    0.29532
     0.82500    0.30596
     0.85000    0.32084
     0.87500    0.32989
     0.90000    0.34722
     0.92500    0.35701
     0.95000    0.35733
     0.96000    0.36941
     0.97000    0.35332
     0.98000    0.37522
     0.99000    0.37293
     0.99500    0.31407
     1.00000    0.28971
