#      x          Cp  
     1.00000    0.46768
     0.99243    0.24610
     0.98265    0.19441
     0.97149    0.14905
     0.95874    0.11113
     0.94446    0.07650
     0.92946    0.04533
     0.91457    0.01757
     0.89949   -0.00843
     0.88444   -0.03304
     0.86942   -0.05661
     0.85432   -0.07955
     0.83916   -0.10188
     0.82401   -0.12386
     0.80884   -0.14595
     0.79369   -0.16883
     0.77855   -0.19277
     0.76343   -0.21733
     0.74831   -0.24243
     0.73321   -0.26801
     0.71812   -0.29406
     0.70306   -0.32055
     0.68803   -0.34758
     0.67302   -0.37499
     0.65804   -0.40260
     0.64308   -0.43007
     0.62813   -0.45731
     0.61319   -0.48466
     0.59825   -0.51218
     0.58332   -0.53997
     0.56840   -0.56813
     0.55348   -0.59678
     0.53858   -0.62634
     0.52371   -0.65656
     0.50886   -0.68711
     0.49403   -0.71772
     0.47921   -0.74830
     0.46440   -0.77906
     0.44962   -0.81032
     0.43489   -0.84280
     0.42023   -0.87470
     0.40562   -0.90452
     0.39104   -0.92829
     0.37641   -0.94705
     0.36171   -0.96444
     0.34695   -0.98282
     0.33215   -1.00436
     0.31734   -1.02753
     0.30255   -1.05218
     0.28778   -1.07857
     0.27301   -1.10684
     0.25825   -1.13726
     0.24350   -1.17077
     0.22880   -1.20780
     0.21414   -1.24782
     0.19952   -1.29102
     0.18493   -1.33773
     0.17036   -1.38953
     0.15583   -1.44841
     0.14138   -1.51987
     0.12708   -1.60462
     0.11295   -1.70119
     0.09901   -1.81239
     0.08525   -1.94373
     0.07189   -2.11257
     0.05931   -2.33515
     0.04777   -2.61562
     0.03742   -2.98233
     0.02877   -3.39384
     0.02196   -3.91963
     0.01667   -4.53599
     0.01258   -5.15688
     0.00934   -5.87292
     0.00675   -6.89108
     0.00466   -7.95755
     0.00302   -8.31912
     0.00179   -8.56654
     0.00090   -8.68768
     0.00033   -8.58879
     0.00004   -8.12303
     0.00004   -6.92614
     0.00033   -5.27757
     0.00090   -3.74143
     0.00179   -2.43844
     0.00302   -1.39086
     0.00466   -0.57321
     0.00675    0.08851
     0.00934    0.50575
     0.01258    0.75501
     0.01667    0.90426
     0.02196    0.98016
     0.02877    0.99992
     0.03742    0.97995
     0.04777    0.93599
     0.05931    0.88225
     0.07189    0.82595
     0.08525    0.77032
     0.09901    0.71784
     0.11295    0.66997
     0.12708    0.62646
     0.14138    0.58682
     0.15583    0.54998
     0.17036    0.51519
     0.18493    0.48282
     0.19952    0.45275
     0.21414    0.42489
     0.22880    0.39891
     0.24350    0.37454
     0.25825    0.35132
     0.27301    0.32914
     0.28778    0.30804
     0.30255    0.28792
     0.31734    0.26865
     0.33215    0.25016
     0.34695    0.23227
     0.36171    0.21430
     0.37641    0.19699
     0.39104    0.18124
     0.40562    0.16859
     0.42023    0.15962
     0.43489    0.15261
     0.44962    0.14689
     0.46440    0.14157
     0.47921    0.13697
     0.49403    0.13321
     0.50886    0.13036
     0.52371    0.12833
     0.53858    0.12693
     0.55348    0.12594
     0.56840    0.12519
     0.58332    0.12485
     0.59825    0.12496
     0.61319    0.12555
     0.62813    0.12664
     0.64308    0.12824
     0.65804    0.13053
     0.67302    0.13344
     0.68803    0.13673
     0.70306    0.14026
     0.71812    0.14389
     0.73321    0.14766
     0.74831    0.15150
     0.76343    0.15538
     0.77855    0.15922
     0.79369    0.16290
     0.80884    0.16605
     0.82401    0.16881
     0.83916    0.17161
     0.85432    0.17473
     0.86942    0.17840
     0.88444    0.18258
     0.89949    0.18742
     0.91457    0.19312
     0.92946    0.20003
     0.94446    0.20904
     0.95874    0.22085
     0.97149    0.23621
     0.98265    0.25818
     0.99243    0.28721
     1.00000    0.46768
