#      x          Cp  
     1.00000    0.39470
     0.99257    0.20029
     0.98171    0.10851
     0.96890    0.03127
     0.95504   -0.03522
     0.94075   -0.09404
     0.92628   -0.14702
     0.91173   -0.19564
     0.89712   -0.24162
     0.88249   -0.28548
     0.86785   -0.32693
     0.85317   -0.36614
     0.83846   -0.40408
     0.82371   -0.44160
     0.80895   -0.47851
     0.79418   -0.51451
     0.77939   -0.54946
     0.76458   -0.58376
     0.74975   -0.61766
     0.73489   -0.65141
     0.72003   -0.68490
     0.70514   -0.71818
     0.69025   -0.75126
     0.67534   -0.78419
     0.66042   -0.81707
     0.64549   -0.84991
     0.63055   -0.88282
     0.61559   -0.91586
     0.60063   -0.94917
     0.58565   -0.98289
     0.57066   -1.01704
     0.55567   -1.05177
     0.54069   -1.08739
     0.52571   -1.12370
     0.51075   -1.16058
     0.49577   -1.19755
     0.48077   -1.23476
     0.46573   -1.27383
     0.45068   -1.31655
     0.43567   -1.36720
     0.42074   -1.42267
     0.40594   -1.47978
     0.39125   -1.53650
     0.37667   -1.59111
     0.36218   -1.64390
     0.34775   -1.69431
     0.33335   -1.73928
     0.31897   -1.78004
     0.30459   -1.81901
     0.29023   -1.85724
     0.27589   -1.89625
     0.26160   -1.93495
     0.24737   -1.97327
     0.23321   -2.01137
     0.21911   -2.04937
     0.20508   -2.08749
     0.19112   -2.12639
     0.17725   -2.16655
     0.16347   -2.20846
     0.14981   -2.25448
     0.13631   -2.30490
     0.12297   -2.35955
     0.10979   -2.42138
     0.09681   -2.49172
     0.08415   -2.57820
     0.07195   -2.68755
     0.06033   -2.81423
     0.04936   -2.97075
     0.03938   -3.15965
     0.03089   -3.42656
     0.02400   -3.72269
     0.01844   -4.02421
     0.01393   -4.36259
     0.01033   -4.71456
     0.00748   -5.13575
     0.00522   -5.85205
     0.00346   -6.56637
     0.00211   -7.08698
     0.00109   -7.35915
     0.00035   -7.48480
    -0.00012   -7.58058
    -0.00031   -7.53186
    -0.00021   -7.14145
     0.00022   -5.87332
     0.00100   -4.01192
     0.00213   -2.42897
     0.00363   -1.23852
     0.00550   -0.40194
     0.00775    0.18888
     0.01047    0.58624
     0.01375    0.82005
     0.01767    0.93640
     0.02242    0.98862
     0.02825    0.99952
     0.03548    0.98192
     0.04446    0.94672
     0.05525    0.90372
     0.06760    0.85972
     0.08102    0.82004
     0.09518    0.78609
     0.10987    0.75763
     0.12490    0.73363
     0.14014    0.71362
     0.15553    0.69665
     0.17101    0.68235
     0.18651    0.67016
     0.20195    0.65976
     0.21730    0.65073
     0.23257    0.64269
     0.24779    0.63545
     0.26298    0.62867
     0.27814    0.62220
     0.29329    0.61605
     0.30841    0.61023
     0.32350    0.60458
     0.33854    0.59881
     0.35356    0.59242
     0.36859    0.58516
     0.38365    0.57740
     0.39879    0.56901
     0.41405    0.55980
     0.42945    0.55044
     0.44496    0.54155
     0.46053    0.53446
     0.47608    0.52849
     0.49156    0.52301
     0.50699    0.51749
     0.52240    0.51182
     0.53781    0.50623
     0.55325    0.50078
     0.56868    0.49557
     0.58411    0.49047
     0.59951    0.48539
     0.61491    0.48023
     0.63030    0.47502
     0.64569    0.46977
     0.66108    0.46449
     0.67646    0.45917
     0.69184    0.45376
     0.70721    0.44821
     0.72258    0.44248
     0.73795    0.43662
     0.75332    0.43065
     0.76869    0.42458
     0.78405    0.41834
     0.79940    0.41181
     0.81476    0.40500
     0.83013    0.39799
     0.84549    0.39087
     0.86085    0.38355
     0.87620    0.37587
     0.89154    0.36779
     0.90689    0.35953
     0.92224    0.35118
     0.93752    0.34314
     0.95258    0.33557
     0.96725    0.32662
     0.98084    0.32450
     0.99223    0.33350
     1.00000    0.39470
