#      x          Cp  
     1.00000    0.31676
     0.99338    0.28147
     0.98485    0.27341
     0.97509    0.27044
     0.96384    0.26590
     0.95089    0.25698
     0.93652    0.23852
     0.92199    0.21497
     0.90740    0.18989
     0.89283    0.16970
     0.87856    0.15607
     0.86448    0.14427
     0.85048    0.13315
     0.83650    0.12169
     0.82248    0.10901
     0.80839    0.09414
     0.79424    0.07464
     0.78003    0.04941
     0.76578    0.02035
     0.75149   -0.01217
     0.73718   -0.04793
     0.72286   -0.08676
     0.70854   -0.12854
     0.69422   -0.17315
     0.67991   -0.22048
     0.66560   -0.27048
     0.65131   -0.32308
     0.63703   -0.37818
     0.62276   -0.43564
     0.60849   -0.49530
     0.59422   -0.55690
     0.57995   -0.62020
     0.56567   -0.68508
     0.55139   -0.75131
     0.53712   -0.81854
     0.52285   -0.88636
     0.50862   -0.95430
     0.49444   -1.02199
     0.48032   -1.08886
     0.46628   -1.15381
     0.45231   -1.21586
     0.43840   -1.27375
     0.42452   -1.32578
     0.41062   -1.36975
     0.39664   -1.39832
     0.38251   -1.40518
     0.36817   -1.40202
     0.35360   -1.39388
     0.33881   -1.38534
     0.32405   -1.38189
     0.30930   -1.38931
     0.29455   -1.43089
     0.28014   -1.51180
     0.26612   -1.59406
     0.25240   -1.65636
     0.23875   -1.64961
     0.22491   -1.60545
     0.21073   -1.55679
     0.19624   -1.53872
     0.18169   -1.57816
     0.16733   -1.63683
     0.15328   -1.70183
     0.13953   -1.75888
     0.12601   -1.80761
     0.11263   -1.84902
     0.09933   -1.87117
     0.08603   -1.84933
     0.07243   -1.88541
     0.05898   -2.06578
     0.04588   -2.33543
     0.03572   -2.65133
     0.02702   -3.09154
     0.01662   -3.77904
     0.00962   -3.62813
     0.00621   -3.76864
     0.00396   -4.01702
     0.00234   -4.35691
     0.00114   -4.79821
     0.00025   -5.35725
    -0.00037   -6.04264
    -0.00074   -6.81593
    -0.00087   -7.48498
    -0.00076   -7.50324
    -0.00037   -6.09770
     0.00033   -3.39205
     0.00142   -1.17465
     0.00298    0.01988
     0.00518    0.61880
     0.00853    0.90258
     0.01534    0.99916
     0.02775    0.96271
     0.03809    0.91558
     0.05074    0.86294
     0.06478    0.80970
     0.07900    0.76579
     0.09286    0.73921
     0.10739    0.71602
     0.12207    0.69268
     0.13679    0.67118
     0.15151    0.65108
     0.16608    0.63230
     0.18065    0.61452
     0.19532    0.59767
     0.21005    0.58233
     0.22478    0.56809
     0.23945    0.55409
     0.25408    0.53883
     0.26870    0.52122
     0.28334    0.50341
     0.29803    0.48688
     0.31274    0.47481
     0.32746    0.46572
     0.34218    0.45824
     0.35687    0.45181
     0.37155    0.44586
     0.38619    0.43987
     0.40082    0.43298
     0.41543    0.42394
     0.43004    0.41363
     0.44466    0.40239
     0.45929    0.39031
     0.47394    0.37740
     0.48861    0.36366
     0.50330    0.34893
     0.51800    0.33304
     0.53272    0.31630
     0.54745    0.29882
     0.56218    0.28072
     0.57692    0.26209
     0.59167    0.24305
     0.60642    0.22387
     0.62117    0.20464
     0.63593    0.18513
     0.65068    0.16525
     0.66543    0.14489
     0.68016    0.12384
     0.69486    0.10170
     0.70952    0.07650
     0.72412    0.04923
     0.73863    0.02220
     0.75306   -0.00327
     0.76738   -0.02565
     0.78159   -0.04312
     0.79567   -0.05320
     0.80963   -0.04871
     0.82347   -0.03312
     0.83723   -0.01242
     0.85095    0.01125
     0.86470    0.03610
     0.87859    0.06058
     0.89276    0.08319
     0.90732    0.09850
     0.92161    0.10651
     0.93564    0.11380
     0.95001    0.12369
     0.96347    0.13905
     0.97503    0.15829
     0.98490    0.18338
     0.99344    0.21833
     1.00000    0.31676
