#      x          Cp  
     1.00000    0.56747
     0.99322    0.34147
     0.98441    0.26405
     0.97424    0.19438
     0.96239    0.13352
     0.94872    0.07528
     0.93408    0.02100
     0.91963   -0.02755
     0.90488   -0.07372
     0.89029   -0.11741
     0.87600   -0.15871
     0.86185   -0.19822
     0.84771   -0.23633
     0.83350   -0.27318
     0.81916   -0.30867
     0.80467   -0.34232
     0.79002   -0.37236
     0.77526   -0.39953
     0.76041   -0.42493
     0.74551   -0.44907
     0.73057   -0.47249
     0.71564   -0.49578
     0.70072   -0.52002
     0.68583   -0.54720
     0.67097   -0.57560
     0.65616   -0.60429
     0.64137   -0.63273
     0.62662   -0.66034
     0.61188   -0.68649
     0.59713   -0.70955
     0.58237   -0.72801
     0.56757   -0.74424
     0.55273   -0.75915
     0.53783   -0.77344
     0.52288   -0.78779
     0.50788   -0.80295
     0.49286   -0.82094
     0.47784   -0.84214
     0.46282   -0.86480
     0.44782   -0.88846
     0.43285   -0.91277
     0.41791   -0.93739
     0.40300   -0.96196
     0.38811   -0.98554
     0.37323   -1.00859
     0.35836   -1.03181
     0.34348   -1.05548
     0.32860   -1.07993
     0.31371   -1.10552
     0.29882   -1.13273
     0.28392   -1.16232
     0.26902   -1.19426
     0.25412   -1.22880
     0.23923   -1.26646
     0.22436   -1.30806
     0.20952   -1.35470
     0.19472   -1.40969
     0.17997   -1.47599
     0.16532   -1.55049
     0.15079   -1.63318
     0.13644   -1.72614
     0.12229   -1.82887
     0.10833   -1.94256
     0.09444   -2.06960
     0.08057   -2.21880
     0.06703   -2.46866
     0.05438   -2.81258
     0.04282   -3.10552
     0.03246   -3.39744
     0.02342   -3.98215
     0.01589   -5.20141
     0.01071   -5.45544
     0.00729   -5.48589
     0.00488   -5.69414
     0.00310   -6.00819
     0.00176   -6.42121
     0.00077   -6.92434
     0.00006   -7.49415
    -0.00038   -8.05964
    -0.00057   -8.44499
    -0.00050   -8.30623
    -0.00017   -7.21074
     0.00048   -4.97427
     0.00146   -2.77710
     0.00280   -1.22915
     0.00458   -0.23880
     0.00694    0.36656
     0.01018    0.72503
     0.01501    0.92027
     0.02292    0.99582
     0.03316    0.99316
     0.04441    0.96741
     0.05646    0.93177
     0.06897    0.88052
     0.08171    0.81860
     0.09433    0.76080
     0.10667    0.71775
     0.11896    0.69590
     0.13145    0.68494
     0.14428    0.67834
     0.15745    0.66006
     0.17085    0.62242
     0.18436    0.57677
     0.19795    0.52897
     0.21161    0.49583
     0.22539    0.47637
     0.23932    0.46411
     0.25342    0.45710
     0.26770    0.45328
     0.28215    0.45063
     0.29675    0.44667
     0.31146    0.43515
     0.32622    0.41750
     0.34101    0.39710
     0.35578    0.37499
     0.37054    0.35221
     0.38527    0.32988
     0.40000    0.30975
     0.41475    0.29526
     0.42953    0.28424
     0.44438    0.27535
     0.45931    0.26801
     0.47431    0.26169
     0.48938    0.25589
     0.50452    0.24963
     0.51970    0.24223
     0.53491    0.23458
     0.55012    0.22687
     0.56531    0.21922
     0.58049    0.21170
     0.59562    0.20435
     0.61072    0.19711
     0.62576    0.19012
     0.64076    0.18352
     0.65572    0.17746
     0.67066    0.17208
     0.68560    0.16761
     0.70058    0.16468
     0.71562    0.16428
     0.73076    0.16485
     0.74598    0.16550
     0.76116    0.16552
     0.77634    0.16400
     0.79155    0.15982
     0.80656    0.14879
     0.82126    0.13163
     0.83560    0.11330
     0.84962    0.09562
     0.86339    0.08028
     0.87704    0.06909
     0.89071    0.06417
     0.90464    0.07233
     0.91908    0.09647
     0.93397    0.12983
     0.94868    0.16862
     0.96223    0.20769
     0.97408    0.25023
     0.98431    0.30260
     0.99318    0.36493
     1.00000    0.56747
