#      x          Cp  
     1.00000    0.46867
     0.99181    0.35453
     0.98097    0.32860
     0.96902    0.31643
     0.95643    0.30669
     0.94339    0.28396
     0.92964    0.24305
     0.91486    0.19103
     0.89895    0.13310
     0.88220    0.08321
     0.86510    0.03576
     0.84798   -0.01309
     0.83082   -0.06708
     0.81353   -0.12473
     0.79612   -0.18474
     0.77874   -0.24551
     0.76153   -0.30719
     0.74456   -0.36962
     0.72782   -0.43269
     0.71129   -0.49604
     0.69491   -0.55924
     0.67863   -0.62211
     0.66248   -0.68492
     0.64656   -0.74938
     0.63103   -0.81631
     0.61590   -0.87738
     0.60100   -0.92538
     0.58602   -0.94474
     0.57064   -0.94879
     0.55471   -0.94765
     0.53829   -0.95506
     0.52163   -0.96933
     0.50494   -0.98475
     0.48824   -0.99972
     0.47147   -1.01449
     0.45460   -1.03011
     0.43765   -1.04841
     0.42069   -1.06864
     0.40376   -1.08958
     0.38686   -1.11054
     0.36996   -1.13176
     0.35307   -1.15369
     0.33618   -1.17673
     0.31931   -1.20111
     0.30247   -1.22722
     0.28568   -1.25621
     0.26897   -1.28761
     0.25235   -1.32119
     0.23583   -1.35730
     0.21941   -1.39635
     0.20313   -1.43909
     0.18705   -1.48814
     0.17122   -1.54238
     0.15570   -1.60099
     0.14051   -1.66571
     0.12571   -1.73670
     0.11143   -1.81361
     0.09785   -1.89780
     0.08517   -1.99172
     0.07363   -2.10269
     0.06343   -2.23916
     0.05451   -2.38308
     0.04670   -2.53461
     0.03983   -2.69684
     0.03382   -2.87217
     0.02860   -3.06861
     0.02407   -3.32428
     0.02012   -3.67186
     0.01668   -4.03582
     0.01366   -4.40346
     0.01099   -4.81872
     0.00864   -5.26666
     0.00657   -5.80554
     0.00480   -6.28637
     0.00333   -6.32792
     0.00214   -6.15884
     0.00124   -5.80593
     0.00060   -5.25017
     0.00021   -4.63869
     0.00002   -4.02857
     0.00002   -3.44366
     0.00022   -2.87688
     0.00062   -2.31080
     0.00126   -1.73578
     0.00217   -1.14758
     0.00336   -0.61395
     0.00484   -0.15453
     0.00662    0.24021
     0.00870    0.51892
     0.01106    0.70625
     0.01374    0.83272
     0.01677    0.91500
     0.02022    0.96559
     0.02418    0.99193
     0.02873    0.99999
     0.03397    0.99384
     0.04001    0.97587
     0.04690    0.94827
     0.05474    0.91312
     0.06369    0.87196
     0.07393    0.82608
     0.08550    0.77590
     0.09821    0.72368
     0.11181    0.67181
     0.12611    0.62179
     0.14092    0.57456
     0.15612    0.53033
     0.17165    0.48887
     0.18748    0.45018
     0.20357    0.41376
     0.21986    0.37902
     0.23628    0.34628
     0.25280    0.31542
     0.26942    0.28627
     0.28613    0.25866
     0.30292    0.23225
     0.31977    0.20668
     0.33665    0.18218
     0.35353    0.15872
     0.37043    0.13625
     0.38732    0.11480
     0.40422    0.09442
     0.42115    0.07511
     0.43811    0.05648
     0.45506    0.03789
     0.47193    0.01895
     0.48870    0.00044
     0.50540   -0.01723
     0.52209   -0.03411
     0.53874   -0.05104
     0.55515   -0.07112
     0.57107   -0.09497
     0.58643   -0.11502
     0.60140   -0.12525
     0.61630   -0.11794
     0.63145   -0.10203
     0.64699   -0.08163
     0.66292   -0.06174
     0.67908   -0.04152
     0.69535   -0.01992
     0.71173    0.00332
     0.72828    0.02797
     0.74503    0.05368
     0.76201    0.08011
     0.77921    0.10718
     0.79658    0.13486
     0.81399    0.16353
     0.83134    0.19188
     0.84857    0.21851
     0.86568    0.24149
     0.88266    0.26467
     0.89936    0.29177
     0.91520    0.32661
     0.92986    0.35776
     0.94350    0.38075
     0.95649    0.38871
     0.96905    0.38477
     0.98098    0.38088
     0.99181    0.38876
     1.00000    0.46867
