#      x          Cp  
     1.00000    0.49304
     0.99109    0.39782
     0.98013    0.36039
     0.96834    0.32936
     0.95563    0.29889
     0.94190    0.26067
     0.92709    0.21232
     0.91117    0.15543
     0.89424    0.09502
     0.87650    0.03570
     0.85823   -0.02649
     0.83965   -0.09283
     0.82092   -0.16356
     0.80216   -0.23783
     0.78352   -0.31460
     0.76511   -0.39357
     0.74700   -0.47445
     0.72921   -0.55711
     0.71172   -0.64113
     0.69449   -0.72669
     0.67751   -0.81384
     0.66080   -0.90151
     0.64449   -0.99227
     0.62868   -1.08402
     0.61331   -1.16595
     0.59814   -1.22390
     0.58277   -1.24171
     0.56689   -1.24222
     0.55035   -1.23867
     0.53328   -1.24904
     0.51594   -1.26441
     0.49850   -1.28035
     0.48095   -1.29539
     0.46325   -1.31085
     0.44540   -1.32886
     0.42750   -1.35115
     0.40961   -1.37479
     0.39176   -1.39807
     0.37392   -1.42059
     0.35610   -1.44344
     0.33829   -1.46757
     0.32051   -1.49331
     0.30280   -1.52077
     0.28521   -1.55136
     0.26776   -1.58443
     0.25048   -1.61897
     0.23339   -1.65474
     0.21650   -1.69236
     0.19988   -1.73295
     0.18360   -1.77941
     0.16776   -1.82971
     0.15245   -1.88289
     0.13771   -1.94142
     0.12365   -2.00363
     0.11040   -2.06702
     0.09809   -2.13104
     0.08682   -2.19570
     0.07663   -2.26617
     0.06754   -2.35675
     0.05949   -2.45997
     0.05234   -2.56242
     0.04597   -2.66284
     0.04025   -2.76255
     0.03510   -2.86595
     0.03047   -2.97847
     0.02629   -3.10755
     0.02252   -3.28137
     0.01913   -3.52695
     0.01607   -3.78686
     0.01331   -4.04501
     0.01084   -4.29917
     0.00861   -4.56478
     0.00661   -4.85178
     0.00484   -5.38353
     0.00335   -5.73419
     0.00216   -5.49065
     0.00126   -5.06492
     0.00060   -4.56164
     0.00016   -4.03636
    -0.00007   -3.51500
    -0.00011   -3.00880
     0.00005   -2.51690
     0.00041   -2.03666
     0.00096   -1.58016
     0.00172   -1.15099
     0.00270   -0.75109
     0.00393   -0.38144
     0.00542   -0.04459
     0.00721    0.27301
     0.00929    0.52794
     0.01162    0.69758
     0.01421    0.81641
     0.01707    0.89702
     0.02025    0.94975
     0.02378    0.98120
     0.02770    0.99653
     0.03204    0.99984
     0.03686    0.99364
     0.04222    0.97945
     0.04819    0.95850
     0.05484    0.93190
     0.06232    0.90055
     0.07076    0.86513
     0.08033    0.82568
     0.09108    0.78190
     0.10302    0.73542
     0.11606    0.68810
     0.13011    0.64117
     0.14501    0.59566
     0.16059    0.55174
     0.17674    0.50948
     0.19339    0.46940
     0.21043    0.43131
     0.22777    0.39512
     0.24536    0.36101
     0.26314    0.32873
     0.28107    0.29815
     0.29912    0.26919
     0.31730    0.24150
     0.33556    0.21498
     0.35387    0.18920
     0.37215    0.16363
     0.39038    0.13921
     0.40858    0.11717
     0.42684    0.09756
     0.44516    0.07859
     0.46345    0.05801
     0.48158    0.03662
     0.49951    0.01591
     0.51730   -0.00337
     0.53496   -0.02214
     0.55232   -0.04329
     0.56907   -0.06965
     0.58513   -0.09162
     0.60072   -0.10110
     0.61622   -0.08808
     0.63204   -0.06406
     0.64839   -0.03459
     0.66530   -0.00549
     0.68262    0.02458
     0.70025    0.05583
     0.71820    0.08771
     0.73649    0.12025
     0.75517    0.15311
     0.77420    0.18598
     0.79347    0.21897
     0.81262    0.25229
     0.83133    0.28435
     0.84951    0.31371
     0.86730    0.33970
     0.88469    0.36475
     0.90140    0.39211
     0.91705    0.42399
     0.93151    0.45107
     0.94488    0.47091
     0.95737    0.48054
     0.96915    0.48251
     0.98034    0.48038
     0.99105    0.48096
     1.00000    0.49304
