#      x          Cp  
     1.00000    0.31314
     0.95015    0.23353
     0.90037    0.10433
     0.85066   -0.01849
     0.80107   -0.14373
     0.75164   -0.26079
     0.70273   -0.36856
     0.65393   -0.52053
     0.60454   -0.66943
     0.55474   -0.84493
     0.50447   -1.02233
     0.45364   -1.23283
     0.40176   -1.50168
     0.34964   -1.54656
     0.29818   -1.61752
     0.24698   -1.70879
     0.19598   -1.80516
     0.14521   -1.96519
     0.09476   -2.19450
     0.06972   -2.37099
     0.04487   -2.71965
     0.02041   -3.21848
     0.00852   -4.29578
     0.00398   -4.83652
     0.00183   -6.37023
     0.00000   -3.08147
     0.00817    0.61672
     0.01102    0.79335
     0.01648    0.95839
     0.02959    0.98981
     0.05513    0.88315
     0.08028    0.79052
     0.10524    0.70906
     0.15479    0.59367
     0.20402    0.50853
     0.25302    0.44575
     0.30182    0.38742
     0.35036    0.34294
     0.39824    0.29757
     0.44636    0.26900
     0.49553    0.23313
     0.54526    0.19833
     0.59546    0.16132
     0.64607    0.13287
     0.69727    0.10234
     0.74836    0.12838
     0.79893    0.17842
     0.84934    0.23476
     0.89963    0.29676
     0.94985    0.37743
     1.00000    0.31314
