#      x          Cp  
     1.00000    0.44306
     0.99202    0.26033
     0.98174    0.20756
     0.97007    0.16025
     0.95684    0.11937
     0.94213    0.07946
     0.92649    0.04011
     0.91059    0.00293
     0.89483   -0.03028
     0.87923   -0.05900
     0.86368   -0.08547
     0.84811   -0.11059
     0.83248   -0.13498
     0.81674   -0.15918
     0.80089   -0.18375
     0.78495   -0.20954
     0.76903   -0.23625
     0.75315   -0.26392
     0.73727   -0.29280
     0.72137   -0.32330
     0.70543   -0.35597
     0.68954   -0.39241
     0.67374   -0.43205
     0.65804   -0.47350
     0.64242   -0.51620
     0.62689   -0.55958
     0.61142   -0.60301
     0.59599   -0.64502
     0.58057   -0.68437
     0.56514   -0.72279
     0.54970   -0.76077
     0.53423   -0.79870
     0.51874   -0.83683
     0.50325   -0.87561
     0.48779   -0.91598
     0.47237   -0.95740
     0.45700   -0.99914
     0.44170   -1.04103
     0.42643   -1.08265
     0.41118   -1.12356
     0.39590   -1.16224
     0.38055   -1.19756
     0.36508   -1.23267
     0.34948   -1.26920
     0.33379   -1.30871
     0.31804   -1.35351
     0.30232   -1.40712
     0.28675   -1.47950
     0.27144   -1.56368
     0.25643   -1.65286
     0.24172   -1.74435
     0.22729   -1.83503
     0.21307   -1.92235
     0.19897   -1.99973
     0.18487   -2.05691
     0.17072   -2.10836
     0.15652   -2.16251
     0.14237   -2.23870
     0.12844   -2.33685
     0.11484   -2.44217
     0.10166   -2.55005
     0.08891   -2.65236
     0.07666   -2.77716
     0.06508   -2.99098
     0.05452   -3.22540
     0.04541   -3.44074
     0.03782   -3.63606
     0.03142   -3.79416
     0.02591   -3.89407
     0.02103   -3.83156
     0.01666   -3.70821
     0.01292   -3.71075
     0.00984   -4.01260
     0.00737   -4.41298
     0.00540   -4.83419
     0.00382   -5.26367
     0.00257   -5.68060
     0.00158   -6.05198
     0.00084   -6.32483
     0.00033   -6.42394
     0.00005   -6.25844
    -0.00002   -5.74294
     0.00015   -4.79010
     0.00055   -3.70375
     0.00118   -2.69469
     0.00203   -1.82358
     0.00312   -1.10371
     0.00448   -0.52382
     0.00613   -0.06478
     0.00813    0.29305
     0.01055    0.56598
     0.01346    0.76877
     0.01697    0.90635
     0.02124    0.97781
     0.02647    0.99953
     0.03287    0.99260
     0.04057    0.96574
     0.04943    0.92516
     0.05950    0.88038
     0.07122    0.83706
     0.08476    0.79218
     0.09923    0.74737
     0.11397    0.70745
     0.12891    0.67207
     0.14407    0.64074
     0.15942    0.61307
     0.17493    0.58871
     0.19055    0.56730
     0.20627    0.54832
     0.22207    0.53134
     0.23794    0.51616
     0.25389    0.50248
     0.26991    0.49000
     0.28599    0.47838
     0.30212    0.46706
     0.31828    0.45534
     0.33446    0.44370
     0.35065    0.43227
     0.36685    0.42109
     0.38305    0.41021
     0.39924    0.39967
     0.41543    0.38958
     0.43162    0.37983
     0.44780    0.37032
     0.46399    0.36100
     0.48018    0.35180
     0.49637    0.34264
     0.51257    0.33339
     0.52878    0.32406
     0.54499    0.31466
     0.56119    0.30516
     0.57740    0.29548
     0.59359    0.28554
     0.60976    0.27490
     0.62588    0.26371
     0.64195    0.25244
     0.65795    0.24127
     0.67388    0.23042
     0.68975    0.22009
     0.70557    0.21067
     0.72134    0.20240
     0.73707    0.19507
     0.75277    0.18874
     0.76846    0.18352
     0.78412    0.17958
     0.79977    0.17736
     0.81542    0.17771
     0.83107    0.17971
     0.84673    0.18281
     0.86242    0.18673
     0.87818    0.19116
     0.89404    0.19581
     0.91004    0.19918
     0.92612    0.20255
     0.94186    0.20851
     0.95661    0.21921
     0.96988    0.23573
     0.98160    0.26044
     0.99195    0.29387
     1.00000    0.44306
