#      x          Cp  
     1.00000    0.31918
     0.99275    0.17415
     0.98337    0.12804
     0.97265    0.08668
     0.96035    0.05179
     0.94649    0.01979
     0.93208   -0.00834
     0.91787   -0.03294
     0.90341   -0.05583
     0.88889   -0.07743
     0.87460   -0.09767
     0.86040   -0.11691
     0.84619   -0.13548
     0.83191   -0.15356
     0.81751   -0.17129
     0.80298   -0.18874
     0.78834   -0.20586
     0.77365   -0.22269
     0.75897   -0.23925
     0.74429   -0.25562
     0.72959   -0.27189
     0.71491   -0.28806
     0.70027   -0.30420
     0.68566   -0.32041
     0.67106   -0.33669
     0.65647   -0.35303
     0.64188   -0.36948
     0.62728   -0.38605
     0.61267   -0.40277
     0.59806   -0.41965
     0.58343   -0.43673
     0.56881   -0.45403
     0.55417   -0.47159
     0.53955   -0.48945
     0.52492   -0.50768
     0.51030   -0.52632
     0.49568   -0.54554
     0.48107   -0.56546
     0.46647   -0.58591
     0.45189   -0.60686
     0.43731   -0.62831
     0.42273   -0.65025
     0.40816   -0.67263
     0.39359   -0.69530
     0.37901   -0.71829
     0.36442   -0.74201
     0.34983   -0.76672
     0.33523   -0.79269
     0.32063   -0.82026
     0.30603   -0.84988
     0.29146   -0.88283
     0.27691   -0.91910
     0.26241   -0.95797
     0.24794   -0.99937
     0.23351   -1.04339
     0.21910   -1.09019
     0.20472   -1.14005
     0.19033   -1.19267
     0.17593   -1.24974
     0.16152   -1.31400
     0.14716   -1.39028
     0.13289   -1.48417
     0.11876   -1.59259
     0.10475   -1.71773
     0.09080   -1.86396
     0.07696   -2.04980
     0.06354   -2.33077
     0.05082   -2.65542
     0.03896   -2.96418
     0.02837   -3.43752
     0.01951   -4.89196
     0.01327   -6.14645
     0.00926   -6.77748
     0.00648   -7.51658
     0.00443   -8.34917
     0.00289   -9.27685
     0.00172  -10.25793
     0.00088  -11.17277
     0.00032  -11.75475
     0.00004  -11.57722
     0.00004   -9.96023
     0.00032   -7.43502
     0.00088   -5.07914
     0.00172   -3.18997
     0.00289   -1.78483
     0.00443   -0.77456
     0.00648   -0.06007
     0.00926    0.43823
     0.01327    0.77392
     0.01951    0.96364
     0.02837    0.99918
     0.03896    0.96768
     0.05082    0.90964
     0.06354    0.84817
     0.07696    0.79200
     0.09080    0.73905
     0.10475    0.69163
     0.11876    0.65005
     0.13289    0.61326
     0.14716    0.58030
     0.16152    0.54945
     0.17593    0.52073
     0.19033    0.49440
     0.20472    0.47051
     0.21910    0.44904
     0.23351    0.42952
     0.24794    0.41170
     0.26241    0.39532
     0.27691    0.38017
     0.29146    0.36600
     0.30603    0.35235
     0.32063    0.33900
     0.33523    0.32623
     0.34983    0.31407
     0.36442    0.30255
     0.37901    0.29166
     0.39359    0.28143
     0.40816    0.27197
     0.42273    0.26322
     0.43731    0.25507
     0.45189    0.24743
     0.46647    0.24026
     0.48107    0.23349
     0.49568    0.22708
     0.51030    0.22088
     0.52492    0.21492
     0.53955    0.20924
     0.55417    0.20385
     0.56881    0.19873
     0.58343    0.19389
     0.59806    0.18932
     0.61267    0.18502
     0.62728    0.18098
     0.64188    0.17719
     0.65647    0.17363
     0.67106    0.17030
     0.68566    0.16718
     0.70027    0.16425
     0.71491    0.16148
     0.72959    0.15891
     0.74429    0.15656
     0.75897    0.15445
     0.77365    0.15262
     0.78834    0.15109
     0.80298    0.14989
     0.81751    0.14910
     0.83191    0.14867
     0.84619    0.14861
     0.86040    0.14894
     0.87460    0.14971
     0.88889    0.15100
     0.90341    0.15287
     0.91787    0.15545
     0.93208    0.15917
     0.94649    0.16480
     0.96035    0.17319
     0.97265    0.18479
     0.98337    0.20175
     0.99275    0.22585
     1.00000    0.31918
