#      x          Cp  
     1.00000    0.26649
     0.99068    0.06299
     0.97871   -0.03138
     0.96531   -0.08573
     0.95069   -0.15634
     0.93538   -0.22776
     0.91966   -0.29269
     0.90352   -0.33724
     0.88700   -0.38687
     0.87035   -0.43857
     0.85363   -0.48253
     0.83677   -0.52244
     0.81981   -0.55808
     0.80269   -0.58761
     0.78549   -0.62584
     0.76834   -0.66525
     0.75120   -0.69573
     0.73394   -0.71748
     0.71653   -0.73828
     0.69903   -0.76189
     0.68140   -0.77801
     0.66375   -0.80965
     0.64618   -0.83706
     0.62851   -0.84458
     0.61060   -0.85857
     0.59265   -0.88578
     0.57481   -0.91675
     0.55694   -0.92717
     0.53894   -0.94857
     0.52102   -0.97997
     0.50314   -1.00149
     0.48517   -1.00461
     0.46714   -1.03715
     0.44929   -1.08432
     0.43151   -1.10236
     0.41358   -1.11030
     0.39557   -1.13933
     0.37771   -1.20279
     0.36007   -1.24937
     0.34248   -1.26561
     0.32481   -1.28543
     0.30731   -1.36592
     0.28999   -1.40749
     0.27246   -1.42303
     0.25491   -1.51123
     0.23754   -1.57584
     0.22005   -1.62468
     0.20267   -1.72394
     0.18563   -1.81968
     0.16887   -1.91278
     0.15239   -2.01240
     0.13644   -2.15319
     0.12130   -2.31697
     0.10706   -2.47362
     0.09393   -2.68774
     0.08216   -2.96093
     0.07171   -3.22602
     0.06240   -3.43180
     0.05410   -3.64793
     0.04682   -4.03238
     0.04048   -4.55320
     0.03494   -4.94896
     0.03004   -5.30899
     0.02568   -5.71948
     0.02179   -6.13285
     0.01831   -6.57033
     0.01521   -7.01882
     0.01247   -7.40544
     0.01005   -7.70332
     0.00795   -7.92136
     0.00616   -8.00505
     0.00467   -7.77193
     0.00346   -7.14168
     0.00245   -6.51649
     0.00161   -6.18397
     0.00093   -6.10797
     0.00042   -6.02327
     0.00011   -5.84297
    -0.00000   -5.44493
     0.00011   -4.63676
     0.00043   -3.73350
     0.00094   -2.90335
     0.00162   -2.20283
     0.00243   -1.74140
     0.00338   -1.43965
     0.00454   -1.12622
     0.00598   -0.69730
     0.00776   -0.25310
     0.00987    0.11128
     0.01229    0.38714
     0.01504    0.59742
     0.01814    0.75315
     0.02162    0.86244
     0.02553    0.93444
     0.02991    0.97706
     0.03487    0.99675
     0.04048    0.99922
     0.04685    0.98884
     0.05410    0.96832
     0.06237    0.93986
     0.07176    0.90577
     0.08240    0.86851
     0.09439    0.83009
     0.10769    0.79014
     0.12214    0.74861
     0.13744    0.70768
     0.15338    0.66968
     0.16992    0.63568
     0.18678    0.59847
     0.20371    0.56673
     0.22105    0.54502
     0.23861    0.51316
     0.25603    0.48337
     0.27351    0.46096
     0.29115    0.43727
     0.30877    0.41455
     0.32642    0.39408
     0.34404    0.37318
     0.36158    0.35309
     0.37908    0.33871
     0.39674    0.32779
     0.41427    0.30277
     0.43130    0.28029
     0.44800    0.26815
     0.46460    0.27276
     0.48118    0.26942
     0.49742    0.22843
     0.51336    0.21600
     0.52948    0.22278
     0.54591    0.23224
     0.56253    0.24070
     0.57925    0.24854
     0.59594    0.25530
     0.61270    0.27516
     0.62984    0.30134
     0.64728    0.32096
     0.66481    0.34162
     0.68243    0.36331
     0.70003    0.38588
     0.71746    0.41586
     0.73475    0.44146
     0.75200    0.46105
     0.76896    0.48904
     0.78526    0.51651
     0.80099    0.53727
     0.81666    0.54583
     0.83227    0.56299
     0.84693    0.59737
     0.86113    0.59057
     0.87578    0.57917
     0.89027    0.58803
     0.90424    0.59129
     0.91782    0.59014
     0.93109    0.58232
     0.94401    0.57062
     0.95655    0.54131
     0.96863    0.53249
     0.97996    0.48467
     0.99084    0.37840
     1.00000    0.26649
