#      x          Cp  
     1.00000    0.42261
     0.99200    0.23999
     0.98110    0.18156
     0.96813    0.12678
     0.95349    0.07804
     0.93801    0.03204
     0.92236   -0.01217
     0.90672   -0.04131
     0.89101   -0.05712
     0.87520   -0.08005
     0.85941   -0.12218
     0.84362   -0.14926
     0.82758   -0.16322
     0.81126   -0.18055
     0.79480   -0.20576
     0.77837   -0.23280
     0.76203   -0.25971
     0.74576   -0.28524
     0.72951   -0.30862
     0.71323   -0.32852
     0.69689   -0.34741
     0.68045   -0.36662
     0.66390   -0.38743
     0.64732   -0.41182
     0.63091   -0.44440
     0.61473   -0.47716
     0.59863   -0.49758
     0.58237   -0.51213
     0.56596   -0.53653
     0.54962   -0.57208
     0.53344   -0.60537
     0.51733   -0.63153
     0.50113   -0.65592
     0.48480   -0.67981
     0.46834   -0.70557
     0.45182   -0.73668
     0.43542   -0.78024
     0.41925   -0.82765
     0.40330   -0.86916
     0.38749   -0.90652
     0.37166   -0.94181
     0.35565   -0.97074
     0.33937   -1.00045
     0.32316   -1.06348
     0.30741   -1.13383
     0.29171   -1.16557
     0.27580   -1.20963
     0.25989   -1.26669
     0.24418   -1.33844
     0.22873   -1.41544
     0.21342   -1.48152
     0.19813   -1.54882
     0.18288   -1.63114
     0.16794   -1.75339
     0.15350   -1.87103
     0.13928   -1.95916
     0.12522   -2.06822
     0.11162   -2.22452
     0.09873   -2.38727
     0.08641   -2.51084
     0.07481   -2.69438
     0.06422   -2.91405
     0.05473   -3.12017
     0.04634   -3.34148
     0.03902   -3.49634
     0.03261   -3.49868
     0.02700   -3.58894
     0.02220   -3.75527
     0.01812   -3.89322
     0.01465   -4.01851
     0.01168   -4.17291
     0.00912   -4.47494
     0.00694   -4.80457
     0.00509   -5.00928
     0.00357   -5.13547
     0.00235   -5.21286
     0.00141   -5.22566
     0.00071   -5.14862
     0.00025   -4.94818
     0.00001   -4.59023
     0.00001   -4.02406
     0.00024   -3.24351
     0.00071   -2.45796
     0.00141   -1.73384
     0.00237   -1.09100
     0.00360   -0.53280
     0.00514   -0.05271
     0.00701    0.36272
     0.00922    0.65764
     0.01177    0.83414
     0.01471    0.93308
     0.01811    0.98214
     0.02205    0.99910
     0.02663    0.99637
     0.03196    0.98062
     0.03821    0.95724
     0.04538    0.92428
     0.05328    0.89187
     0.06179    0.86247
     0.07081    0.80714
     0.08073    0.78593
     0.09201    0.75469
     0.10470    0.70662
     0.11884    0.67201
     0.13394    0.63278
     0.14932    0.59773
     0.16494    0.57025
     0.18050    0.53926
     0.19588    0.49593
     0.21123    0.46403
     0.22670    0.43732
     0.24231    0.41372
     0.25805    0.39223
     0.27392    0.37184
     0.28982    0.35074
     0.30553    0.32799
     0.32127    0.31994
     0.33749    0.31158
     0.35378    0.29374
     0.36980    0.27748
     0.38563    0.26531
     0.40146    0.25541
     0.41743    0.24847
     0.43363    0.24523
     0.45006    0.24163
     0.46660    0.23377
     0.48310    0.22456
     0.49946    0.21547
     0.51568    0.20754
     0.53183    0.20131
     0.54805    0.19942
     0.56443    0.19945
     0.58088    0.19440
     0.59718    0.18475
     0.61332    0.17886
     0.62955    0.18036
     0.64601    0.18228
     0.66264    0.17993
     0.67924    0.17596
     0.69573    0.17146
     0.71213    0.16713
     0.72845    0.16378
     0.74476    0.16296
     0.76109    0.16387
     0.77749    0.16599
     0.79398    0.16848
     0.81050    0.16997
     0.82688    0.16609
     0.84297    0.15992
     0.85883    0.16351
     0.87468    0.17863
     0.89055    0.17922
     0.90633    0.17386
     0.92203    0.17853
     0.93775    0.19500
     0.95330    0.21263
     0.96800    0.23287
     0.98102    0.25828
     0.99197    0.29022
     1.00000    0.42261
