#      x          Cp  
     1.00000    0.39940
     0.99298    0.30041
     0.98304    0.22968
     0.97074    0.14804
     0.95642    0.10213
     0.94133    0.07142
     0.92629    0.04829
     0.91137    0.02646
     0.89652   -0.00169
     0.88165   -0.03588
     0.86673   -0.08098
     0.85171   -0.13031
     0.83655   -0.16798
     0.82125   -0.20262
     0.80584   -0.23964
     0.79050   -0.28771
     0.77550   -0.34543
     0.76096   -0.40194
     0.74687   -0.45159
     0.73295   -0.47937
     0.71884   -0.48423
     0.70428   -0.48193
     0.68927   -0.47758
     0.67396   -0.47828
     0.65859   -0.49047
     0.64324   -0.50348
     0.62787   -0.51382
     0.61243   -0.52505
     0.59700   -0.54178
     0.58161   -0.55637
     0.56615   -0.56658
     0.55069   -0.58626
     0.53525   -0.59814
     0.51976   -0.61723
     0.50433   -0.63350
     0.48884   -0.64973
     0.47338   -0.66965
     0.45789   -0.68558
     0.44238   -0.70744
     0.42694   -0.73011
     0.41144   -0.74707
     0.39595   -0.77565
     0.38052   -0.79888
     0.36504   -0.82228
     0.34959   -0.85416
     0.33419   -0.88206
     0.31875   -0.91200
     0.30334   -0.94812
     0.28796   -0.98418
     0.27261   -1.02650
     0.25731   -1.06904
     0.24203   -1.11813
     0.22681   -1.16996
     0.21161   -1.22739
     0.19651   -1.29567
     0.18147   -1.37146
     0.16657   -1.45253
     0.15175   -1.55206
     0.13736   -1.68203
     0.12349   -1.82411
     0.11060   -2.01011
     0.09895   -2.29117
     0.08823   -2.44088
     0.07719   -2.55101
     0.06621   -2.69735
     0.05570   -2.88965
     0.04610   -3.12324
     0.03766   -3.35446
     0.03047   -3.65363
     0.02445   -3.90347
     0.01944   -4.11941
     0.01528   -4.42213
     0.01185   -4.80328
     0.00900   -5.28759
     0.00664   -5.92071
     0.00470   -6.52958
     0.00310   -7.26820
     0.00185   -7.94215
     0.00094   -8.01090
     0.00036   -7.49876
     0.00005   -6.86288
    -0.00001   -6.19787
     0.00018   -6.00467
     0.00077   -4.73545
     0.00183   -2.62131
     0.00328   -1.12171
     0.00509   -0.09666
     0.00725    0.44187
     0.00974    0.70329
     0.01267    0.86101
     0.01616    0.94792
     0.02039    0.98967
     0.02561    0.99983
     0.03218    0.98601
     0.04042    0.95437
     0.05068    0.91015
     0.06274    0.86069
     0.07621    0.81108
     0.09051    0.76404
     0.10521    0.72082
     0.12017    0.68329
     0.13527    0.64672
     0.15044    0.61602
     0.16566    0.58555
     0.18095    0.55931
     0.19623    0.53451
     0.21160    0.51175
     0.22696    0.49068
     0.24236    0.47049
     0.25777    0.45230
     0.27322    0.43484
     0.28868    0.41853
     0.30414    0.40257
     0.31957    0.38784
     0.33504    0.37492
     0.35057    0.36256
     0.36614    0.34985
     0.38169    0.33749
     0.39722    0.32584
     0.41276    0.31466
     0.42831    0.30374
     0.44387    0.29310
     0.45939    0.28254
     0.47488    0.27234
     0.49036    0.26311
     0.50586    0.25472
     0.52135    0.24600
     0.53676    0.23720
     0.55212    0.23113
     0.56758    0.22869
     0.58321    0.22532
     0.59889    0.21820
     0.61451    0.21027
     0.63004    0.20292
     0.64551    0.19662
     0.66099    0.19276
     0.67653    0.19027
     0.69212    0.18850
     0.70769    0.18511
     0.72313    0.17526
     0.73842    0.16472
     0.75370    0.16304
     0.76908    0.16305
     0.78448    0.15398
     0.79977    0.14480
     0.81504    0.14478
     0.83036    0.13976
     0.84560    0.12404
     0.86070    0.11127
     0.87571    0.10233
     0.89058    0.09038
     0.90509    0.08096
     0.91902    0.07859
     0.93235    0.08625
     0.94555    0.11360
     0.95929    0.16609
     0.97277    0.23762
     0.98404    0.33047
     0.99317    0.37819
     1.00000    0.39940
