#      x          Cp  
     1.00000    0.41230
     0.99658    0.32178
     0.98710    0.15071
     0.97285   -0.06825
     0.95409   -0.19691
     0.93044   -0.23910
     0.90193   -0.28537
     0.86902   -0.34339
     0.83222   -0.41198
     0.79206   -0.49138
     0.74914   -0.58530
     0.70408   -0.69306
     0.65752   -0.82082
     0.61010   -0.97043
     0.56247   -1.15013
     0.51524   -1.36074
     0.46864   -1.53958
     0.42253   -1.65421
     0.37702   -1.75032
     0.33237   -1.82955
     0.28894   -1.91473
     0.24720   -2.01533
     0.20758   -2.13126
     0.17050   -2.27636
     0.13635   -2.44110
     0.10546   -2.65259
     0.07816   -2.90993
     0.05469   -3.23183
     0.03527   -3.63918
     0.02004   -4.14018
     0.00909   -4.68307
     0.00240   -5.10512
     0.00000   -5.89309
     0.00245   -2.48428
     0.01099    0.67519
     0.02592    0.98644
     0.04653    0.97688
     0.07242    0.89845
     0.10324    0.81181
     0.13854    0.73167
     0.17788    0.66017
     0.22073    0.59700
     0.26654    0.54133
     0.31473    0.49103
     0.36468    0.44557
     0.41576    0.40345
     0.46731    0.36410
     0.51867    0.32850
     0.56920    0.29138
     0.61825    0.26851
     0.66662    0.33456
     0.71614    0.43083
     0.76645    0.49003
     0.81565    0.52585
     0.86198    0.55030
     0.90359    0.55582
     0.93862    0.53834
     0.96588    0.50203
     0.98504    0.46994
     0.99630    0.44540
     1.00000    0.41230
