#      x          Cp  
     1.00000    0.45952
     0.99275    0.35742
     0.98251    0.22337
     0.97037    0.09524
     0.95745    0.00552
     0.94396   -0.05315
     0.92996   -0.09474
     0.91548   -0.13629
     0.90079   -0.18248
     0.88607   -0.23187
     0.87136   -0.28498
     0.85668   -0.34099
     0.84204   -0.40099
     0.82745   -0.46543
     0.81294   -0.53554
     0.79853   -0.61237
     0.78430   -0.69683
     0.77029   -0.78807
     0.75653   -0.87832
     0.74295   -0.95498
     0.72941   -1.01546
     0.71587   -1.06314
     0.70225   -1.08997
     0.68845   -1.09855
     0.67440   -1.09838
     0.66014   -1.09742
     0.64572   -1.09894
     0.63120   -1.09972
     0.61657   -1.10237
     0.60189   -1.10668
     0.58716   -1.11153
     0.57240   -1.11621
     0.55760   -1.12062
     0.54276   -1.12510
     0.52789   -1.13033
     0.51299   -1.13660
     0.49808   -1.14392
     0.48316   -1.15160
     0.46823   -1.15956
     0.45329   -1.16780
     0.43833   -1.17683
     0.42336   -1.18688
     0.40839   -1.19821
     0.39343   -1.21061
     0.37846   -1.22373
     0.36350   -1.23778
     0.34854   -1.25299
     0.33358   -1.26969
     0.31863   -1.28849
     0.30369   -1.30921
     0.28877   -1.33195
     0.27386   -1.35686
     0.25896   -1.38429
     0.24409   -1.41513
     0.22924   -1.45004
     0.21442   -1.48949
     0.19964   -1.53440
     0.18490   -1.58621
     0.17023   -1.64610
     0.15563   -1.71608
     0.14113   -1.79928
     0.12677   -1.89776
     0.11258   -2.01613
     0.09863   -2.15940
     0.08500   -2.33690
     0.07186   -2.55565
     0.05939   -2.83180
     0.04793   -3.16861
     0.03779   -3.57420
     0.02927   -4.03649
     0.02240   -4.57837
     0.01701   -5.20792
     0.01281   -5.75092
     0.00951   -6.23818
     0.00689   -6.69756
     0.00480   -7.16196
     0.00312   -7.87315
     0.00179   -9.32122
     0.00082  -10.59883
     0.00025  -10.91126
     0.00003  -10.26215
     0.00014   -9.12499
     0.00061   -7.24332
     0.00149   -4.99303
     0.00279   -3.11985
     0.00452   -1.60320
     0.00676   -0.45332
     0.00958    0.25730
     0.01315    0.60721
     0.01767    0.80236
     0.02346    0.92267
     0.03095    0.98551
     0.04053    0.99959
     0.05227    0.98078
     0.06530    0.94479
     0.07898    0.90255
     0.09310    0.85964
     0.10750    0.81771
     0.12205    0.77747
     0.13670    0.73935
     0.15141    0.70328
     0.16619    0.66901
     0.18101    0.63622
     0.19585    0.60479
     0.21071    0.57464
     0.22557    0.54575
     0.24044    0.51793
     0.25532    0.49100
     0.27021    0.46483
     0.28509    0.43931
     0.29995    0.41443
     0.31481    0.39012
     0.32965    0.36636
     0.34447    0.34312
     0.35927    0.32040
     0.37404    0.29814
     0.38878    0.27607
     0.40347    0.25384
     0.41808    0.23168
     0.43260    0.20999
     0.44699    0.18763
     0.46118    0.16616
     0.47515    0.14852
     0.48897    0.13902
     0.50275    0.13999
     0.51660    0.14766
     0.53054    0.16120
     0.54463    0.18150
     0.55896    0.20556
     0.57357    0.23070
     0.58845    0.25329
     0.60348    0.27287
     0.61856    0.29074
     0.63363    0.30654
     0.64864    0.32083
     0.66360    0.33363
     0.67853    0.34536
     0.69343    0.35639
     0.70830    0.36670
     0.72312    0.37625
     0.73792    0.38495
     0.75271    0.39284
     0.76748    0.40015
     0.78223    0.40702
     0.79697    0.41356
     0.81168    0.41963
     0.82636    0.42516
     0.84101    0.43014
     0.85564    0.43461
     0.87025    0.43870
     0.88480    0.44264
     0.89929    0.44602
     0.91370    0.44874
     0.92802    0.45064
     0.94219    0.45179
     0.95610    0.45268
     0.96948    0.45379
     0.98183    0.45858
     0.99245    0.47646
     1.00000    0.45952
