#      x          Cp  
     1.00000    0.43311
     0.96199    0.09922
     0.93589    0.06351
     0.90845    0.01987
     0.87846   -0.05462
     0.84055   -0.16713
     0.80263   -0.26128
     0.76946   -0.39137
     0.73905   -0.44689
     0.71079   -0.49078
     0.67732   -0.46465
     0.63728   -0.50220
     0.59596   -0.53716
     0.55383   -0.57584
     0.51162   -0.62034
     0.46849   -0.66924
     0.42528   -0.72675
     0.38269   -0.78963
     0.34064   -0.86459
     0.29979   -0.94992
     0.26054   -1.05531
     0.22313   -1.17808
     0.18767   -1.32900
     0.15412   -1.52905
     0.12341   -1.81161
     0.09845   -2.28966
     0.07753   -2.52762
     0.05675   -2.86585
     0.03796   -3.19868
     0.02185   -4.23504
     0.00974   -5.64574
     0.00259   -5.91506
     0.00000   -8.59881
     0.00259   -1.62776
     0.00974    0.79347
     0.02185    0.99856
     0.03796    0.95919
     0.05675    0.87935
     0.07753    0.80170
     0.09845    0.73600
     0.12341    0.67048
     0.15412    0.60422
     0.18767    0.54421
     0.22313    0.49198
     0.26054    0.44583
     0.29979    0.40328
     0.34064    0.36784
     0.38269    0.33304
     0.42528    0.30360
     0.46849    0.27324
     0.51162    0.24746
     0.55383    0.22646
     0.59596    0.21730
     0.63728    0.19632
     0.67732    0.18267
     0.71079    0.17810
     0.73905    0.16775
     0.76946    0.15353
     0.80263    0.14513
     0.84055    0.12706
     0.87846    0.10520
     0.90845    0.06578
     0.93589    0.06461
     0.96199    0.13628
     1.00000    0.43311
