#      x          Cp  
     1.00000    0.42480
     0.99155    0.24209
     0.97977    0.15220
     0.96647    0.08705
     0.95223    0.04525
     0.93750    0.01564
     0.92253   -0.00927
     0.90757   -0.04065
     0.89256   -0.07927
     0.87746   -0.12138
     0.86234   -0.16530
     0.84728   -0.20555
     0.83222   -0.23987
     0.81708   -0.27086
     0.80185   -0.30173
     0.78660   -0.33584
     0.77136   -0.37417
     0.75613   -0.41743
     0.74095   -0.46459
     0.72584   -0.51450
     0.71081   -0.56443
     0.69583   -0.61427
     0.68086   -0.66414
     0.66592   -0.71421
     0.65099   -0.76483
     0.63607   -0.81606
     0.62117   -0.86817
     0.60629   -0.92109
     0.59142   -0.97474
     0.57658   -1.02896
     0.56176   -1.08304
     0.54697   -1.13660
     0.53221   -1.18874
     0.51746   -1.23846
     0.50271   -1.28576
     0.48796   -1.32954
     0.47320   -1.37037
     0.45841   -1.40809
     0.44357   -1.44359
     0.42870   -1.48104
     0.41384   -1.52143
     0.39900   -1.56196
     0.38417   -1.60182
     0.36936   -1.64254
     0.35459   -1.68557
     0.33988   -1.72749
     0.32521   -1.76462
     0.31057   -1.79937
     0.29595   -1.83407
     0.28138   -1.86691
     0.26684   -1.89336
     0.25228   -1.91818
     0.23773   -1.94995
     0.22325   -1.98542
     0.20882   -2.02099
     0.19446   -2.06201
     0.18021   -2.11553
     0.16614   -2.17180
     0.15222   -2.22722
     0.13847   -2.29003
     0.12495   -2.35888
     0.11168   -2.42695
     0.09867   -2.50135
     0.08601   -2.58466
     0.07374   -2.66395
     0.06197   -2.77210
     0.05099   -2.92651
     0.04113   -3.11692
     0.03258   -3.30331
     0.02541   -3.50033
     0.01963   -3.73063
     0.01506   -3.89025
     0.01143   -3.98136
     0.00859   -4.02175
     0.00635   -4.04700
     0.00454   -4.12989
     0.00307   -4.39960
     0.00189   -4.72263
     0.00099   -5.10973
     0.00037   -5.75688
     0.00005   -6.21573
     0.00003   -5.89301
     0.00036   -4.77664
     0.00106   -3.50038
     0.00219   -2.04706
     0.00374   -0.89516
     0.00564   -0.22551
     0.00791    0.20505
     0.01068    0.52369
     0.01409    0.74920
     0.01833    0.88987
     0.02365    0.96649
     0.03037    0.99764
     0.03876    0.99464
     0.04886    0.96688
     0.06040    0.92413
     0.07301    0.87594
     0.08650    0.82875
     0.10072    0.78393
     0.11538    0.74011
     0.13019    0.69668
     0.14496    0.65402
     0.15962    0.61427
     0.17425    0.57858
     0.18895    0.54795
     0.20377    0.52066
     0.21874    0.49596
     0.23383    0.47294
     0.24902    0.45066
     0.26425    0.42732
     0.27943    0.40407
     0.29454    0.38169
     0.30959    0.36107
     0.32462    0.34344
     0.33967    0.32818
     0.35478    0.31542
     0.36997    0.30364
     0.38520    0.29094
     0.40043    0.27782
     0.41561    0.26379
     0.43071    0.24988
     0.44571    0.23704
     0.46061    0.22590
     0.47543    0.21756
     0.49018    0.21241
     0.50491    0.21087
     0.51963    0.21334
     0.53438    0.21881
     0.54917    0.22713
     0.56402    0.23758
     0.57892    0.24967
     0.59388    0.26326
     0.60889    0.27835
     0.62396    0.29475
     0.63911    0.31246
     0.65435    0.33130
     0.66963    0.35133
     0.68487    0.37203
     0.69998    0.39315
     0.71491    0.41373
     0.72964    0.43243
     0.74419    0.44854
     0.75859    0.46080
     0.77290    0.46914
     0.78720    0.47305
     0.80155    0.47320
     0.81596    0.47075
     0.83044    0.46580
     0.84501    0.45818
     0.85967    0.44887
     0.87442    0.43776
     0.88928    0.42264
     0.90435    0.40401
     0.91968    0.38472
     0.93513    0.36888
     0.95046    0.35930
     0.96528    0.35746
     0.97916    0.35500
     0.99130    0.36019
     1.00000    0.42480
