#      x          Cp  
     1.00000    0.43012
     0.99011    0.22260
     0.97733    0.16045
     0.96320    0.10435
     0.94791    0.06063
     0.93171    0.02112
     0.91490   -0.01560
     0.89768   -0.04799
     0.88017   -0.07877
     0.86251   -0.10912
     0.84477   -0.13714
     0.82694   -0.16306
     0.80905   -0.18907
     0.79115   -0.21559
     0.77324   -0.24162
     0.75534   -0.26690
     0.73742   -0.29185
     0.71949   -0.31655
     0.70155   -0.34136
     0.68361   -0.36697
     0.66568   -0.39349
     0.64777   -0.42033
     0.62987   -0.44696
     0.61197   -0.47395
     0.59407   -0.50213
     0.57619   -0.53204
     0.55836   -0.56291
     0.54055   -0.59387
     0.52274   -0.62532
     0.50493   -0.65898
     0.48721   -0.69816
     0.46962   -0.74038
     0.45216   -0.78168
     0.43475   -0.81749
     0.41730   -0.85256
     0.39985   -0.89233
     0.38250   -0.94070
     0.36532   -0.99083
     0.34827   -1.03569
     0.33123   -1.07443
     0.31415   -1.11461
     0.29709   -1.16368
     0.28017   -1.21915
     0.26340   -1.27551
     0.24674   -1.32961
     0.23017   -1.38741
     0.21380   -1.45903
     0.19776   -1.54206
     0.18211   -1.62383
     0.16682   -1.69626
     0.15191   -1.77133
     0.13751   -1.86394
     0.12380   -1.96849
     0.11096   -2.07302
     0.09908   -2.17367
     0.08817   -2.27276
     0.07818   -2.35864
     0.06908   -2.45795
     0.06093   -2.61252
     0.05374   -2.90747
     0.04745   -3.24572
     0.04190   -3.55377
     0.03695   -3.76517
     0.03248   -3.86602
     0.02842   -3.94909
     0.02472   -4.04731
     0.02135   -4.24218
     0.01828   -4.60029
     0.01552   -4.89539
     0.01306   -4.94061
     0.01084   -4.90874
     0.00884   -5.24209
     0.00709   -4.71733
     0.00547   -5.72725
     0.00417   -4.70371
     0.00298   -4.81551
     0.00195   -5.14022
     0.00117   -4.77696
     0.00059   -4.46805
     0.00022   -4.03312
     0.00002   -3.74275
     0.00003   -3.40882
     0.00028   -2.87340
     0.00081   -2.22124
     0.00162   -1.58516
     0.00276   -0.97267
     0.00427   -0.07208
     0.00591    0.20259
     0.00774    0.42528
     0.00988    0.71595
     0.01214    0.81450
     0.01456    0.88891
     0.01726    0.95010
     0.02026    0.98425
     0.02355    0.99793
     0.02715    0.99938
     0.03110    0.99201
     0.03543    0.97765
     0.04020    0.95746
     0.04549    0.93215
     0.05138    0.90224
     0.05797    0.86818
     0.06535    0.83034
     0.07361    0.78944
     0.08282    0.74654
     0.09303    0.70321
     0.10430    0.66053
     0.11660    0.61907
     0.12986    0.57910
     0.14396    0.54167
     0.15876    0.50659
     0.17412    0.47437
     0.18992    0.44517
     0.20609    0.41884
     0.22253    0.39517
     0.23919    0.37355
     0.25600    0.35426
     0.27296    0.33753
     0.29007    0.32313
     0.30731    0.31035
     0.32463    0.29831
     0.34199    0.28785
     0.35943    0.28082
     0.37703    0.27782
     0.39484    0.27529
     0.41280    0.26858
     0.43080    0.25831
     0.44877    0.24799
     0.46675    0.24005
     0.48479    0.23317
     0.50286    0.22573
     0.52090    0.21675
     0.53885    0.20797
     0.55674    0.20105
     0.57463    0.19624
     0.59256    0.19214
     0.61053    0.18782
     0.62849    0.18353
     0.64645    0.17979
     0.66441    0.17695
     0.68239    0.17458
     0.70039    0.17222
     0.71839    0.16987
     0.73638    0.16791
     0.75435    0.16654
     0.77232    0.16577
     0.79029    0.16583
     0.80826    0.16652
     0.82621    0.16709
     0.84410    0.16777
     0.86191    0.17013
     0.87964    0.17431
     0.89722    0.17888
     0.91451    0.18471
     0.93139    0.19406
     0.94766    0.20560
     0.96302    0.22091
     0.97722    0.24609
     0.99006    0.27962
     1.00000    0.43012
