#      x          Cp  
     1.00000    0.35077
     0.99200    0.14358
     0.98155    0.05665
     0.96962   -0.01145
     0.95625   -0.05786
     0.94190   -0.08975
     0.92702   -0.11805
     0.91182   -0.14184
     0.89635   -0.15720
     0.88069   -0.19183
     0.86505   -0.22301
     0.84946   -0.24796
     0.83376   -0.26355
     0.81784   -0.27856
     0.80178   -0.29933
     0.78572   -0.32285
     0.76971   -0.34810
     0.75376   -0.37465
     0.73786   -0.40198
     0.72200   -0.42982
     0.70619   -0.45785
     0.69044   -0.48592
     0.67475   -0.51382
     0.65912   -0.54071
     0.64354   -0.56536
     0.62801   -0.58652
     0.61250   -0.60499
     0.59694   -0.61954
     0.58125   -0.62865
     0.56540   -0.63689
     0.54942   -0.64876
     0.53343   -0.66956
     0.51754   -0.69297
     0.50177   -0.71515
     0.48607   -0.73191
     0.47036   -0.74627
     0.45457   -0.75925
     0.43864   -0.77051
     0.42257   -0.78286
     0.40641   -0.79996
     0.39031   -0.82863
     0.37437   -0.86212
     0.35860   -0.89424
     0.34284   -0.91720
     0.32698   -0.93832
     0.31098   -0.96460
     0.29497   -1.00339
     0.27906   -1.04868
     0.26331   -1.09765
     0.24769   -1.14897
     0.23219   -1.20249
     0.21677   -1.25687
     0.20144   -1.31239
     0.18618   -1.36992
     0.17095   -1.42940
     0.15576   -1.49411
     0.14064   -1.56815
     0.12564   -1.65390
     0.11077   -1.75033
     0.09609   -1.86729
     0.08187   -2.04467
     0.06863   -2.29371
     0.05695   -2.62431
     0.04703   -3.00599
     0.03863   -3.38307
     0.03152   -3.77796
     0.02558   -4.32019
     0.02066   -5.14456
     0.01659   -5.94131
     0.01319   -6.59708
     0.01032   -7.09049
     0.00791   -7.39288
     0.00591   -7.22400
     0.00424   -7.46116
     0.00291   -7.80122
     0.00199   -6.50872
     0.00131   -5.24756
     0.00076   -4.79894
     0.00032   -4.95791
     0.00006   -5.06050
     0.00001   -4.76854
     0.00021   -3.96771
     0.00066   -3.09812
     0.00138   -2.41169
     0.00243   -1.80561
     0.00393   -0.60017
     0.00581    0.12882
     0.00791    0.41016
     0.01035    0.66251
     0.01319    0.82862
     0.01653    0.92813
     0.02044    0.98053
     0.02508    0.99938
     0.03061    0.99407
     0.03730    0.97134
     0.04538    0.93595
     0.05498    0.89104
     0.06602    0.84248
     0.07856    0.79734
     0.09263    0.75335
     0.10747    0.70493
     0.12231    0.66072
     0.13727    0.62474
     0.15261    0.59332
     0.16829    0.56498
     0.18414    0.53801
     0.20005    0.50794
     0.21598    0.47572
     0.23180    0.44263
     0.24739    0.40954
     0.26273    0.37837
     0.27796    0.35302
     0.29328    0.33234
     0.30877    0.31284
     0.32434    0.29073
     0.33982    0.26754
     0.35514    0.24551
     0.37029    0.22616
     0.38534    0.20956
     0.40035    0.19580
     0.41534    0.18633
     0.43035    0.18081
     0.44541    0.17827
     0.46057    0.17906
     0.47587    0.18281
     0.49133    0.18807
     0.50692    0.19334
     0.52260    0.19756
     0.53831    0.20203
     0.55404    0.20722
     0.56981    0.21353
     0.58565    0.22043
     0.60157    0.22766
     0.61756    0.23498
     0.63358    0.24226
     0.64965    0.24906
     0.66577    0.25496
     0.68190    0.26106
     0.69798    0.26887
     0.71389    0.27876
     0.72962    0.28802
     0.74527    0.29378
     0.76099    0.29639
     0.77680    0.29896
     0.79259    0.30425
     0.80823    0.31021
     0.82378    0.31359
     0.83942    0.31391
     0.85508    0.31720
     0.87035    0.32904
     0.88493    0.33290
     0.89885    0.30340
     0.91240    0.34629
     0.92620    0.34217
     0.94067    0.32536
     0.95524    0.32349
     0.96893    0.32195
     0.98114    0.31627
     0.99182    0.31735
     1.00000    0.35077
