#      x          Cp  
     1.00000    0.15197
     0.99200    0.30957
     0.98237    0.34578
     0.97225    0.36330
     0.96158    0.36132
     0.95032    0.34719
     0.93840    0.32261
     0.92572    0.28778
     0.91217    0.24382
     0.89765    0.19186
     0.88212    0.13347
     0.86565    0.07241
     0.84852    0.01458
     0.83110   -0.03871
     0.81358   -0.08752
     0.79601   -0.13288
     0.77842   -0.17587
     0.76081   -0.21760
     0.74321   -0.25854
     0.72563   -0.29933
     0.70809   -0.34023
     0.69061   -0.38081
     0.67318   -0.42082
     0.65581   -0.46012
     0.63846   -0.49861
     0.62115   -0.53631
     0.60386   -0.57326
     0.58659   -0.60967
     0.56933   -0.64621
     0.55210   -0.68245
     0.53490   -0.71829
     0.51772   -0.75368
     0.50057   -0.78810
     0.48342   -0.82087
     0.46624   -0.85168
     0.44902   -0.88141
     0.43172   -0.91050
     0.41435   -0.93981
     0.39691   -0.97087
     0.37941   -1.00536
     0.36190   -1.04441
     0.34444   -1.08889
     0.32707   -1.13947
     0.30985   -1.19665
     0.29286   -1.26044
     0.27614   -1.33031
     0.25973   -1.40495
     0.24365   -1.48262
     0.22791   -1.56117
     0.21250   -1.63894
     0.19740   -1.71506
     0.18261   -1.78949
     0.16815   -1.86204
     0.15403   -1.93270
     0.14029   -2.00240
     0.12699   -2.07144
     0.11419   -2.14084
     0.10195   -2.21059
     0.09043   -2.28103
     0.07975   -2.35437
     0.07001   -2.43092
     0.06121   -2.51315
     0.05335   -2.60035
     0.04638   -2.68818
     0.04021   -2.78056
     0.03476   -2.87943
     0.02994   -2.98642
     0.02566   -3.11109
     0.02186   -3.25057
     0.01846   -3.40840
     0.01543   -3.57767
     0.01272   -3.77419
     0.01030   -3.96839
     0.00816   -4.17302
     0.00627   -4.37161
     0.00462   -4.52754
     0.00323   -4.60564
     0.00209   -4.57325
     0.00120   -4.37043
     0.00057   -4.00319
     0.00019   -3.50538
     0.00001   -2.96014
     0.00003   -2.43653
     0.00023   -1.93575
     0.00061   -1.46966
     0.00119   -1.03808
     0.00200   -0.61962
     0.00305   -0.21922
     0.00436    0.13116
     0.00593    0.43035
     0.00777    0.66162
     0.00988    0.82074
     0.01225    0.91978
     0.01489    0.97426
     0.01781    0.99706
     0.02102    0.99853
     0.02457    0.98572
     0.02849    0.96334
     0.03285    0.93448
     0.03772    0.90116
     0.04319    0.86508
     0.04938    0.82763
     0.05643    0.78981
     0.06451    0.75262
     0.07382    0.71672
     0.08456    0.68208
     0.09691    0.64898
     0.11085    0.61732
     0.12612    0.58809
     0.14247    0.56039
     0.15967    0.53429
     0.17740    0.50973
     0.19544    0.48665
     0.21364    0.46503
     0.23192    0.44508
     0.25025    0.42702
     0.26864    0.41100
     0.28712    0.39687
     0.30570    0.38405
     0.32432    0.37179
     0.34294    0.35929
     0.36152    0.34583
     0.38012    0.33094
     0.39876    0.31509
     0.41736    0.29903
     0.43588    0.28326
     0.45430    0.26846
     0.47266    0.25461
     0.49097    0.24164
     0.50925    0.22960
     0.52752    0.21819
     0.54579    0.20717
     0.56405    0.19630
     0.58227    0.18536
     0.60046    0.17477
     0.61860    0.16443
     0.63669    0.15433
     0.65473    0.14470
     0.67272    0.13565
     0.69065    0.12706
     0.70852    0.11872
     0.72630    0.11036
     0.74396    0.10233
     0.76147    0.09473
     0.77880    0.08775
     0.79594    0.08271
     0.81289    0.08042
     0.82968    0.08202
     0.84636    0.08962
     0.86304    0.10479
     0.87978    0.12934
     0.89660    0.16095
     0.91314    0.19446
     0.92885    0.22528
     0.94354    0.24974
     0.95716    0.26566
     0.96975    0.27161
     0.98129    0.26302
     0.99175    0.23749
     1.00000    0.15197
