#      x          Cp  
     1.00000    0.13362
     0.99187    0.08689
     0.98059    0.06367
     0.96756    0.03079
     0.95334   -0.00486
     0.93844   -0.04249
     0.92316   -0.08167
     0.90765   -0.12087
     0.89204   -0.16000
     0.87640   -0.19839
     0.86080   -0.23573
     0.84524   -0.27223
     0.82972   -0.30777
     0.81424   -0.34239
     0.79877   -0.37611
     0.78332   -0.40907
     0.76788   -0.44143
     0.75245   -0.47329
     0.73701   -0.50479
     0.72158   -0.53603
     0.70614   -0.56720
     0.69071   -0.59839
     0.67528   -0.62963
     0.65985   -0.66099
     0.64442   -0.69263
     0.62900   -0.72455
     0.61359   -0.75674
     0.59819   -0.78913
     0.58281   -0.82162
     0.56743   -0.85418
     0.55207   -0.88681
     0.53672   -0.91938
     0.52138   -0.95144
     0.50604   -0.98314
     0.49071   -1.01510
     0.47541   -1.04700
     0.46009   -1.07611
     0.44468   -1.10447
     0.42927   -1.14465
     0.41406   -1.19424
     0.39903   -1.23205
     0.38399   -1.25597
     0.36883   -1.27886
     0.35358   -1.30391
     0.33831   -1.33396
     0.32309   -1.36934
     0.30792   -1.40424
     0.29277   -1.43831
     0.27764   -1.47398
     0.26253   -1.51169
     0.24744   -1.55164
     0.23239   -1.59480
     0.21738   -1.64282
     0.20245   -1.69576
     0.18758   -1.75425
     0.17282   -1.82018
     0.15818   -1.89439
     0.14370   -1.97761
     0.12940   -2.07179
     0.11534   -2.17951
     0.10158   -2.30485
     0.08824   -2.45071
     0.07548   -2.62258
     0.06352   -2.82761
     0.05264   -3.07015
     0.04309   -3.35272
     0.03498   -3.67204
     0.02822   -4.02928
     0.02266   -4.41799
     0.01809   -4.83944
     0.01430   -5.28815
     0.01114   -5.76918
     0.00850   -6.25428
     0.00631   -6.79420
     0.00451   -7.26324
     0.00303   -7.66375
     0.00186   -7.94905
     0.00098   -8.03433
     0.00039   -7.95331
     0.00007   -7.67297
     0.00001   -7.02623
     0.00021   -5.89953
     0.00070   -4.65868
     0.00152   -3.30783
     0.00268   -2.04328
     0.00416   -1.07824
     0.00595   -0.39512
     0.00809    0.10682
     0.01061    0.45898
     0.01359    0.69984
     0.01709    0.85542
     0.02124    0.94684
     0.02618    0.99086
     0.03212    0.99933
     0.03923    0.98163
     0.04768    0.94543
     0.05747    0.89775
     0.06851    0.84585
     0.08065    0.79521
     0.09368    0.74798
     0.10731    0.70455
     0.12129    0.66571
     0.13545    0.63300
     0.14998    0.60989
     0.16497    0.58892
     0.18011    0.56750
     0.19528    0.55012
     0.21055    0.53555
     0.22592    0.52296
     0.24134    0.51255
     0.25684    0.50409
     0.27242    0.49720
     0.28806    0.49169
     0.30378    0.48733
     0.31956    0.48399
     0.33541    0.48151
     0.35130    0.47970
     0.36720    0.47839
     0.38306    0.47744
     0.39887    0.47676
     0.41464    0.47627
     0.43037    0.47587
     0.44606    0.47546
     0.46171    0.47499
     0.47734    0.47441
     0.49294    0.47368
     0.50853    0.47275
     0.52410    0.47159
     0.53966    0.47023
     0.55521    0.46865
     0.57075    0.46680
     0.58629    0.46468
     0.60183    0.46233
     0.61738    0.45977
     0.63293    0.45698
     0.64848    0.45397
     0.66404    0.45082
     0.67959    0.44754
     0.69516    0.44407
     0.71072    0.44046
     0.72628    0.43681
     0.74184    0.43309
     0.75739    0.42929
     0.77292    0.42543
     0.78844    0.42152
     0.80393    0.41752
     0.81939    0.41340
     0.83480    0.40912
     0.85016    0.40457
     0.86545    0.39958
     0.88066    0.39392
     0.89579    0.38741
     0.91080    0.37981
     0.92565    0.37039
     0.94029    0.35823
     0.95458    0.34251
     0.96826    0.32135
     0.98089    0.29035
     0.99194    0.25622
     1.00000    0.13362
