#      x          Cp  
     1.00000    0.38101
     0.99083    0.27719
     0.97892    0.24342
     0.96577    0.22647
     0.95190    0.21425
     0.93765    0.19189
     0.92303    0.16130
     0.90800    0.12285
     0.89253    0.07522
     0.87666    0.01951
     0.86054   -0.04464
     0.84441   -0.11568
     0.82845   -0.18812
     0.81268   -0.25595
     0.79699   -0.30773
     0.78124   -0.34931
     0.76534   -0.38433
     0.74922   -0.41346
     0.73284   -0.43638
     0.71619   -0.45560
     0.69927   -0.47306
     0.68212   -0.49127
     0.66479   -0.51397
     0.64735   -0.53943
     0.62985   -0.56729
     0.61232   -0.59810
     0.59478   -0.63335
     0.57724   -0.67250
     0.55973   -0.71558
     0.54228   -0.76330
     0.52496   -0.81884
     0.50781   -0.88055
     0.49087   -0.94573
     0.47416   -1.01321
     0.45770   -1.08248
     0.44149   -1.15275
     0.42552   -1.22153
     0.40975   -1.28666
     0.39417   -1.34548
     0.37873   -1.39052
     0.36338   -1.42314
     0.34804   -1.44791
     0.33262   -1.46548
     0.31702   -1.47430
     0.30107   -1.46909
     0.28463   -1.46034
     0.26774   -1.45702
     0.25062   -1.47295
     0.23375   -1.53507
     0.21750   -1.61608
     0.20188   -1.69919
     0.18667   -1.76863
     0.17150   -1.80418
     0.15613   -1.83574
     0.14068   -1.88177
     0.12569   -1.98753
     0.11175   -2.14452
     0.09900   -2.30373
     0.08729   -2.44890
     0.07639   -2.55868
     0.06626   -2.65560
     0.05707   -2.75402
     0.04896   -2.87290
     0.04194   -3.03742
     0.03588   -3.20639
     0.03062   -3.37122
     0.02599   -3.53518
     0.02188   -3.72304
     0.01820   -3.97634
     0.01494   -4.21586
     0.01208   -4.40545
     0.00961   -4.52937
     0.00749   -4.58760
     0.00568   -4.59871
     0.00416   -4.61590
     0.00290   -4.62694
     0.00189   -4.61077
     0.00110   -4.54969
     0.00053   -4.42205
     0.00016   -4.20172
    -0.00000   -3.86352
     0.00005   -3.34063
     0.00032   -2.67752
     0.00080   -2.02247
     0.00150   -1.41962
     0.00242   -0.88951
     0.00358   -0.43756
     0.00501   -0.06208
     0.00671    0.24155
     0.00871    0.48554
     0.01103    0.67580
     0.01372    0.81543
     0.01678    0.90965
     0.02023    0.96605
     0.02407    0.99340
     0.02836    0.99988
     0.03321    0.99097
     0.03879    0.97060
     0.04531    0.94189
     0.05301    0.90591
     0.06202    0.86183
     0.07228    0.81218
     0.08347    0.76069
     0.09539    0.71181
     0.10813    0.66692
     0.12187    0.62571
     0.13668    0.58726
     0.15245    0.54980
     0.16889    0.51427
     0.18565    0.47978
     0.20239    0.44214
     0.21890    0.40360
     0.23513    0.36678
     0.25117    0.33415
     0.26721    0.30954
     0.28342    0.28930
     0.29991    0.27148
     0.31667    0.25421
     0.33361    0.23412
     0.35055    0.21321
     0.36740    0.19271
     0.38407    0.17310
     0.40057    0.15461
     0.41692    0.13767
     0.43313    0.12281
     0.44925    0.11057
     0.46528    0.10215
     0.48127    0.09889
     0.49726    0.09928
     0.51328    0.10294
     0.52940    0.10983
     0.54569    0.12108
     0.56223    0.13630
     0.57908    0.15353
     0.59621    0.17178
     0.61356    0.18976
     0.63096    0.20609
     0.64827    0.22079
     0.66542    0.23347
     0.68245    0.24317
     0.69946    0.24789
     0.71657    0.25001
     0.73382    0.25084
     0.75121    0.25101
     0.76870    0.25110
     0.78618    0.25227
     0.80357    0.25575
     0.82080    0.26549
     0.83783    0.28043
     0.85462    0.29576
     0.87116    0.30911
     0.88746    0.31886
     0.90352    0.32572
     0.91935    0.32823
     0.93494    0.32622
     0.95019    0.32191
     0.96488    0.31530
     0.97856    0.31193
     0.99074    0.32196
     1.00000    0.38101
