#      x          Cp  
     1.00000    0.29543
     0.99250    0.20689
     0.98152    0.17345
     0.96800    0.15262
     0.95400    0.13853
     0.94043    0.11857
     0.92695    0.09400
     0.91320    0.06870
     0.89919    0.04635
     0.88512    0.02557
     0.87112    0.00569
     0.85724   -0.01240
     0.84345   -0.02988
     0.82974   -0.04868
     0.81605   -0.07035
     0.80237   -0.09893
     0.78865   -0.13386
     0.77488   -0.17315
     0.76105   -0.21635
     0.74718   -0.26312
     0.73331   -0.31311
     0.71946   -0.36552
     0.70565   -0.41964
     0.69189   -0.47466
     0.67818   -0.52908
     0.66451   -0.58172
     0.65085   -0.63337
     0.63721   -0.68379
     0.62357   -0.73254
     0.60993   -0.77875
     0.59629   -0.82110
     0.58266   -0.86007
     0.56902   -0.89547
     0.55539   -0.92674
     0.54175   -0.95295
     0.52810   -0.97081
     0.51444   -0.98151
     0.50074   -0.98754
     0.48701   -0.98969
     0.47323   -0.98859
     0.45938   -0.98402
     0.44547   -0.97597
     0.43147   -0.96712
     0.41740   -0.95929
     0.40326   -0.95447
     0.38908   -0.95612
     0.37490   -0.97097
     0.36076   -0.99304
     0.34668   -1.01888
     0.33267   -1.04664
     0.31871   -1.07418
     0.30478   -1.09744
     0.29085   -1.11898
     0.27689   -1.14074
     0.26293   -1.16366
     0.24897   -1.18898
     0.23505   -1.21826
     0.22118   -1.25103
     0.20737   -1.28778
     0.19356   -1.32961
     0.17967   -1.38029
     0.16563   -1.44025
     0.15161   -1.50714
     0.13764   -1.58114
     0.12417   -1.65970
     0.11138   -1.74450
     0.09895   -1.84179
     0.08614   -1.97121
     0.07312   -2.16118
     0.06134   -2.36700
     0.04885   -2.61603
     0.03908   -2.84482
     0.03150   -3.10350
     0.02390   -3.51249
     0.01453   -4.97313
     0.00673   -6.38592
     0.00355   -7.85689
     0.00183   -9.79904
     0.00078  -11.86063
     0.00019  -13.64666
    -0.00000  -13.70544
     0.00020  -10.18014
     0.00082   -6.20657
     0.00189   -3.30093
     0.00364   -1.33944
     0.00678   -0.03539
     0.01509    0.84985
     0.02538    0.99632
     0.03335    0.99524
     0.04198    0.96908
     0.05385    0.92146
     0.06602    0.87259
     0.07823    0.82778
     0.09174    0.78271
     0.10469    0.74195
     0.11759    0.70405
     0.13100    0.66758
     0.14498    0.63317
     0.15908    0.60184
     0.17321    0.57342
     0.18724    0.54798
     0.20116    0.52549
     0.21508    0.50512
     0.22907    0.48612
     0.24316    0.46785
     0.25732    0.44867
     0.27149    0.42840
     0.28561    0.40842
     0.29967    0.38932
     0.31366    0.37184
     0.32763    0.35802
     0.34160    0.34691
     0.35562    0.33701
     0.36969    0.32750
     0.38383    0.31749
     0.39800    0.30471
     0.41218    0.28947
     0.42636    0.27313
     0.44051    0.25603
     0.45462    0.23844
     0.46870    0.22046
     0.48273    0.20231
     0.49672    0.18445
     0.51066    0.16726
     0.52456    0.15117
     0.53842    0.13678
     0.55222    0.12487
     0.56597    0.11531
     0.57967    0.10828
     0.59334    0.10425
     0.60698    0.10390
     0.62065    0.10990
     0.63435    0.12083
     0.64812    0.13433
     0.66197    0.14935
     0.67590    0.16494
     0.68990    0.17945
     0.70392    0.19258
     0.71796    0.20516
     0.73198    0.21721
     0.74600    0.22869
     0.75999    0.23942
     0.77398    0.24948
     0.78796    0.25900
     0.80192    0.26800
     0.81584    0.27677
     0.82972    0.28534
     0.84355    0.29285
     0.85733    0.29885
     0.87111    0.30244
     0.88490    0.30302
     0.89873    0.30109
     0.91254    0.29598
     0.92628    0.28579
     0.93997    0.27345
     0.95389    0.26162
     0.96779    0.25270
     0.98141    0.24771
     0.99247    0.25376
     1.00000    0.29543
