#      x          Cp  
     1.00000    0.38230
     0.99195    0.39481
     0.98154    0.34708
     0.96979    0.30755
     0.95682    0.26733
     0.94291    0.22448
     0.92825    0.18023
     0.91302    0.13410
     0.89736    0.08626
     0.88137    0.03711
     0.86512   -0.01312
     0.84870   -0.06444
     0.83215   -0.11715
     0.81557   -0.17274
     0.79907   -0.23088
     0.78272   -0.29045
     0.76652   -0.34986
     0.75043   -0.40858
     0.73443   -0.46652
     0.71847   -0.52436
     0.70257   -0.58395
     0.68679   -0.64988
     0.67123   -0.71957
     0.65591   -0.79021
     0.64084   -0.85621
     0.62594   -0.91207
     0.61108   -0.94948
     0.59610   -0.97178
     0.58087   -0.98111
     0.56536   -0.98867
     0.54962   -0.99744
     0.53372   -1.00934
     0.51772   -1.02273
     0.50164   -1.03717
     0.48551   -1.05266
     0.46933   -1.06855
     0.45312   -1.08484
     0.43690   -1.10387
     0.42069   -1.12292
     0.40446   -1.13982
     0.38821   -1.16011
     0.37198   -1.18210
     0.35577   -1.20252
     0.33956   -1.22539
     0.32338   -1.25055
     0.30724   -1.27577
     0.29112   -1.30323
     0.27506   -1.33318
     0.25906   -1.36364
     0.24311   -1.39659
     0.22723   -1.43328
     0.21145   -1.47256
     0.19576   -1.51568
     0.18020   -1.56444
     0.16481   -1.61953
     0.14964   -1.68040
     0.13470   -1.74437
     0.12006   -1.81546
     0.10591   -1.89761
     0.09231   -1.99294
     0.07940   -2.10623
     0.06788   -2.25451
     0.05815   -2.42178
     0.04980   -2.57284
     0.04232   -2.67817
     0.03559   -2.79265
     0.02983   -2.97456
     0.02509   -3.24942
     0.02122   -4.01480
     0.01809   -4.52139
     0.01548   -3.72605
     0.01310   -3.21041
     0.01077   -4.33286
     0.00860   -7.00846
     0.00676   -6.40587
     0.00511   -6.49784
     0.00366   -7.16597
     0.00246   -7.13574
     0.00150   -6.86934
     0.00077   -6.50889
     0.00026   -6.07419
    -0.00001   -5.55346
    -0.00006   -4.92304
     0.00015   -4.08866
     0.00061   -3.16080
     0.00133   -2.28925
     0.00233   -1.50681
     0.00365   -0.80247
     0.00528   -0.18881
     0.00720    0.22380
     0.00945    0.51620
     0.01208    0.73403
     0.01514    0.86851
     0.01871    0.94740
     0.02295    0.98715
     0.02805    0.99988
     0.03430    0.99289
     0.04185    0.96978
     0.05068    0.93473
     0.06068    0.89226
     0.07209    0.84514
     0.08502    0.79577
     0.09914    0.74689
     0.11389    0.69786
     0.12891    0.65156
     0.14427    0.61235
     0.16002    0.57524
     0.17594    0.53915
     0.19195    0.50682
     0.20810    0.47675
     0.22435    0.44815
     0.24065    0.42161
     0.25701    0.39657
     0.27342    0.37269
     0.28986    0.35054
     0.30635    0.32954
     0.32287    0.30924
     0.33940    0.29020
     0.35597    0.27179
     0.37253    0.25363
     0.38910    0.23700
     0.40570    0.22076
     0.42227    0.20419
     0.43883    0.18915
     0.45541    0.17463
     0.47196    0.15984
     0.48850    0.14582
     0.50502    0.13151
     0.52143    0.11666
     0.53787    0.10682
     0.55435    0.09045
     0.57034    0.06259
     0.58598    0.05380
     0.60176    0.05102
     0.61742    0.03814
     0.63282    0.03721
     0.64832    0.04792
     0.66410    0.06211
     0.68012    0.07694
     0.69630    0.09105
     0.71270    0.10699
     0.72923    0.11718
     0.74553    0.12114
     0.76175    0.14119
     0.77835    0.16372
     0.79513    0.17800
     0.81188    0.19555
     0.82868    0.21393
     0.84549    0.23066
     0.86220    0.24801
     0.87875    0.26602
     0.89508    0.28461
     0.91111    0.30387
     0.92672    0.32326
     0.94176    0.34241
     0.95604    0.36175
     0.96934    0.38037
     0.98135    0.39905
     0.99190    0.42728
     1.00000    0.38230
