#      x          Cp  
     1.00000    0.32375
     0.99258    0.33353
     0.98225    0.28758
     0.97011    0.24615
     0.95685    0.20571
     0.94308    0.16503
     0.92900    0.12520
     0.91467    0.08494
     0.90018    0.04437
     0.88557    0.00400
     0.87087   -0.03632
     0.85611   -0.07656
     0.84130   -0.11765
     0.82647   -0.15990
     0.81167   -0.20343
     0.79694   -0.24777
     0.78229   -0.29244
     0.76769   -0.33643
     0.75313   -0.37960
     0.73859   -0.42207
     0.72405   -0.46476
     0.70951   -0.50867
     0.69501   -0.55565
     0.68059   -0.60582
     0.66628   -0.65673
     0.65210   -0.70573
     0.63801   -0.74871
     0.62396   -0.78400
     0.60990   -0.80894
     0.59576   -0.82511
     0.58148   -0.83363
     0.56704   -0.84150
     0.55250   -0.85065
     0.53789   -0.86232
     0.52326   -0.87517
     0.50860   -0.88806
     0.49392   -0.90149
     0.47921   -0.91563
     0.46450   -0.93027
     0.44977   -0.94566
     0.43504   -0.96240
     0.42032   -0.97914
     0.40559   -0.99528
     0.39085   -1.01311
     0.37612   -1.03246
     0.36141   -1.05189
     0.34669   -1.07203
     0.33198   -1.09346
     0.31729   -1.11634
     0.30261   -1.14080
     0.28795   -1.16674
     0.27332   -1.19416
     0.25871   -1.22307
     0.24413   -1.25415
     0.22957   -1.28793
     0.21506   -1.32470
     0.20058   -1.36503
     0.18616   -1.41030
     0.17180   -1.46069
     0.15754   -1.51700
     0.14336   -1.57895
     0.12928   -1.64768
     0.11531   -1.72582
     0.10149   -1.81806
     0.08778   -1.93774
     0.07436   -2.08727
     0.06175   -2.27003
     0.05006   -2.48941
     0.03873   -2.78863
     0.02858   -3.19640
     0.02112   -3.76406
     0.01578   -4.54910
     0.01175   -5.39857
     0.00861   -6.32532
     0.00612   -7.26787
     0.00415   -8.29654
     0.00262   -9.01320
     0.00146   -9.21476
     0.00065   -9.14438
     0.00015   -8.90613
    -0.00004   -8.36098
     0.00008   -7.10261
     0.00052   -5.26131
     0.00128   -3.57894
     0.00241   -2.18949
     0.00393   -1.03873
     0.00586   -0.17983
     0.00822    0.31614
     0.01115    0.65971
     0.01482    0.85893
     0.01956    0.96139
     0.02599    0.99840
     0.03517    0.98916
     0.04684    0.94848
     0.05901    0.89930
     0.07183    0.84894
     0.08564    0.79919
     0.09987    0.75291
     0.11419    0.71039
     0.12860    0.67126
     0.14310    0.63545
     0.15765    0.60285
     0.17227    0.57316
     0.18696    0.54569
     0.20170    0.52009
     0.21647    0.49599
     0.23127    0.47338
     0.24609    0.45216
     0.26093    0.43211
     0.27579    0.41312
     0.29066    0.39513
     0.30554    0.37806
     0.32044    0.36178
     0.33535    0.34618
     0.35026    0.33116
     0.36518    0.31665
     0.38010    0.30274
     0.39503    0.28943
     0.40996    0.27637
     0.42489    0.26363
     0.43981    0.25153
     0.45473    0.23978
     0.46966    0.22823
     0.48458    0.21684
     0.49949    0.20558
     0.51439    0.19441
     0.52927    0.18352
     0.54415    0.17286
     0.55900    0.16103
     0.57377    0.14868
     0.58846    0.13749
     0.60309    0.12655
     0.61759    0.11584
     0.63197    0.11052
     0.64636    0.11083
     0.66082    0.11507
     0.67539    0.12168
     0.69008    0.12919
     0.70486    0.13584
     0.71967    0.14110
     0.73447    0.14656
     0.74927    0.15267
     0.76408    0.15991
     0.77892    0.16836
     0.79381    0.17802
     0.80875    0.18846
     0.82377    0.19925
     0.83880    0.20981
     0.85380    0.22034
     0.86876    0.23103
     0.88368    0.24257
     0.89851    0.25497
     0.91324    0.26841
     0.92781    0.28235
     0.94215    0.29659
     0.95619    0.31231
     0.96970    0.32868
     0.98207    0.34530
     0.99254    0.36946
     1.00000    0.32375
