#      x          Cp  
     1.00000    0.30396
     0.99313    0.16381
     0.98425    0.12117
     0.97412    0.08163
     0.96250    0.04726
     0.94935    0.01419
     0.93570   -0.01681
     0.92228   -0.04504
     0.90867   -0.07198
     0.89478   -0.09742
     0.88099   -0.12075
     0.86719   -0.14363
     0.85329   -0.16713
     0.83932   -0.19385
     0.82537   -0.22221
     0.81149   -0.25002
     0.79767   -0.27479
     0.78385   -0.29390
     0.77000   -0.31090
     0.75609   -0.32743
     0.74214   -0.34611
     0.72818   -0.36712
     0.71423   -0.38886
     0.70030   -0.41088
     0.68639   -0.43260
     0.67248   -0.45422
     0.65858   -0.47579
     0.64467   -0.49715
     0.63076   -0.51829
     0.61684   -0.53949
     0.60292   -0.56092
     0.58900   -0.58299
     0.57508   -0.60550
     0.56117   -0.62828
     0.54726   -0.65115
     0.53335   -0.67402
     0.51945   -0.69704
     0.50554   -0.72031
     0.49164   -0.74407
     0.47774   -0.76827
     0.46385   -0.79267
     0.44997   -0.81723
     0.43610   -0.84203
     0.42225   -0.86647
     0.40842   -0.89004
     0.39459   -0.91114
     0.38075   -0.92936
     0.36690   -0.94686
     0.35302   -0.96461
     0.33913   -0.98434
     0.32524   -1.00572
     0.31136   -1.02829
     0.29749   -1.05208
     0.28362   -1.07721
     0.26975   -1.10407
     0.25588   -1.13310
     0.24203   -1.16557
     0.22819   -1.20153
     0.21439   -1.24038
     0.20060   -1.28208
     0.18684   -1.32642
     0.17308   -1.37500
     0.15934   -1.42968
     0.14562   -1.49435
     0.13194   -1.57225
     0.11833   -1.66209
     0.10480   -1.76618
     0.09136   -1.88952
     0.07801   -2.04171
     0.06476   -2.24830
     0.05171   -2.52963
     0.03920   -2.95143
     0.02764   -3.54415
     0.01748   -4.59958
     0.01050   -5.93399
     0.00635   -8.15675
     0.00365  -10.24794
     0.00188  -11.98196
     0.00077  -14.16170
     0.00015  -16.21433
    -0.00002  -16.37847
     0.00027  -11.66503
     0.00105   -6.60804
     0.00237   -3.27355
     0.00444   -1.21875
     0.00751    0.12479
     0.01233    0.72068
     0.02037    0.96320
     0.03148    0.99813
     0.04404    0.96212
     0.05723    0.91076
     0.07072    0.85956
     0.08438    0.81197
     0.09811    0.76854
     0.11187    0.72947
     0.12567    0.69429
     0.13953    0.66245
     0.15342    0.63328
     0.16734    0.60608
     0.18126    0.58087
     0.19519    0.55748
     0.20912    0.53578
     0.22306    0.51557
     0.23701    0.49664
     0.25097    0.47875
     0.26494    0.46163
     0.27890    0.44533
     0.29286    0.42984
     0.30683    0.41517
     0.32080    0.40125
     0.33478    0.38791
     0.34876    0.37492
     0.36273    0.36177
     0.37667    0.34900
     0.39058    0.33708
     0.40447    0.32683
     0.41836    0.31868
     0.43227    0.31172
     0.44620    0.30560
     0.46016    0.29986
     0.47412    0.29451
     0.48809    0.28968
     0.50206    0.28537
     0.51603    0.28161
     0.53001    0.27829
     0.54399    0.27536
     0.55799    0.27271
     0.57199    0.27033
     0.58600    0.26824
     0.60001    0.26645
     0.61402    0.26492
     0.62804    0.26371
     0.64206    0.26281
     0.65609    0.26236
     0.67012    0.26237
     0.68415    0.26262
     0.69819    0.26301
     0.71222    0.26348
     0.72625    0.26396
     0.74028    0.26440
     0.75427    0.26493
     0.76822    0.26550
     0.78213    0.26537
     0.79601    0.26394
     0.80991    0.25932
     0.82388    0.25247
     0.83793    0.24503
     0.85200    0.23835
     0.86601    0.23395
     0.87992    0.23039
     0.89381    0.22709
     0.90780    0.22327
     0.92155    0.21914
     0.93507    0.21549
     0.94882    0.21278
     0.96212    0.21220
     0.97388    0.21437
     0.98411    0.22046
     0.99307    0.23283
     1.00000    0.30396
