#      x          Cp  
     1.00000    0.30850
     0.99235    0.07028
     0.98106    0.05206
     0.96784    0.05349
     0.95382    0.05492
     0.93966    0.05097
     0.92551    0.04303
     0.91136    0.03239
     0.89719    0.02151
     0.88303    0.01005
     0.86887   -0.00306
     0.85469   -0.01716
     0.84049   -0.03153
     0.82628   -0.04636
     0.81207   -0.06177
     0.79785   -0.07780
     0.78363   -0.09464
     0.76939   -0.11227
     0.75513   -0.13036
     0.74086   -0.14860
     0.72658   -0.16727
     0.71230   -0.18665
     0.69800   -0.20673
     0.68368   -0.22708
     0.66936   -0.24723
     0.65503   -0.26774
     0.64072   -0.28950
     0.62641   -0.31278
     0.61210   -0.33664
     0.59778   -0.35997
     0.58346   -0.38321
     0.56913   -0.40746
     0.55480   -0.43374
     0.54050   -0.46126
     0.52622   -0.48934
     0.51195   -0.51772
     0.49769   -0.54686
     0.48343   -0.57691
     0.46917   -0.60808
     0.45491   -0.64069
     0.44067   -0.67531
     0.42645   -0.71161
     0.41224   -0.74926
     0.39804   -0.78824
     0.38386   -0.82904
     0.36968   -0.87238
     0.35553   -0.91834
     0.34139   -0.96685
     0.32728   -1.01828
     0.31320   -1.07264
     0.29915   -1.13063
     0.28513   -1.19251
     0.27116   -1.25817
     0.25724   -1.32860
     0.24338   -1.40316
     0.22960   -1.48307
     0.21591   -1.56755
     0.20232   -1.65461
     0.18885   -1.74336
     0.17550   -1.83172
     0.16228   -1.91754
     0.14918   -1.99993
     0.13619   -2.07593
     0.12331   -2.14826
     0.11057   -2.22478
     0.09804   -2.30071
     0.08574   -2.36798
     0.07365   -2.42317
     0.06171   -2.45843
     0.04986   -2.50841
     0.03824   -2.63133
     0.02773   -2.93364
     0.01916   -3.43593
     0.01290   -4.07955
     0.00862   -4.84827
     0.00558   -5.61902
     0.00333   -6.74658
     0.00175   -7.68347
     0.00074   -8.30777
     0.00017   -8.86114
     0.00000   -8.50211
     0.00022   -6.61695
     0.00087   -4.55436
     0.00203   -2.35605
     0.00379   -0.67351
     0.00616    0.24298
     0.00920    0.69797
     0.01324    0.92094
     0.01887    0.99547
     0.02681    0.98970
     0.03763    0.94850
     0.05086    0.89823
     0.06487    0.85237
     0.07905    0.81357
     0.09317    0.78042
     0.10722    0.75113
     0.12122    0.72439
     0.13518    0.69925
     0.14912    0.67462
     0.16309    0.64926
     0.17714    0.62338
     0.19129    0.59696
     0.20552    0.57029
     0.21982    0.54392
     0.23413    0.51786
     0.24843    0.49243
     0.26270    0.46759
     0.27693    0.44315
     0.29113    0.41914
     0.30528    0.39578
     0.31941    0.37346
     0.33353    0.35202
     0.34763    0.33136
     0.36172    0.31154
     0.37579    0.29266
     0.38984    0.27492
     0.40387    0.25841
     0.41790    0.24342
     0.43193    0.23040
     0.44598    0.21878
     0.46004    0.20819
     0.47411    0.19853
     0.48818    0.19003
     0.50226    0.18309
     0.51636    0.17746
     0.53048    0.17259
     0.54463    0.16795
     0.55877    0.16386
     0.57291    0.16056
     0.58705    0.15819
     0.60120    0.15662
     0.61537    0.15594
     0.62955    0.15605
     0.64375    0.15666
     0.65796    0.15739
     0.67217    0.15847
     0.68638    0.16031
     0.70060    0.16315
     0.71485    0.16657
     0.72911    0.17026
     0.74339    0.17425
     0.75769    0.17879
     0.77200    0.18413
     0.78634    0.18981
     0.80067    0.19561
     0.81497    0.20132
     0.82923    0.20662
     0.84347    0.21142
     0.85768    0.21599
     0.87186    0.22038
     0.88600    0.22388
     0.90011    0.22623
     0.91420    0.22924
     0.92820    0.23246
     0.94198    0.23412
     0.95554    0.22309
     0.96903    0.18592
     0.98179    0.12465
     0.99257    0.08576
     1.00000    0.30850
