#      x          Cp  
     0.99839    0.32765
     0.99060    0.31007
     0.97941    0.30323
     0.96629    0.29659
     0.95279    0.28485
     0.93955    0.26911
     0.92631    0.24929
     0.91281    0.22532
     0.89891    0.19692
     0.88456    0.16385
     0.86985    0.12647
     0.85486    0.08552
     0.83969    0.04212
     0.82445   -0.00172
     0.80922   -0.04250
     0.79400   -0.07918
     0.77877   -0.11363
     0.76353   -0.14896
     0.74833   -0.18397
     0.73314   -0.21754
     0.71794   -0.25130
     0.70275   -0.28622
     0.68757   -0.32158
     0.67240   -0.35727
     0.65723   -0.39425
     0.64209   -0.43316
     0.62697   -0.47334
     0.61189   -0.51464
     0.59683   -0.55738
     0.58181   -0.60204
     0.56683   -0.64809
     0.55191   -0.69539
     0.53704   -0.74347
     0.52221   -0.79172
     0.50742   -0.83992
     0.49268   -0.88768
     0.47797   -0.93473
     0.46329   -0.98075
     0.44861   -1.02540
     0.43396   -1.06976
     0.41934   -1.11476
     0.40477   -1.15840
     0.39022   -1.19773
     0.37567   -1.23479
     0.36112   -1.27356
     0.34662   -1.31278
     0.33219   -1.34765
     0.31777   -1.37775
     0.30334   -1.40594
     0.28892   -1.43297
     0.27451   -1.45847
     0.26010   -1.48282
     0.24570   -1.51010
     0.23136   -1.54234
     0.21711   -1.57381
     0.20292   -1.60342
     0.18879   -1.63793
     0.17479   -1.67756
     0.16092   -1.71473
     0.14716   -1.75358
     0.13356   -1.80510
     0.12023   -1.86148
     0.10719   -1.91823
     0.09445   -1.96899
     0.08202   -2.02440
     0.06991   -2.10291
     0.05882   -2.28196
     0.04898   -2.33059
     0.03953   -2.15948
     0.03094   -2.40428
     0.02420   -2.77590
     0.01905   -3.05462
     0.01501   -2.96892
     0.01173   -2.67198
     0.00902   -2.43612
     0.00675   -2.31155
     0.00481   -2.39765
     0.00312   -3.09685
     0.00176   -4.11194
     0.00079   -4.68840
     0.00021   -4.62589
    -0.00003   -4.13910
     0.00005   -3.28836
     0.00043   -2.39032
     0.00117   -1.45798
     0.00229   -0.51396
     0.00382    0.16429
     0.00572    0.56861
     0.00804    0.80632
     0.01085    0.93332
     0.01428    0.98892
     0.01854    0.99930
     0.02380    0.97858
     0.03017    0.93305
     0.03766    0.87112
     0.04664    0.81981
     0.05766    0.76438
     0.06963    0.69478
     0.08240    0.64922
     0.09630    0.60875
     0.11070    0.57172
     0.12531    0.53859
     0.14006    0.51052
     0.15495    0.48749
     0.17003    0.46809
     0.18521    0.44922
     0.20041    0.43244
     0.21567    0.41835
     0.23100    0.40540
     0.24636    0.39338
     0.26176    0.38291
     0.27722    0.37338
     0.29270    0.36357
     0.30816    0.35441
     0.32364    0.34712
     0.33918    0.34035
     0.35475    0.33256
     0.37029    0.32498
     0.38582    0.31878
     0.40138    0.31315
     0.41696    0.30736
     0.43253    0.30150
     0.44811    0.29543
     0.46369    0.28946
     0.47928    0.28415
     0.49483    0.27918
     0.51037    0.27389
     0.52591    0.26833
     0.54145    0.26281
     0.55699    0.25735
     0.57253    0.25183
     0.58806    0.24623
     0.60359    0.24054
     0.61912    0.23474
     0.63464    0.22892
     0.65015    0.22308
     0.66565    0.21670
     0.68115    0.20957
     0.69666    0.20201
     0.71218    0.19410
     0.72769    0.18594
     0.74317    0.17728
     0.75864    0.16627
     0.77414    0.15309
     0.78960    0.14176
     0.80482    0.12391
     0.81965    0.08612
     0.83418    0.06427
     0.84862    0.05192
     0.86312    0.04473
     0.87771    0.04225
     0.89231    0.04438
     0.90677    0.05201
     0.92096    0.06412
     0.93495    0.08000
     0.94906    0.10030
     0.96377    0.12711
     0.97846    0.16508
     0.99051    0.21469
     0.99839    0.32765
