#      x          Cp  
     1.00000    0.37655
     0.99218    0.21479
     0.98181    0.15653
     0.96980    0.11429
     0.95648    0.08407
     0.94273    0.05909
     0.92891    0.03201
     0.91506    0.00857
     0.90121   -0.01265
     0.88736   -0.03407
     0.87352   -0.05377
     0.85967   -0.07208
     0.84582   -0.09021
     0.83198   -0.10904
     0.81816   -0.12632
     0.80432   -0.14201
     0.79048   -0.15855
     0.77663   -0.17444
     0.76279   -0.19018
     0.74895   -0.20595
     0.73510   -0.22173
     0.72125   -0.23762
     0.70741   -0.25347
     0.69356   -0.26959
     0.67971   -0.28607
     0.66586   -0.30326
     0.65202   -0.32134
     0.63819   -0.33895
     0.62437   -0.35638
     0.61053   -0.37218
     0.59668   -0.39142
     0.58285   -0.41053
     0.56902   -0.42904
     0.55518   -0.44845
     0.54135   -0.46896
     0.52752   -0.48883
     0.51368   -0.50905
     0.49984   -0.53080
     0.48602   -0.55272
     0.47219   -0.57467
     0.45837   -0.59712
     0.44455   -0.61997
     0.43072   -0.64378
     0.41689   -0.66911
     0.40307   -0.69532
     0.38926   -0.72213
     0.37545   -0.74904
     0.36163   -0.77961
     0.34783   -0.80841
     0.33402   -0.84058
     0.32023   -0.87502
     0.30645   -0.90918
     0.29266   -0.94614
     0.27888   -0.98800
     0.26513   -1.03092
     0.25138   -1.07654
     0.23765   -1.12289
     0.22392   -1.17528
     0.21023   -1.23337
     0.19654   -1.29423
     0.18290   -1.36285
     0.16932   -1.43683
     0.15578   -1.51395
     0.14224   -1.60336
     0.12882   -1.70800
     0.11542   -1.81354
     0.10212   -1.95228
     0.08900   -2.10630
     0.07603   -2.27921
     0.06326   -2.48787
     0.05068   -2.77717
     0.03853   -3.12875
     0.02735   -3.61686
     0.01782   -4.28489
     0.01078   -5.14687
     0.00615   -6.20133
     0.00336   -7.28783
     0.00160   -8.43084
     0.00054  -10.38632
     0.00005  -11.63880
     0.00009   -9.32652
     0.00066   -5.39751
     0.00180   -2.58008
     0.00368   -0.99462
     0.00666    0.06764
     0.01162    0.68768
     0.01902    0.94774
     0.02883    0.99955
     0.04019    0.96065
     0.05243    0.89374
     0.06504    0.82485
     0.07784    0.75981
     0.09082    0.70128
     0.10397    0.65010
     0.11729    0.60556
     0.13069    0.56378
     0.14413    0.52953
     0.15767    0.49732
     0.17122    0.46868
     0.18480    0.44364
     0.19846    0.42137
     0.21214    0.40053
     0.22584    0.38273
     0.23958    0.36525
     0.25330    0.34947
     0.26705    0.33512
     0.28081    0.32237
     0.29459    0.31086
     0.30838    0.29935
     0.32216    0.28846
     0.33595    0.27933
     0.34977    0.26994
     0.36356    0.26124
     0.37738    0.25371
     0.39119    0.24597
     0.40501    0.23909
     0.41883    0.23282
     0.43265    0.22693
     0.44648    0.22109
     0.46030    0.21554
     0.47413    0.21051
     0.48795    0.20578
     0.50178    0.20178
     0.51562    0.19804
     0.52945    0.19410
     0.54328    0.19055
     0.55711    0.18779
     0.57095    0.18474
     0.58479    0.18168
     0.59862    0.17956
     0.61247    0.17735
     0.62631    0.17383
     0.64013    0.17161
     0.65395    0.16974
     0.66780    0.16844
     0.68165    0.16668
     0.69549    0.16481
     0.70934    0.16286
     0.72319    0.16094
     0.73704    0.15919
     0.75088    0.15748
     0.76473    0.15586
     0.77857    0.15428
     0.79241    0.15289
     0.80625    0.15191
     0.82009    0.15019
     0.83392    0.14994
     0.84776    0.15038
     0.86161    0.15002
     0.87546    0.14956
     0.88930    0.14986
     0.90315    0.15058
     0.91700    0.15036
     0.93085    0.14912
     0.94461    0.15198
     0.95808    0.12947
     0.97081    0.12635
     0.98226    0.15431
     0.99230    0.20732
     1.00000    0.37655
