#      x          Cp  
     1.00000    0.25674
     0.99221    0.13412
     0.98018    0.08695
     0.96659    0.04071
     0.95260    0.00420
     0.93856   -0.02973
     0.92450   -0.06151
     0.91045   -0.09206
     0.89642   -0.12415
     0.88243   -0.16037
     0.86845   -0.19700
     0.85446   -0.22968
     0.84045   -0.25964
     0.82642   -0.28910
     0.81237   -0.31915
     0.79832   -0.34955
     0.78427   -0.38049
     0.77024   -0.41222
     0.75621   -0.44439
     0.74220   -0.47676
     0.72819   -0.50916
     0.71417   -0.54197
     0.70016   -0.57551
     0.68614   -0.61030
     0.67214   -0.64601
     0.65814   -0.68254
     0.64417   -0.72030
     0.63022   -0.75875
     0.61629   -0.79705
     0.60239   -0.83409
     0.58849   -0.86912
     0.57460   -0.90281
     0.56071   -0.93503
     0.54680   -0.96496
     0.53286   -0.99348
     0.51891   -1.02129
     0.50494   -1.04927
     0.49096   -1.07767
     0.47698   -1.10587
     0.46301   -1.13363
     0.44904   -1.16060
     0.43506   -1.18711
     0.42107   -1.21342
     0.40708   -1.23954
     0.39308   -1.26577
     0.37907   -1.29256
     0.36506   -1.32070
     0.35106   -1.35082
     0.33708   -1.38213
     0.32311   -1.41438
     0.30915   -1.44728
     0.29520   -1.48159
     0.28126   -1.51826
     0.26734   -1.55919
     0.25346   -1.60359
     0.23962   -1.65082
     0.22583   -1.70105
     0.21209   -1.75456
     0.19841   -1.81204
     0.18479   -1.87545
     0.17125   -1.94411
     0.15781   -2.01929
     0.14448   -2.10281
     0.13130   -2.19308
     0.11828   -2.29338
     0.10546   -2.40257
     0.09287   -2.52211
     0.08053   -2.65426
     0.06853   -2.80573
     0.05695   -2.98456
     0.04594   -3.19101
     0.03570   -3.43125
     0.02649   -3.73123
     0.01873   -4.07625
     0.01274   -4.49063
     0.00841   -4.89844
     0.00533   -5.46146
     0.00319   -6.01079
     0.00176   -6.45771
     0.00082   -7.11964
     0.00027   -7.75920
     0.00002   -8.80154
     0.00014  -11.38781
     0.00102   -5.66724
     0.00252   -1.96382
     0.00455   -0.52338
     0.00726    0.23107
     0.01099    0.67068
     0.01617    0.89986
     0.02325    0.98884
     0.03271    0.99532
     0.04426    0.95931
     0.05697    0.91064
     0.07017    0.86223
     0.08370    0.81849
     0.09749    0.78019
     0.11149    0.74661
     0.12560    0.71597
     0.13972    0.68854
     0.15385    0.66429
     0.16799    0.64288
     0.18218    0.62380
     0.19643    0.60669
     0.21073    0.59119
     0.22507    0.57696
     0.23942    0.56326
     0.25377    0.55012
     0.26810    0.53787
     0.28241    0.52683
     0.29674    0.51710
     0.31108    0.50813
     0.32544    0.49959
     0.33983    0.49092
     0.35422    0.48235
     0.36860    0.47408
     0.38298    0.46623
     0.39736    0.45892
     0.41175    0.45200
     0.42613    0.44540
     0.44052    0.43900
     0.45490    0.43282
     0.46928    0.42702
     0.48364    0.42171
     0.49800    0.41727
     0.51234    0.41349
     0.52669    0.41000
     0.54103    0.40654
     0.55539    0.40259
     0.56976    0.39852
     0.58414    0.39463
     0.59853    0.39123
     0.61291    0.38874
     0.62728    0.38670
     0.64163    0.38489
     0.65596    0.38305
     0.67028    0.38105
     0.68459    0.37907
     0.69891    0.37718
     0.71322    0.37553
     0.72752    0.37403
     0.74180    0.37257
     0.75607    0.37106
     0.77033    0.36943
     0.78458    0.36775
     0.79883    0.36606
     0.81306    0.36449
     0.82727    0.36290
     0.84146    0.36116
     0.85563    0.35925
     0.86978    0.35710
     0.88390    0.35464
     0.89799    0.35180
     0.91206    0.34836
     0.92608    0.34452
     0.94003    0.33994
     0.95389    0.33388
     0.96757    0.32641
     0.98074    0.31571
     0.99234    0.31457
     1.00000    0.25674
