#      x          Cp  
     1.00000    0.43861
     0.99118    0.20108
     0.98002    0.11831
     0.96767    0.04926
     0.95411   -0.00629
     0.93933   -0.05399
     0.92338   -0.09578
     0.90633   -0.13265
     0.88829   -0.16692
     0.86942   -0.19960
     0.84987   -0.23160
     0.82979   -0.26369
     0.80934   -0.29645
     0.78863   -0.33018
     0.76779   -0.36512
     0.74690   -0.40104
     0.72601   -0.43792
     0.70518   -0.47583
     0.68444   -0.51484
     0.66382   -0.55534
     0.64336   -0.59652
     0.62306   -0.63771
     0.60289   -0.67815
     0.58282   -0.71716
     0.56280   -0.75524
     0.54282   -0.79257
     0.52286   -0.83069
     0.50295   -0.87030
     0.48311   -0.91192
     0.46339   -0.95572
     0.44381   -1.00135
     0.42439   -1.04841
     0.40515   -1.09582
     0.38607   -1.14319
     0.36714   -1.18970
     0.34832   -1.23538
     0.32960   -1.27986
     0.31095   -1.32417
     0.29240   -1.36987
     0.27398   -1.41867
     0.25578   -1.47339
     0.23791   -1.53513
     0.22053   -1.60637
     0.20378   -1.68678
     0.18780   -1.77784
     0.17271   -1.87801
     0.15859   -1.98829
     0.14547   -2.10490
     0.13333   -2.22881
     0.12215   -2.35516
     0.11186   -2.48614
     0.10241   -2.61657
     0.09371   -2.74402
     0.08570   -2.86839
     0.07831   -2.98391
     0.07148   -3.08625
     0.06515   -3.17460
     0.05928   -3.25406
     0.05382   -3.32317
     0.04873   -3.38098
     0.04398   -3.44567
     0.03954   -3.52977
     0.03540   -3.66660
     0.03152   -3.84468
     0.02791   -4.04338
     0.02453   -4.27452
     0.02139   -4.58999
     0.01849   -4.91762
     0.01583   -5.19864
     0.01341   -5.37542
     0.01123   -5.37073
     0.00928   -5.26197
     0.00754   -5.08409
     0.00600   -4.84830
     0.00466   -4.54481
     0.00352   -4.19639
     0.00255   -3.83417
     0.00175   -3.47096
     0.00111   -3.11659
     0.00062   -2.78099
     0.00027   -2.45967
     0.00007   -2.14820
     0.00000   -1.84476
     0.00006   -1.54727
     0.00026   -1.25670
     0.00061   -0.97381
     0.00110   -0.69945
     0.00174   -0.43643
     0.00254   -0.19018
     0.00351    0.03670
     0.00464    0.24236
     0.00593    0.42600
     0.00740    0.58568
     0.00903    0.71885
     0.01085    0.82527
     0.01283    0.90537
     0.01501    0.96008
     0.01736    0.99074
     0.01989    1.00000
     0.02260    0.99127
     0.02549    0.96878
     0.02857    0.93790
     0.03186    0.90345
     0.03535    0.86917
     0.03907    0.83748
     0.04303    0.80971
     0.04728    0.78704
     0.05185    0.76953
     0.05682    0.75431
     0.06223    0.73911
     0.06819    0.72549
     0.07477    0.71274
     0.08208    0.69906
     0.09025    0.68505
     0.09941    0.66974
     0.10975    0.65205
     0.12145    0.63274
     0.13470    0.61216
     0.14963    0.59069
     0.16622    0.56914
     0.18437    0.54797
     0.20381    0.52771
     0.22425    0.50867
     0.24542    0.49094
     0.26710    0.47455
     0.28912    0.45944
     0.31139    0.44542
     0.33381    0.43234
     0.35633    0.42006
     0.37891    0.40849
     0.40151    0.39750
     0.42415    0.38706
     0.44679    0.37713
     0.46945    0.36771
     0.49211    0.35875
     0.51476    0.35018
     0.53740    0.34207
     0.56004    0.33446
     0.58268    0.32723
     0.60532    0.32036
     0.62796    0.31388
     0.65060    0.30778
     0.67324    0.30202
     0.69587    0.29656
     0.71848    0.29138
     0.74106    0.28652
     0.76358    0.28199
     0.78602    0.27779
     0.80834    0.27386
     0.83047    0.27035
     0.85232    0.26738
     0.87373    0.26488
     0.89449    0.26326
     0.91430    0.26290
     0.93285    0.26422
     0.94986    0.26802
     0.96518    0.27586
     0.97879    0.29062
     0.99078    0.31553
     1.00000    0.43861
