#      x          Cp  
     1.00000    0.47907
     0.99167    0.33097
     0.98089    0.21101
     0.96873    0.13569
     0.95511    0.09894
     0.94010    0.07490
     0.92406    0.04510
     0.90746    0.01361
     0.89057   -0.01889
     0.87350   -0.05220
     0.85636   -0.08600
     0.83916   -0.12194
     0.82192   -0.15886
     0.80462   -0.19846
     0.78727   -0.23937
     0.76988   -0.28256
     0.75244   -0.32862
     0.73498   -0.37733
     0.71753   -0.42940
     0.70015   -0.48485
     0.68286   -0.54317
     0.66568   -0.60597
     0.64864   -0.67256
     0.63174   -0.74369
     0.61502   -0.82051
     0.59852   -0.90310
     0.58227   -0.99183
     0.56633   -1.08917
     0.55075   -1.19136
     0.53552   -1.28946
     0.52052   -1.37505
     0.50567   -1.44838
     0.49086   -1.50712
     0.47601   -1.54827
     0.46100   -1.57138
     0.44578   -1.58773
     0.43034   -1.60481
     0.41475   -1.62336
     0.39903   -1.64201
     0.38322   -1.66437
     0.36737   -1.68776
     0.35150   -1.71213
     0.33563   -1.73706
     0.31977   -1.76189
     0.30393   -1.78876
     0.28813   -1.81707
     0.27239   -1.84759
     0.25674   -1.88020
     0.24119   -1.91340
     0.22576   -1.94966
     0.21046   -1.98797
     0.19534   -2.02926
     0.18042   -2.07510
     0.16575   -2.12371
     0.15137   -2.17722
     0.13736   -2.23602
     0.12378   -2.29956
     0.11073   -2.36806
     0.09830   -2.44112
     0.08660   -2.51921
     0.07574   -2.60238
     0.06578   -2.69021
     0.05681   -2.77896
     0.04885   -2.87228
     0.04185   -2.97022
     0.03573   -3.06678
     0.03040   -3.15987
     0.02575   -3.25808
     0.02170   -3.34638
     0.01817   -3.42613
     0.01509   -3.49442
     0.01241   -3.54079
     0.01008   -3.56285
     0.00805   -3.57195
     0.00629   -3.58512
     0.00475   -3.60403
     0.00343   -3.68345
     0.00232   -3.81281
     0.00142   -3.87964
     0.00075   -3.85842
     0.00029   -3.74155
     0.00005   -3.54863
     0.00001   -3.31218
     0.00020   -3.02685
     0.00067   -2.61346
     0.00152   -1.87281
     0.00276   -0.97281
     0.00436   -0.26436
     0.00624    0.21059
     0.00839    0.51308
     0.01077    0.69478
     0.01341    0.81835
     0.01636    0.90183
     0.01966    0.95526
     0.02336    0.98579
     0.02753    0.99883
     0.03226    0.99802
     0.03765    0.98608
     0.04384    0.96499
     0.05098    0.93638
     0.05925    0.90195
     0.06880    0.86292
     0.07967    0.82126
     0.09180    0.77862
     0.10512    0.73646
     0.11945    0.69588
     0.13457    0.65746
     0.15028    0.62146
     0.16641    0.58800
     0.18284    0.55705
     0.19950    0.52832
     0.21632    0.50157
     0.23326    0.47685
     0.25031    0.45369
     0.26744    0.43177
     0.28462    0.41118
     0.30185    0.39190
     0.31912    0.37351
     0.33643    0.35619
     0.35376    0.33949
     0.37110    0.32361
     0.38845    0.30833
     0.40581    0.29357
     0.42316    0.27954
     0.44050    0.26584
     0.45782    0.25250
     0.47511    0.23954
     0.49235    0.22690
     0.50956    0.21512
     0.52672    0.20398
     0.54382    0.19307
     0.56086    0.18256
     0.57779    0.17197
     0.59460    0.16206
     0.61124    0.15180
     0.62767    0.14233
     0.64389    0.13639
     0.65999    0.13607
     0.67605    0.14137
     0.69217    0.15135
     0.70844    0.16777
     0.72499    0.18935
     0.74188    0.21190
     0.75907    0.23383
     0.77644    0.25529
     0.79383    0.27520
     0.81111    0.29344
     0.82825    0.31044
     0.84522    0.32639
     0.86199    0.34124
     0.87855    0.35497
     0.89488    0.36772
     0.91092    0.37964
     0.92655    0.39135
     0.94160    0.40397
     0.95580    0.41845
     0.96893    0.43444
     0.98087    0.45254
     0.99156    0.48057
     1.00000    0.47907
