#      x          Cp  
     1.00000    0.45839
     0.99218    0.29166
     0.98178    0.16134
     0.97003    0.07715
     0.95686    0.04064
     0.94237    0.01766
     0.92693   -0.01036
     0.91110   -0.03976
     0.89510   -0.06984
     0.87907   -0.10218
     0.86304   -0.12619
     0.84702   -0.15389
     0.83100   -0.18965
     0.81494   -0.22598
     0.79880   -0.25606
     0.78260   -0.29065
     0.76638   -0.32669
     0.75017   -0.36411
     0.73399   -0.40297
     0.71784   -0.44335
     0.70174   -0.48565
     0.68566   -0.52886
     0.66963   -0.57513
     0.65365   -0.62382
     0.63772   -0.67422
     0.62185   -0.72785
     0.60603   -0.78257
     0.59027   -0.84095
     0.57459   -0.90370
     0.55902   -0.96994
     0.54356   -1.03946
     0.52825   -1.11442
     0.51313   -1.19283
     0.49822   -1.27005
     0.48346   -1.34062
     0.46881   -1.40145
     0.45420   -1.45335
     0.43961   -1.49536
     0.42494   -1.52203
     0.41014   -1.54143
     0.39521   -1.55986
     0.38019   -1.58017
     0.36510   -1.60020
     0.34996   -1.62220
     0.33481   -1.64615
     0.31967   -1.67121
     0.30455   -1.69756
     0.28944   -1.72401
     0.27437   -1.75232
     0.25936   -1.78356
     0.24440   -1.81543
     0.22952   -1.84924
     0.21473   -1.88587
     0.20004   -1.92556
     0.18547   -1.96752
     0.17105   -2.01370
     0.15680   -2.06465
     0.14276   -2.12040
     0.12896   -2.18157
     0.11546   -2.25054
     0.10234   -2.32918
     0.08970   -2.41745
     0.07766   -2.51657
     0.06637   -2.62969
     0.05601   -2.75326
     0.04678   -2.89089
     0.03874   -3.03432
     0.03187   -3.17635
     0.02606   -3.34160
     0.02120   -3.51089
     0.01713   -3.67884
     0.01372   -3.83380
     0.01086   -3.97074
     0.00846   -4.09464
     0.00644   -4.20013
     0.00472   -4.31734
     0.00328   -4.58896
     0.00208   -4.98380
     0.00115   -5.30424
     0.00049   -5.48203
     0.00012   -5.27708
     0.00000   -4.84460
     0.00013   -4.24248
     0.00052   -3.55954
     0.00122   -2.79684
     0.00231   -1.79659
     0.00380   -0.78736
     0.00566   -0.07531
     0.00787    0.38036
     0.01042    0.63689
     0.01334    0.79466
     0.01670    0.89484
     0.02059    0.95756
     0.02516    0.99085
     0.03058    0.99995
     0.03705    0.98976
     0.04481    0.96455
     0.05402    0.92799
     0.06478    0.88414
     0.07692    0.83740
     0.09013    0.79125
     0.10417    0.74740
     0.11881    0.70657
     0.13386    0.66912
     0.14919    0.63483
     0.16473    0.60335
     0.18042    0.57428
     0.19622    0.54745
     0.21209    0.52256
     0.22804    0.49955
     0.24405    0.47809
     0.26010    0.45771
     0.27618    0.43865
     0.29230    0.42060
     0.30843    0.40350
     0.32458    0.38737
     0.34076    0.37208
     0.35695    0.35718
     0.37313    0.34286
     0.38931    0.32935
     0.40550    0.31644
     0.42168    0.30397
     0.43787    0.29229
     0.45406    0.28087
     0.47023    0.26972
     0.48639    0.25897
     0.50254    0.24869
     0.51867    0.23880
     0.53478    0.22935
     0.55086    0.22001
     0.56690    0.21056
     0.58288    0.20121
     0.59877    0.19225
     0.61456    0.18300
     0.63020    0.17459
     0.64569    0.16869
     0.66108    0.16658
     0.67642    0.16858
     0.69176    0.17438
     0.70716    0.18535
     0.72273    0.20104
     0.73851    0.21855
     0.75450    0.23648
     0.77067    0.25449
     0.78691    0.27194
     0.80310    0.28823
     0.81919    0.30339
     0.83516    0.31786
     0.85101    0.33139
     0.86674    0.34420
     0.88234    0.35637
     0.89779    0.36772
     0.91307    0.37858
     0.92809    0.38900
     0.94274    0.39985
     0.95673    0.41180
     0.96981    0.42394
     0.98168    0.43808
     0.99207    0.46093
     1.00000    0.45839
