#      x          Cp  
     1.00000    0.46102
     0.99267    0.27672
     0.98239    0.20348
     0.96983    0.14976
     0.95623    0.11398
     0.94255    0.08506
     0.92895    0.05458
     0.91525    0.02467
     0.90147   -0.00403
     0.88770   -0.03264
     0.87395   -0.06204
     0.86021   -0.09121
     0.84648   -0.11938
     0.83278   -0.14590
     0.81907   -0.16973
     0.80536   -0.19211
     0.79163   -0.21355
     0.77789   -0.23448
     0.76414   -0.25533
     0.75040   -0.27536
     0.73664   -0.29376
     0.72285   -0.31294
     0.70905   -0.33509
     0.69528   -0.35755
     0.68151   -0.37850
     0.66771   -0.40028
     0.65391   -0.42451
     0.64012   -0.45000
     0.62635   -0.47634
     0.61258   -0.50331
     0.59881   -0.53064
     0.58503   -0.55951
     0.57127   -0.59080
     0.55754   -0.62255
     0.54381   -0.65388
     0.53008   -0.68548
     0.51637   -0.71748
     0.50265   -0.74971
     0.48895   -0.78208
     0.47527   -0.81362
     0.46158   -0.84373
     0.44789   -0.87370
     0.43420   -0.90396
     0.42052   -0.93411
     0.40686   -0.96409
     0.39322   -0.99244
     0.37958   -1.01720
     0.36594   -1.03969
     0.35229   -1.06054
     0.33865   -1.07985
     0.32500   -1.09756
     0.31135   -1.11425
     0.29767   -1.12949
     0.28398   -1.14626
     0.27027   -1.16907
     0.25659   -1.19576
     0.24292   -1.22439
     0.22925   -1.25664
     0.21561   -1.29593
     0.20201   -1.34073
     0.18846   -1.39124
     0.17499   -1.44390
     0.16159   -1.49500
     0.14823   -1.54310
     0.13491   -1.59028
     0.12161   -1.62969
     0.10823   -1.68116
     0.09487   -1.77086
     0.08160   -1.89858
     0.06849   -2.09126
     0.05576   -2.34825
     0.04347   -2.68037
     0.03187   -3.09496
     0.02127   -3.57952
     0.01276   -4.41068
     0.00726   -5.72522
     0.00386   -8.04643
     0.00182  -10.39246
     0.00067  -13.19661
     0.00010  -15.68466
     0.00004  -13.87709
     0.00048   -8.33680
     0.00147   -4.25427
     0.00325   -1.69291
     0.00623   -0.14456
     0.01097    0.60304
     0.01850    0.91946
     0.02860    0.99919
     0.04027    0.97862
     0.05276    0.92870
     0.06570    0.87348
     0.07887    0.81869
     0.09208    0.76675
     0.10536    0.71968
     0.11870    0.67674
     0.13212    0.63998
     0.14570    0.60706
     0.15935    0.57476
     0.17304    0.54473
     0.18677    0.51439
     0.20046    0.48399
     0.21412    0.45555
     0.22780    0.42826
     0.24146    0.40151
     0.25511    0.37618
     0.26874    0.35344
     0.28240    0.33249
     0.29607    0.31271
     0.30975    0.29420
     0.32343    0.27725
     0.33713    0.26155
     0.35084    0.24672
     0.36454    0.23302
     0.37825    0.22085
     0.39198    0.20980
     0.40571    0.19938
     0.41943    0.18991
     0.43317    0.18197
     0.44692    0.17485
     0.46069    0.16756
     0.47445    0.16047
     0.48821    0.15385
     0.50196    0.14757
     0.51570    0.14111
     0.52941    0.13565
     0.54310    0.13284
     0.55679    0.13219
     0.57050    0.13397
     0.58423    0.13735
     0.59800    0.14188
     0.61182    0.14650
     0.62567    0.14970
     0.63951    0.15142
     0.65337    0.15087
     0.66723    0.14861
     0.68109    0.14451
     0.69491    0.13961
     0.70870    0.13490
     0.72246    0.13095
     0.73619    0.12875
     0.74989    0.12845
     0.76359    0.13104
     0.77731    0.13549
     0.79105    0.14095
     0.80482    0.14705
     0.81860    0.15359
     0.83239    0.15985
     0.84620    0.16430
     0.86002    0.16785
     0.87383    0.17142
     0.88765    0.17487
     0.90147    0.17766
     0.91528    0.18096
     0.92900    0.18589
     0.94262    0.19315
     0.95633    0.20332
     0.96995    0.22107
     0.98244    0.25357
     0.99268    0.30633
     1.00000    0.46102
