#      x          Cp  
     1.00000    0.36510
     0.99223    0.21768
     0.98054    0.15622
     0.96692    0.11038
     0.95277    0.07513
     0.93848    0.04572
     0.92416    0.01958
     0.90984   -0.00439
     0.89551   -0.02627
     0.88117   -0.04756
     0.86684   -0.06764
     0.85251   -0.08734
     0.83817   -0.10683
     0.82384   -0.12583
     0.80950   -0.14497
     0.79516   -0.16428
     0.78083   -0.18389
     0.76651   -0.20484
     0.75219   -0.22557
     0.73788   -0.24724
     0.72359   -0.26870
     0.70929   -0.29102
     0.69502   -0.31376
     0.68075   -0.33650
     0.66648   -0.36025
     0.65223   -0.38404
     0.63799   -0.40886
     0.62377   -0.43392
     0.60955   -0.45952
     0.59534   -0.48574
     0.58114   -0.51263
     0.56697   -0.54062
     0.55281   -0.56843
     0.53868   -0.59803
     0.52457   -0.62730
     0.51052   -0.65953
     0.49657   -0.68661
     0.48257   -0.70032
     0.46849   -0.71479
     0.45437   -0.73104
     0.44023   -0.74704
     0.42607   -0.76403
     0.41191   -0.78165
     0.39774   -0.79982
     0.38356   -0.81910
     0.36939   -0.83893
     0.35521   -0.85989
     0.34103   -0.88239
     0.32685   -0.90580
     0.31268   -0.93052
     0.29852   -0.95679
     0.28436   -0.98482
     0.27021   -1.01506
     0.25608   -1.04780
     0.24196   -1.08221
     0.22786   -1.12029
     0.21378   -1.16204
     0.19972   -1.20734
     0.18569   -1.25764
     0.17170   -1.31409
     0.15775   -1.37695
     0.14385   -1.44924
     0.13002   -1.53255
     0.11627   -1.62850
     0.10262   -1.74367
     0.08912   -1.88376
     0.07581   -2.05600
     0.06281   -2.27787
     0.05029   -2.56830
     0.03861   -2.96215
     0.02843   -3.49066
     0.02033   -4.16688
     0.01433   -4.98065
     0.00997   -5.93905
     0.00676   -7.03750
     0.00436   -8.32048
     0.00257   -9.70952
     0.00127  -11.20185
     0.00044  -11.79441
     0.00005  -11.52481
     0.00005   -9.66147
     0.00044   -6.81293
     0.00127   -4.21771
     0.00257   -2.14310
     0.00436   -0.81968
     0.00676    0.01918
     0.00997    0.52786
     0.01433    0.81980
     0.02033    0.96162
     0.02843    1.00000
     0.03861    0.97599
     0.05029    0.92436
     0.06281    0.86578
     0.07581    0.80886
     0.08912    0.75609
     0.10262    0.70820
     0.11627    0.66475
     0.13002    0.62519
     0.14385    0.58934
     0.15775    0.55650
     0.17170    0.52619
     0.18569    0.49829
     0.19972    0.47233
     0.21378    0.44810
     0.22786    0.42556
     0.24196    0.40434
     0.25608    0.38417
     0.27021    0.36536
     0.28436    0.34746
     0.29852    0.33038
     0.31268    0.31409
     0.32685    0.29852
     0.34103    0.28365
     0.35521    0.26951
     0.36939    0.25574
     0.38356    0.24244
     0.39774    0.22974
     0.41191    0.21734
     0.42607    0.20544
     0.44023    0.19391
     0.45437    0.18257
     0.46849    0.17193
     0.48257    0.16099
     0.49657    0.15024
     0.51052    0.14687
     0.52457    0.14683
     0.53868    0.14599
     0.55281    0.14604
     0.56697    0.14581
     0.58114    0.14631
     0.59534    0.14681
     0.60955    0.14751
     0.62377    0.14839
     0.63799    0.14947
     0.65223    0.15090
     0.66648    0.15214
     0.68075    0.15379
     0.69502    0.15521
     0.70929    0.15699
     0.72359    0.15886
     0.73788    0.16047
     0.75219    0.16251
     0.76651    0.16418
     0.78083    0.16623
     0.79516    0.16752
     0.80950    0.16875
     0.82384    0.16997
     0.83817    0.17114
     0.85251    0.17270
     0.86684    0.17439
     0.88117    0.17629
     0.89551    0.17896
     0.90984    0.18183
     0.92416    0.18599
     0.93848    0.19135
     0.95277    0.19855
     0.96692    0.20955
     0.98054    0.22776
     0.99223    0.26094
     1.00000    0.36510
