#      x          Cp  
     1.00000    0.42282
     0.99940    0.32256
     0.99759    0.25494
     0.99459    0.20515
     0.99039    0.16182
     0.98502    0.12303
     0.97847    0.08588
     0.97077    0.05075
     0.96194    0.01649
     0.95200   -0.01640
     0.94096   -0.04946
     0.92886   -0.08221
     0.91573   -0.11458
     0.90160   -0.14733
     0.88650   -0.17992
     0.87048   -0.21332
     0.85355   -0.24695
     0.83578   -0.28161
     0.81720   -0.31744
     0.79785   -0.35373
     0.77778   -0.39088
     0.75705   -0.42826
     0.73570   -0.46670
     0.71378   -0.50530
     0.69134   -0.54453
     0.66844   -0.58484
     0.64514   -0.62594
     0.62149   -0.66834
     0.59754   -0.71084
     0.57337   -0.75190
     0.54901   -0.78878
     0.52453   -0.82175
     0.50000   -0.85213
     0.47547   -0.88068
     0.45099   -0.90893
     0.42663   -0.93801
     0.40246   -0.96951
     0.37851   -1.00371
     0.35486   -1.04002
     0.33155   -1.07869
     0.30866   -1.11975
     0.28622   -1.16401
     0.26430   -1.21329
     0.24295   -1.26692
     0.22221   -1.32531
     0.20215   -1.39032
     0.18280   -1.46241
     0.16422   -1.54354
     0.14645   -1.63350
     0.12952   -1.73569
     0.11349   -1.85373
     0.09840   -1.99198
     0.08427   -2.15481
     0.07114   -2.35015
     0.05904   -2.58814
     0.04800   -2.88408
     0.03806   -3.26508
     0.02923   -3.76886
     0.02153   -4.43669
     0.01498   -5.34222
     0.00961   -6.54783
     0.00541   -8.13636
     0.00241  -10.02416
     0.00060  -11.41183
     0.00000  -10.13124
     0.00060   -6.19574
     0.00241   -2.65488
     0.00541   -0.67599
     0.00961    0.28762
     0.01498    0.73341
     0.02153    0.92546
     0.02923    0.99240
     0.03806    0.99658
     0.04800    0.96926
     0.05904    0.92667
     0.07114    0.87734
     0.08427    0.82579
     0.09840    0.77435
     0.11349    0.72403
     0.12952    0.67548
     0.14645    0.62918
     0.16422    0.58491
     0.18280    0.54258
     0.20215    0.50206
     0.22221    0.46328
     0.24295    0.42543
     0.26430    0.38833
     0.28622    0.35117
     0.30866    0.31445
     0.33155    0.27956
     0.35486    0.24888
     0.37851    0.22368
     0.40246    0.20536
     0.42663    0.19402
     0.45099    0.18937
     0.47547    0.19039
     0.50000    0.19593
     0.52453    0.20459
     0.54901    0.21462
     0.57337    0.22561
     0.59754    0.23696
     0.62149    0.24858
     0.64514    0.26041
     0.66844    0.27242
     0.69134    0.28428
     0.71378    0.29583
     0.73570    0.30692
     0.75705    0.31715
     0.77778    0.32611
     0.79785    0.33423
     0.81720    0.34193
     0.83578    0.34909
     0.85355    0.35557
     0.87048    0.36115
     0.88650    0.36595
     0.90160    0.36944
     0.91573    0.37165
     0.92886    0.37227
     0.94096    0.37170
     0.95200    0.36970
     0.96194    0.36552
     0.97077    0.35949
     0.97847    0.35222
     0.98502    0.34509
     0.99039    0.33941
     0.99459    0.33717
     0.99759    0.34191
     0.99940    0.36443
     1.00000    0.42282
