#      x          Cp  
     1.00000    0.40658
     0.99274    0.22431
     0.98337    0.15541
     0.97271    0.10334
     0.96055    0.06076
     0.94687    0.02546
     0.93234   -0.00115
     0.91797   -0.02162
     0.90344   -0.03954
     0.88879   -0.05883
     0.87433   -0.07877
     0.85995   -0.09842
     0.84558   -0.11784
     0.83116   -0.13700
     0.81665   -0.15584
     0.80203   -0.17419
     0.78733   -0.19141
     0.77258   -0.20794
     0.75787   -0.22417
     0.74316   -0.24038
     0.72845   -0.25689
     0.71372   -0.27404
     0.69897   -0.29252
     0.68423   -0.31336
     0.66953   -0.33541
     0.65486   -0.35817
     0.64022   -0.38126
     0.62561   -0.40435
     0.61102   -0.42704
     0.59643   -0.44829
     0.58184   -0.46726
     0.56723   -0.48536
     0.55260   -0.50314
     0.53794   -0.52101
     0.52326   -0.53940
     0.50856   -0.55877
     0.49385   -0.58040
     0.47915   -0.60471
     0.46446   -0.63045
     0.44979   -0.65729
     0.43515   -0.68492
     0.42054   -0.71309
     0.40595   -0.74150
     0.39139   -0.76922
     0.37683   -0.79643
     0.36228   -0.82399
     0.34773   -0.85223
     0.33317   -0.88153
     0.31861   -0.91234
     0.30404   -0.94522
     0.28945   -0.98163
     0.27486   -1.02136
     0.26027   -1.06399
     0.24568   -1.10969
     0.23112   -1.15881
     0.21660   -1.21198
     0.20215   -1.27060
     0.18780   -1.33877
     0.17356   -1.41363
     0.15944   -1.49257
     0.14542   -1.57199
     0.13145   -1.65083
     0.11752   -1.73691
     0.10361   -1.83684
     0.08975   -1.96136
     0.07603   -2.13455
     0.06264   -2.42525
     0.05004   -2.75070
     0.03891   -3.03960
     0.02925   -3.40383
     0.02051   -4.28791
     0.01362   -5.17253
     0.00932   -5.82277
     0.00647   -6.60063
     0.00441   -7.45444
     0.00286   -8.39737
     0.00170   -9.39473
     0.00087  -10.33663
     0.00031  -10.96972
     0.00004  -10.88173
     0.00004   -9.41276
     0.00031   -7.05163
     0.00087   -4.82649
     0.00170   -3.03141
     0.00286   -1.69029
     0.00441   -0.72191
     0.00647   -0.03345
     0.00932    0.45117
     0.01362    0.77987
     0.02051    0.96378
     0.02925    0.99973
     0.03891    0.97349
     0.05004    0.91890
     0.06264    0.85540
     0.07603    0.79646
     0.08975    0.73958
     0.10361    0.68630
     0.11752    0.63744
     0.13145    0.59311
     0.14542    0.55337
     0.15944    0.51898
     0.17356    0.48940
     0.18780    0.46344
     0.20215    0.43998
     0.21660    0.41768
     0.23112    0.39705
     0.24568    0.37809
     0.26027    0.36066
     0.27486    0.34460
     0.28945    0.32971
     0.30404    0.31558
     0.31861    0.30190
     0.33317    0.28896
     0.34773    0.27681
     0.36228    0.26550
     0.37683    0.25507
     0.39139    0.24558
     0.40595    0.23733
     0.42054    0.23037
     0.43515    0.22425
     0.44979    0.21878
     0.46446    0.21378
     0.47915    0.20904
     0.49385    0.20433
     0.50856    0.19894
     0.52326    0.19297
     0.53794    0.18703
     0.55260    0.18129
     0.56723    0.17598
     0.58184    0.17130
     0.59643    0.16754
     0.61102    0.16555
     0.62561    0.16485
     0.64022    0.16485
     0.65486    0.16529
     0.66953    0.16593
     0.68423    0.16652
     0.69897    0.16668
     0.71372    0.16560
     0.72845    0.16392
     0.74316    0.16203
     0.75787    0.16010
     0.77258    0.15829
     0.78733    0.15678
     0.80203    0.15588
     0.81665    0.15595
     0.83116    0.15654
     0.84558    0.15747
     0.85995    0.15862
     0.87433    0.15987
     0.88879    0.16108
     0.90344    0.16129
     0.91797    0.15995
     0.93234    0.16011
     0.94687    0.16417
     0.96055    0.17551
     0.97271    0.19404
     0.98337    0.22122
     0.99274    0.26537
     1.00000    0.40658
