#      x          Cp  
     1.00000    0.39992
     0.99298    0.21338
     0.98439    0.13908
     0.97523    0.07964
     0.96542    0.02938
     0.95487   -0.01672
     0.94352   -0.06038
     0.93130   -0.10268
     0.91818   -0.14409
     0.90418   -0.18472
     0.88943   -0.22399
     0.87443   -0.26108
     0.85963   -0.29573
     0.84484   -0.32898
     0.82991   -0.36164
     0.81479   -0.39441
     0.79971   -0.42760
     0.78480   -0.46242
     0.76999   -0.49791
     0.75523   -0.53367
     0.74048   -0.56951
     0.72570   -0.60517
     0.71089   -0.64036
     0.69602   -0.67412
     0.68112   -0.70572
     0.66617   -0.73626
     0.65120   -0.76613
     0.63621   -0.79563
     0.62120   -0.82501
     0.60619   -0.85464
     0.59117   -0.88539
     0.57615   -0.91723
     0.56113   -0.94957
     0.54612   -0.98223
     0.53111   -1.01512
     0.51612   -1.04813
     0.50114   -1.08118
     0.48617   -1.11413
     0.47121   -1.14701
     0.45627   -1.17982
     0.44134   -1.21253
     0.42643   -1.24513
     0.41152   -1.27760
     0.39661   -1.30985
     0.38171   -1.34182
     0.36679   -1.37370
     0.35188   -1.40558
     0.33697   -1.43757
     0.32208   -1.46976
     0.30722   -1.50230
     0.29242   -1.53559
     0.27770   -1.56974
     0.26307   -1.60455
     0.24853   -1.64017
     0.23405   -1.67684
     0.21960   -1.71487
     0.20513   -1.75479
     0.19058   -1.79646
     0.17590   -1.84225
     0.16118   -1.89581
     0.14666   -1.96601
     0.13262   -2.05980
     0.11914   -2.16245
     0.10595   -2.27129
     0.09255   -2.38102
     0.07828   -2.50073
     0.06384   -2.64966
     0.05018   -2.87637
     0.03925   -3.25008
     0.03056   -3.66631
     0.02318   -4.14720
     0.01669   -4.55992
     0.01180   -4.88578
     0.00835   -5.45587
     0.00586   -6.09640
     0.00399   -6.80171
     0.00256   -7.56661
     0.00147   -8.36269
     0.00069   -9.11320
     0.00018   -9.65982
    -0.00008   -9.73919
    -0.00007   -9.04607
     0.00022   -7.29765
     0.00080   -5.22654
     0.00166   -3.44919
     0.00284   -2.06496
     0.00437   -1.03863
     0.00632   -0.29486
     0.00884    0.23627
     0.01215    0.60674
     0.01659    0.85422
     0.02282    0.97656
     0.03147    0.99967
     0.04248    0.97403
     0.05432    0.92473
     0.06650    0.87303
     0.07936    0.82562
     0.09321    0.78459
     0.10806    0.74674
     0.12344    0.71029
     0.13883    0.67763
     0.15399    0.64830
     0.16896    0.62151
     0.18385    0.59736
     0.19874    0.57610
     0.21368    0.55882
     0.22870    0.54467
     0.24382    0.53293
     0.25903    0.52319
     0.27435    0.51504
     0.28974    0.50806
     0.30520    0.50157
     0.32069    0.49511
     0.33617    0.48894
     0.35163    0.48298
     0.36704    0.47707
     0.38241    0.47100
     0.39773    0.46437
     0.41301    0.45610
     0.42826    0.44698
     0.44349    0.43776
     0.45870    0.42887
     0.47390    0.42081
     0.48908    0.41411
     0.50423    0.41030
     0.51936    0.41036
     0.53444    0.41216
     0.54950    0.41492
     0.56454    0.41801
     0.57957    0.42086
     0.59461    0.42282
     0.60969    0.42215
     0.62483    0.41926
     0.64005    0.41535
     0.65535    0.41080
     0.67072    0.40595
     0.68612    0.40114
     0.70153    0.39702
     0.71689    0.39442
     0.73214    0.39242
     0.74730    0.39059
     0.76236    0.38867
     0.77737    0.38640
     0.79239    0.38349
     0.80753    0.37912
     0.82288    0.37316
     0.83828    0.36637
     0.85346    0.35909
     0.86853    0.35148
     0.88368    0.34366
     0.89904    0.33583
     0.91389    0.32888
     0.92785    0.32280
     0.94082    0.31757
     0.95283    0.31337
     0.96393    0.31049
     0.97423    0.30973
     0.98379    0.31227
     0.99272    0.32648
     1.00000    0.39992
