#      x          Cp  
     1.00000    0.35403
     0.99215    0.21383
     0.98242    0.15198
     0.97188    0.09856
     0.96041    0.05204
     0.94790    0.00778
     0.93425   -0.03579
     0.91948   -0.07969
     0.90372   -0.12455
     0.88734   -0.17063
     0.87073   -0.21692
     0.85419   -0.26289
     0.83782   -0.30854
     0.82155   -0.35429
     0.80531   -0.40039
     0.78906   -0.44708
     0.77283   -0.49453
     0.75665   -0.54215
     0.74053   -0.58959
     0.72445   -0.63638
     0.70841   -0.68138
     0.69238   -0.72414
     0.67635   -0.76493
     0.66030   -0.80314
     0.64422   -0.83974
     0.62812   -0.87489
     0.61199   -0.90821
     0.59584   -0.93991
     0.57965   -0.96989
     0.56341   -0.99834
     0.54712   -1.02597
     0.53079   -1.05334
     0.51441   -1.08081
     0.49799   -1.10917
     0.48155   -1.13855
     0.46508   -1.16906
     0.44860   -1.20093
     0.43210   -1.23460
     0.41558   -1.27070
     0.39907   -1.30954
     0.38257   -1.35226
     0.36610   -1.39876
     0.34968   -1.44806
     0.33329   -1.50031
     0.31694   -1.55632
     0.30064   -1.61694
     0.28440   -1.68340
     0.26824   -1.75617
     0.25218   -1.83463
     0.23620   -1.92045
     0.22034   -2.01718
     0.20466   -2.13237
     0.18926   -2.26807
     0.17426   -2.42203
     0.15971   -2.58608
     0.14562   -2.75159
     0.13200   -2.91296
     0.11886   -3.06715
     0.10623   -3.21227
     0.09415   -3.34553
     0.08268   -3.47231
     0.07193   -3.60255
     0.06196   -3.69642
     0.05274   -3.64406
     0.04416   -3.47962
     0.03627   -3.30487
     0.02925   -3.11611
     0.02320   -2.90100
     0.01814   -2.79434
     0.01400   -2.77541
     0.01067   -2.84605
     0.00801   -2.96957
     0.00584   -3.13584
     0.00406   -3.48067
     0.00262   -3.96183
     0.00151   -4.42742
     0.00072   -4.80033
     0.00025   -4.94184
     0.00009   -4.66982
     0.00023   -3.92944
     0.00068   -3.06940
     0.00144   -2.22093
     0.00253   -1.43691
     0.00398   -0.73433
     0.00584   -0.09430
     0.00814    0.44313
     0.01089    0.76395
     0.01412    0.92017
     0.01799    0.98289
     0.02274    0.99979
     0.02879    0.99315
     0.03677    0.97154
     0.04747    0.93793
     0.06134    0.89601
     0.07783    0.85173
     0.09488    0.81191
     0.11147    0.77791
     0.12777    0.74816
     0.14404    0.72150
     0.16042    0.69716
     0.17706    0.67463
     0.19402    0.65356
     0.21106    0.63407
     0.22779    0.61630
     0.24428    0.59997
     0.26054    0.58486
     0.27663    0.57079
     0.29256    0.55760
     0.30838    0.54518
     0.32411    0.53343
     0.33977    0.52227
     0.35538    0.51163
     0.37097    0.50145
     0.38657    0.49167
     0.40218    0.48227
     0.41783    0.47318
     0.43355    0.46438
     0.44935    0.45585
     0.46526    0.44754
     0.48129    0.43944
     0.49748    0.43152
     0.51384    0.42376
     0.53042    0.41614
     0.54723    0.40863
     0.56429    0.40124
     0.58127    0.39410
     0.59793    0.38728
     0.61429    0.38077
     0.63033    0.37454
     0.64606    0.36859
     0.66147    0.36289
     0.67658    0.35744
     0.69139    0.35222
     0.70590    0.34722
     0.72012    0.34244
     0.73405    0.33786
     0.74771    0.33348
     0.76110    0.32929
     0.77422    0.32528
     0.78708    0.32146
     0.79970    0.31782
     0.81208    0.31435
     0.82422    0.31107
     0.83614    0.30797
     0.84783    0.30507
     0.85932    0.30237
     0.87060    0.29988
     0.88168    0.29763
     0.89256    0.29564
     0.90326    0.29395
     0.91378    0.29261
     0.92413    0.29169
     0.93430    0.29129
     0.94431    0.29157
     0.95417    0.29278
     0.96386    0.29532
     0.97341    0.29999
     0.98282    0.30829
     0.99208    0.32510
     1.00000    0.35403
