#      x          Cp  
     1.00000    0.32595
     0.99257    0.19676
     0.98196    0.16492
     0.96894    0.13787
     0.95512    0.11547
     0.94136    0.09644
     0.92765    0.07966
     0.91384    0.06411
     0.90004    0.04922
     0.88626    0.03434
     0.87248    0.01941
     0.85870    0.00434
     0.84492   -0.01051
     0.83116   -0.02524
     0.81742   -0.04123
     0.80368   -0.05881
     0.78994   -0.07777
     0.77622   -0.09876
     0.76249   -0.12329
     0.74872   -0.14959
     0.73493   -0.17620
     0.72114   -0.20525
     0.70735   -0.23734
     0.69356   -0.26905
     0.67978   -0.29964
     0.66601   -0.32954
     0.65225   -0.35895
     0.63850   -0.38810
     0.62476   -0.41673
     0.61101   -0.44438
     0.59727   -0.47180
     0.58352   -0.49925
     0.56978   -0.52562
     0.55603   -0.55090
     0.54227   -0.57692
     0.52851   -0.60371
     0.51475   -0.63101
     0.50100   -0.65811
     0.48726   -0.68389
     0.47350   -0.70974
     0.45976   -0.73670
     0.44602   -0.76159
     0.43228   -0.78346
     0.41851   -0.80661
     0.40475   -0.83115
     0.39100   -0.85330
     0.37723   -0.87450
     0.36344   -0.89842
     0.34966   -0.92388
     0.33589   -0.94988
     0.32212   -0.97677
     0.30836   -1.00480
     0.29459   -1.03453
     0.28083   -1.06624
     0.26708   -1.09983
     0.25334   -1.13560
     0.23962   -1.17485
     0.22594   -1.21653
     0.21228   -1.25827
     0.19864   -1.30214
     0.18501   -1.35046
     0.17141   -1.40308
     0.15786   -1.46069
     0.14434   -1.52168
     0.13082   -1.58771
     0.11731   -1.67701
     0.10391   -1.79447
     0.09068   -1.93019
     0.07762   -2.08881
     0.06471   -2.29498
     0.05203   -2.55647
     0.03996   -2.91924
     0.02888   -3.37217
     0.01881   -4.08002
     0.01084   -5.04985
     0.00601   -6.27686
     0.00316   -7.57539
     0.00143   -9.02560
     0.00043  -10.62866
     0.00001  -13.11192
     0.00017  -10.71786
     0.00086   -5.86584
     0.00212   -2.67356
     0.00411   -0.77941
     0.00693    0.35815
     0.01073    0.84195
     0.01606    0.97460
     0.02340    0.99992
     0.03269    0.97599
     0.04376    0.93053
     0.05614    0.89080
     0.06922    0.84190
     0.08269    0.79411
     0.09642    0.75563
     0.11027    0.71922
     0.12410    0.68401
     0.13791    0.65304
     0.15175    0.62521
     0.16563    0.59919
     0.17951    0.57485
     0.19338    0.55197
     0.20726    0.53066
     0.22115    0.51069
     0.23505    0.49106
     0.24894    0.47197
     0.26281    0.45405
     0.27668    0.43706
     0.29055    0.42080
     0.30442    0.40514
     0.31830    0.38999
     0.33218    0.37539
     0.34605    0.36131
     0.35992    0.34775
     0.37378    0.33472
     0.38764    0.32227
     0.40150    0.31027
     0.41535    0.29860
     0.42920    0.28758
     0.44304    0.27738
     0.45687    0.26824
     0.47071    0.26006
     0.48456    0.25221
     0.49840    0.24503
     0.51224    0.23931
     0.52610    0.23421
     0.53997    0.22912
     0.55384    0.22469
     0.56770    0.22114
     0.58159    0.21851
     0.59549    0.21643
     0.60942    0.21372
     0.62334    0.21093
     0.63726    0.20918
     0.65118    0.20735
     0.66510    0.20456
     0.67901    0.20082
     0.69289    0.19590
     0.70679    0.18886
     0.72070    0.18000
     0.73465    0.17083
     0.74860    0.16086
     0.76252    0.14873
     0.77638    0.13649
     0.79020    0.12576
     0.80398    0.11688
     0.81774    0.11042
     0.83149    0.10664
     0.84525    0.10546
     0.85902    0.10624
     0.87282    0.10857
     0.88664    0.11229
     0.90051    0.11586
     0.91440    0.11723
     0.92829    0.11783
     0.94209    0.11832
     0.95592    0.11305
     0.96973    0.10622
     0.98234    0.12358
     0.99267    0.16238
     1.00000    0.32595
