#      x          Cp  
     1.00000    0.48269
     0.99255    0.29467
     0.98242    0.24001
     0.97028    0.19333
     0.95639    0.15876
     0.94191    0.12963
     0.92744    0.09295
     0.91272    0.04764
     0.89755    0.00615
     0.88211   -0.02706
     0.86664   -0.05946
     0.85121   -0.09362
     0.83584   -0.12723
     0.82050   -0.15897
     0.80518   -0.18979
     0.78987   -0.22047
     0.77459   -0.25096
     0.75935   -0.28090
     0.74412   -0.31004
     0.72891   -0.33862
     0.71371   -0.36664
     0.69851   -0.39415
     0.68332   -0.42123
     0.66814   -0.44788
     0.65296   -0.47412
     0.63778   -0.49999
     0.62261   -0.52546
     0.60744   -0.55051
     0.59227   -0.57498
     0.57710   -0.59902
     0.56192   -0.62280
     0.54674   -0.64637
     0.53155   -0.66968
     0.51637   -0.69264
     0.50117   -0.71540
     0.48597   -0.73808
     0.47075   -0.76080
     0.45553   -0.78389
     0.44030   -0.80776
     0.42506   -0.83241
     0.40983   -0.85809
     0.39462   -0.88494
     0.37942   -0.91251
     0.36422   -0.94033
     0.34903   -0.96915
     0.33384   -1.00044
     0.31867   -1.03473
     0.30355   -1.07111
     0.28848   -1.10964
     0.27346   -1.15004
     0.25849   -1.19187
     0.24357   -1.23565
     0.22868   -1.28284
     0.21384   -1.33449
     0.19908   -1.39207
     0.18449   -1.45780
     0.17007   -1.52527
     0.15571   -1.58809
     0.14137   -1.66006
     0.12724   -1.76056
     0.11350   -1.87162
     0.10006   -1.97607
     0.08689   -2.09525
     0.07420   -2.25586
     0.06232   -2.43919
     0.05149   -2.64131
     0.04186   -2.87759
     0.03352   -3.18693
     0.02659   -3.51759
     0.02103   -3.92744
     0.01659   -4.37329
     0.01297   -4.76469
     0.00996   -5.14160
     0.00744   -5.51122
     0.00536   -5.76749
     0.00368   -5.89305
     0.00236   -5.98554
     0.00136   -6.06439
     0.00065   -6.03320
     0.00020   -5.82551
     0.00001   -5.37407
     0.00006   -4.55648
     0.00038   -3.57026
     0.00095   -2.63413
     0.00180   -1.77462
     0.00298   -0.98272
     0.00454   -0.21845
     0.00653    0.35447
     0.00901    0.70198
     0.01200    0.87875
     0.01552    0.96163
     0.01972    0.99597
     0.02480    0.99721
     0.03102    0.97541
     0.03873    0.93762
     0.04816    0.88998
     0.05933    0.83849
     0.07194    0.78839
     0.08564    0.74218
     0.10004    0.70024
     0.11483    0.66310
     0.12989    0.63072
     0.14519    0.60133
     0.16057    0.57354
     0.17595    0.54861
     0.19140    0.52657
     0.20695    0.50582
     0.22252    0.48570
     0.23808    0.46683
     0.25365    0.44932
     0.26923    0.43269
     0.28483    0.41661
     0.30042    0.40124
     0.31600    0.38669
     0.33160    0.37279
     0.34720    0.35925
     0.36279    0.34601
     0.37837    0.33330
     0.39395    0.32129
     0.40954    0.30972
     0.42513    0.29834
     0.44072    0.28716
     0.45630    0.27632
     0.47188    0.26587
     0.48747    0.25564
     0.50305    0.24543
     0.51862    0.23531
     0.53418    0.22545
     0.54974    0.21590
     0.56529    0.20651
     0.58084    0.19715
     0.59639    0.18783
     0.61192    0.17853
     0.62743    0.16924
     0.64292    0.16008
     0.65840    0.15111
     0.67386    0.14230
     0.68930    0.13354
     0.70471    0.12483
     0.72010    0.11634
     0.73545    0.10815
     0.75077    0.10031
     0.76606    0.09276
     0.78131    0.08551
     0.79651    0.07882
     0.81166    0.07273
     0.82676    0.06755
     0.84179    0.06363
     0.85672    0.06132
     0.87159    0.06134
     0.88649    0.06476
     0.90142    0.06923
     0.91606    0.06935
     0.93018    0.07277
     0.94400    0.09312
     0.95780    0.13026
     0.97105    0.17454
     0.98276    0.22579
     0.99266    0.28503
     1.00000    0.48269
