#      x          Cp  
     1.00000    0.51950
     0.99218    0.29741
     0.98209    0.22454
     0.97062    0.15923
     0.95761    0.10364
     0.94317    0.05239
     0.92788    0.00540
     0.91245   -0.03708
     0.89723   -0.07549
     0.88216   -0.11086
     0.86710   -0.14421
     0.85196   -0.17611
     0.83674   -0.20687
     0.82148   -0.23660
     0.80622   -0.26543
     0.79097   -0.29359
     0.77573   -0.32114
     0.76047   -0.34783
     0.74520   -0.37376
     0.72991   -0.39927
     0.71460   -0.42455
     0.69929   -0.44999
     0.68399   -0.47607
     0.66871   -0.50210
     0.65344   -0.52743
     0.63816   -0.55122
     0.62286   -0.57442
     0.60753   -0.59764
     0.59219   -0.62194
     0.57685   -0.64729
     0.56153   -0.67293
     0.54622   -0.69860
     0.53093   -0.72382
     0.51564   -0.74863
     0.50036   -0.77313
     0.48506   -0.79712
     0.46976   -0.82125
     0.45446   -0.84635
     0.43916   -0.87205
     0.42387   -0.89807
     0.40860   -0.92432
     0.39334   -0.95045
     0.37808   -0.97649
     0.36283   -1.00295
     0.34757   -1.03017
     0.33232   -1.05852
     0.31709   -1.08802
     0.30186   -1.11889
     0.28664   -1.15149
     0.27141   -1.18625
     0.25621   -1.22374
     0.24104   -1.26571
     0.22595   -1.31230
     0.21094   -1.36252
     0.19597   -1.41625
     0.18097   -1.47395
     0.16593   -1.53880
     0.15098   -1.61469
     0.13633   -1.71214
     0.12213   -1.82331
     0.10829   -1.94302
     0.09452   -2.06151
     0.08057   -2.17593
     0.06739   -2.47942
     0.05610   -2.73655
     0.04604   -2.74733
     0.03725   -3.51078
     0.02967   -3.86295
     0.02319   -4.14513
     0.01793   -4.57957
     0.01378   -5.01484
     0.01047   -5.42181
     0.00778   -5.75303
     0.00558   -5.88057
     0.00378   -5.89458
     0.00232   -6.08460
     0.00119   -6.44399
     0.00038   -6.85386
    -0.00013   -7.21261
    -0.00033   -7.29526
    -0.00022   -6.74069
     0.00026   -4.81944
     0.00114   -2.54734
     0.00238   -1.07386
     0.00388   -0.30539
     0.00553    0.02467
     0.00731    0.24228
     0.00923    0.41354
     0.01134    0.57307
     0.01374    0.73577
     0.01665    0.88637
     0.02034    0.97119
     0.02525    0.99921
     0.03186    0.99136
     0.03980    0.95714
     0.04880    0.90640
     0.05941    0.86464
     0.07150    0.80592
     0.08414    0.74950
     0.09771    0.70807
     0.11247    0.66736
     0.12783    0.62750
     0.14314    0.59204
     0.15822    0.56118
     0.17325    0.53419
     0.18842    0.50976
     0.20378    0.48686
     0.21926    0.46446
     0.23475    0.44318
     0.25021    0.42315
     0.26565    0.40439
     0.28110    0.38668
     0.29657    0.36980
     0.31206    0.35353
     0.32756    0.33784
     0.34305    0.32273
     0.35854    0.30808
     0.37402    0.29390
     0.38949    0.28025
     0.40495    0.26720
     0.42041    0.25480
     0.43587    0.24295
     0.45132    0.23163
     0.46676    0.22082
     0.48221    0.21050
     0.49764    0.20070
     0.51307    0.19150
     0.52850    0.18282
     0.54393    0.17452
     0.55935    0.16648
     0.57475    0.15893
     0.59014    0.15199
     0.60551    0.14595
     0.62089    0.14088
     0.63627    0.13645
     0.65166    0.13250
     0.66705    0.12875
     0.68243    0.12538
     0.69780    0.12260
     0.71315    0.12057
     0.72848    0.11926
     0.74381    0.11870
     0.75913    0.11895
     0.77445    0.12030
     0.78980    0.12276
     0.80516    0.12527
     0.82053    0.12762
     0.83586    0.13081
     0.85114    0.13565
     0.86634    0.14245
     0.88149    0.15078
     0.89665    0.16069
     0.91199    0.17224
     0.92752    0.18646
     0.94289    0.20443
     0.95739    0.22707
     0.97046    0.25523
     0.98198    0.29306
     0.99213    0.34098
     1.00000    0.51950
