#      x          Cp  
     1.00000    0.37991
     0.99212    0.22869
     0.98127    0.19038
     0.96836    0.15909
     0.95413    0.13462
     0.93948    0.11267
     0.92458    0.09196
     0.90954    0.07206
     0.89446    0.05254
     0.87936    0.03321
     0.86425    0.01433
     0.84915   -0.00451
     0.83407   -0.02382
     0.81900   -0.04396
     0.80395   -0.06538
     0.78891   -0.08893
     0.77385   -0.11506
     0.75877   -0.14431
     0.74363   -0.17670
     0.72842   -0.21194
     0.71315   -0.24937
     0.69788   -0.28825
     0.68266   -0.32778
     0.66752   -0.36693
     0.65243   -0.40537
     0.63739   -0.44281
     0.62237   -0.47939
     0.60737   -0.51514
     0.59238   -0.55018
     0.57739   -0.58500
     0.56240   -0.62029
     0.54743   -0.65631
     0.53247   -0.69325
     0.51756   -0.73128
     0.50269   -0.76955
     0.48788   -0.80688
     0.47311   -0.84205
     0.45837   -0.87416
     0.44363   -0.90268
     0.42887   -0.92780
     0.41409   -0.94972
     0.39925   -0.96943
     0.38436   -0.98770
     0.36942   -1.00550
     0.35441   -1.02377
     0.33936   -1.04395
     0.32426   -1.06622
     0.30913   -1.09107
     0.29399   -1.12011
     0.27883   -1.15381
     0.26368   -1.19204
     0.24856   -1.23622
     0.23348   -1.28785
     0.21847   -1.34716
     0.20354   -1.41522
     0.18872   -1.49445
     0.17406   -1.58563
     0.15961   -1.69072
     0.14540   -1.81023
     0.13152   -1.94413
     0.11801   -2.09029
     0.10492   -2.24628
     0.09229   -2.41231
     0.08019   -2.58411
     0.06875   -2.75856
     0.05814   -2.93272
     0.04840   -3.10050
     0.03949   -3.28248
     0.03159   -3.45094
     0.02496   -3.59483
     0.01958   -3.75993
     0.01528   -3.91910
     0.01179   -4.05159
     0.00893   -4.18790
     0.00657   -4.35350
     0.00464   -4.46922
     0.00309   -4.56541
     0.00188   -4.82481
     0.00099   -5.10453
     0.00039   -5.25267
     0.00006   -5.16008
     0.00000   -4.66033
     0.00023   -3.68523
     0.00072   -2.67541
     0.00151   -1.76020
     0.00261   -0.96929
     0.00409   -0.27047
     0.00598    0.30145
     0.00833    0.67027
     0.01118    0.86838
     0.01450    0.95787
     0.01848    0.99561
     0.02336    0.99687
     0.02941    0.97301
     0.03702    0.93172
     0.04647    0.88013
     0.05755    0.82822
     0.06981    0.78098
     0.08320    0.73984
     0.09755    0.70528
     0.11247    0.67659
     0.12762    0.65191
     0.14281    0.62917
     0.15798    0.60712
     0.17316    0.58469
     0.18843    0.56200
     0.20381    0.53932
     0.21929    0.51745
     0.23482    0.49659
     0.25036    0.47686
     0.26589    0.45795
     0.28140    0.43973
     0.29688    0.42210
     0.31235    0.40494
     0.32780    0.38823
     0.34322    0.37195
     0.35861    0.35602
     0.37397    0.34045
     0.38929    0.32539
     0.40458    0.31087
     0.41983    0.29696
     0.43505    0.28447
     0.45027    0.27313
     0.46546    0.26181
     0.48062    0.25231
     0.49580    0.24534
     0.51102    0.23906
     0.52628    0.23352
     0.54156    0.22906
     0.55690    0.22510
     0.57226    0.22144
     0.58767    0.21838
     0.60312    0.21540
     0.61861    0.21207
     0.63413    0.20873
     0.64967    0.20515
     0.66524    0.20083
     0.68081    0.19595
     0.69638    0.19051
     0.71194    0.18431
     0.72748    0.17745
     0.74298    0.17000
     0.75844    0.16228
     0.77384    0.15450
     0.78920    0.14686
     0.80449    0.13953
     0.81972    0.13280
     0.83489    0.12794
     0.85005    0.12470
     0.86513    0.12186
     0.88018    0.12449
     0.89538    0.13412
     0.91078    0.13987
     0.92613    0.14209
     0.94129    0.14369
     0.95600    0.13971
     0.96975    0.13540
     0.98191    0.15615
     0.99227    0.19900
     1.00000    0.37991
