#      x          Cp  
     1.00000    0.30693
     0.99233    0.20180
     0.98068    0.08492
     0.96779   -0.00831
     0.95457   -0.06114
     0.94106   -0.09473
     0.92729   -0.11821
     0.91337   -0.14237
     0.89940   -0.16579
     0.88541   -0.18845
     0.87141   -0.21021
     0.85740   -0.23058
     0.84335   -0.24967
     0.82927   -0.26838
     0.81517   -0.28805
     0.80108   -0.30846
     0.78700   -0.32867
     0.77293   -0.34798
     0.75885   -0.36655
     0.74477   -0.38472
     0.73067   -0.40248
     0.71655   -0.42003
     0.70242   -0.43770
     0.68828   -0.45596
     0.67413   -0.47517
     0.65999   -0.49492
     0.64585   -0.51515
     0.63171   -0.53589
     0.61758   -0.55705
     0.60345   -0.57858
     0.58933   -0.60033
     0.57520   -0.62229
     0.56107   -0.64470
     0.54694   -0.66776
     0.53281   -0.69196
     0.51869   -0.71704
     0.50459   -0.74261
     0.49049   -0.76822
     0.47640   -0.79376
     0.46231   -0.81971
     0.44822   -0.84632
     0.43412   -0.87401
     0.42003   -0.90287
     0.40595   -0.93268
     0.39188   -0.96351
     0.37782   -0.99547
     0.36377   -1.02852
     0.34973   -1.06272
     0.33571   -1.09818
     0.32170   -1.13504
     0.30770   -1.17340
     0.29372   -1.21368
     0.27976   -1.25621
     0.26582   -1.30087
     0.25191   -1.34793
     0.23802   -1.39790
     0.22417   -1.45090
     0.21035   -1.50761
     0.19658   -1.56933
     0.18287   -1.63558
     0.16922   -1.70704
     0.15563   -1.78502
     0.14212   -1.87017
     0.12870   -1.96663
     0.11542   -2.07538
     0.10229   -2.19829
     0.08931   -2.34109
     0.07656   -2.50879
     0.06417   -2.71826
     0.05225   -2.96920
     0.04082   -3.28549
     0.03041   -3.71191
     0.02173   -4.25918
     0.01485   -4.77971
     0.00967   -5.34597
     0.00605   -6.50620
     0.00357   -8.13369
     0.00191   -9.14507
     0.00080   -9.77998
     0.00011  -10.83742
    -0.00017  -11.95983
    -0.00002  -11.54850
     0.00062   -7.21356
     0.00180   -3.44192
     0.00361   -1.27805
     0.00617   -0.17602
     0.00968    0.47482
     0.01443    0.79757
     0.02098    0.95516
     0.02983    0.99994
     0.04089    0.97794
     0.05323    0.93052
     0.06609    0.87860
     0.07934    0.82963
     0.09290    0.78476
     0.10661    0.74454
     0.12041    0.70866
     0.13430    0.67658
     0.14826    0.64762
     0.16228    0.62130
     0.17632    0.59743
     0.19040    0.57564
     0.20452    0.55565
     0.21866    0.53710
     0.23282    0.51970
     0.24698    0.50347
     0.26116    0.48833
     0.27534    0.47417
     0.28954    0.46087
     0.30375    0.44827
     0.31797    0.43626
     0.33219    0.42481
     0.34642    0.41383
     0.36065    0.40320
     0.37488    0.39298
     0.38911    0.38319
     0.40334    0.37386
     0.41758    0.36492
     0.43181    0.35627
     0.44606    0.34775
     0.46029    0.33928
     0.47453    0.33101
     0.48875    0.32299
     0.50297    0.31530
     0.51718    0.30788
     0.53140    0.30063
     0.54561    0.29338
     0.55982    0.28600
     0.57401    0.27876
     0.58818    0.27175
     0.60232    0.26479
     0.61641    0.25829
     0.63046    0.25283
     0.64448    0.24920
     0.65848    0.24840
     0.67249    0.24937
     0.68654    0.25181
     0.70063    0.25593
     0.71479    0.26128
     0.72899    0.26709
     0.74324    0.27261
     0.75748    0.27741
     0.77169    0.28192
     0.78587    0.28607
     0.80004    0.28981
     0.81419    0.29340
     0.82833    0.29711
     0.84244    0.30104
     0.85652    0.30473
     0.87056    0.30795
     0.88458    0.31062
     0.89857    0.31279
     0.91254    0.31446
     0.92648    0.31574
     0.94037    0.31691
     0.95415    0.31791
     0.96772    0.31952
     0.98074    0.32250
     0.99229    0.33695
     1.00000    0.30693
