#      x          Cp  
     1.00000    0.33096
     0.99659    0.27409
     0.98654    0.16421
     0.97026    0.04710
     0.94817   -0.03028
     0.92063   -0.07806
     0.88811   -0.13383
     0.85121   -0.19071
     0.81057   -0.24995
     0.76689   -0.31303
     0.72073   -0.37885
     0.67227   -0.44599
     0.62175   -0.51840
     0.56979   -0.59632
     0.51701   -0.68137
     0.46401   -0.77535
     0.41144   -0.87580
     0.35989   -0.98952
     0.30998   -1.11290
     0.26227   -1.25507
     0.21730   -1.41401
     0.17559   -1.60268
     0.13756   -1.75001
     0.10363   -2.13737
     0.07412   -2.49428
     0.04931   -3.03444
     0.02938   -3.81474
     0.01447   -4.96401
     0.00465   -6.76203
     0.00000  -10.23803
     0.00465   -0.30326
     0.01447    0.87044
     0.02938    0.99849
     0.04931    0.92444
     0.07412    0.81914
     0.10363    0.72044
     0.13756    0.63733
     0.17559    0.56680
     0.21730    0.50907
     0.26227    0.46028
     0.30998    0.41798
     0.35989    0.38274
     0.41144    0.35128
     0.46401    0.32333
     0.51701    0.29869
     0.56979    0.27547
     0.62175    0.25584
     0.67227    0.23462
     0.72073    0.21950
     0.76689    0.22412
     0.81057    0.23974
     0.85121    0.25145
     0.88811    0.26070
     0.92063    0.26753
     0.94817    0.27006
     0.97026    0.28182
     0.98654    0.30810
     0.99659    0.33076
     1.00000    0.33096
