#      x          Cp  
     1.00000    0.25582
     0.99155    0.17235
     0.97894    0.07373
     0.96585    0.00843
     0.95258   -0.03006
     0.93932   -0.05660
     0.92598   -0.07729
     0.91256   -0.09747
     0.89913   -0.11678
     0.88570   -0.13622
     0.87229   -0.15537
     0.85887   -0.17311
     0.84543   -0.18902
     0.83195   -0.20501
     0.81847   -0.22445
     0.80503   -0.24771
     0.79165   -0.26970
     0.77833   -0.28402
     0.76502   -0.28733
     0.75172   -0.28872
     0.73842   -0.29229
     0.72511   -0.30689
     0.71182   -0.34003
     0.69854   -0.37720
     0.68526   -0.40436
     0.67193   -0.41748
     0.65852   -0.42681
     0.64505   -0.43583
     0.63153   -0.45066
     0.61802   -0.46909
     0.60454   -0.48870
     0.59108   -0.50829
     0.57764   -0.52661
     0.56419   -0.54467
     0.55074   -0.56286
     0.53728   -0.58159
     0.52381   -0.60107
     0.51034   -0.62104
     0.49688   -0.64151
     0.48342   -0.66248
     0.46996   -0.68397
     0.45650   -0.70601
     0.44304   -0.72865
     0.42959   -0.75198
     0.41613   -0.77602
     0.40268   -0.80082
     0.38923   -0.82648
     0.37578   -0.85314
     0.36234   -0.88081
     0.34890   -0.90961
     0.33547   -0.93983
     0.32204   -0.97152
     0.30862   -1.00455
     0.29521   -1.03894
     0.28180   -1.07472
     0.26840   -1.11235
     0.25501   -1.15237
     0.24163   -1.19597
     0.22827   -1.24281
     0.21493   -1.29266
     0.20161   -1.34551
     0.18831   -1.40219
     0.17502   -1.46412
     0.16176   -1.53432
     0.14855   -1.61262
     0.13539   -1.69966
     0.12227   -1.79795
     0.10921   -1.90949
     0.09625   -2.04185
     0.08342   -2.19848
     0.07070   -2.39478
     0.05810   -2.64249
     0.04594   -2.96211
     0.03436   -3.39591
     0.02290   -4.12608
     0.01379   -4.99502
     0.00745   -6.62519
     0.00306   -9.80206
     0.00109  -11.87396
     0.00019  -16.01623
    -0.00005  -19.94262
     0.00034  -13.03185
     0.00144   -5.09487
     0.00367   -1.37893
     0.00852    0.37812
     0.01556    0.86956
     0.02536    0.99552
     0.03777    0.98149
     0.05026    0.93296
     0.06311    0.87915
     0.07622    0.82937
     0.08942    0.78465
     0.10267    0.74458
     0.11597    0.70918
     0.12932    0.67785
     0.14272    0.64969
     0.15614    0.62384
     0.16957    0.60033
     0.18300    0.57908
     0.19646    0.55979
     0.20993    0.54203
     0.22342    0.52522
     0.23691    0.50938
     0.25039    0.49458
     0.26388    0.48090
     0.27738    0.46817
     0.29088    0.45621
     0.30439    0.44477
     0.31791    0.43377
     0.33143    0.42327
     0.34494    0.41327
     0.35846    0.40375
     0.37198    0.39466
     0.38550    0.38594
     0.39902    0.37750
     0.41254    0.36934
     0.42607    0.36143
     0.43960    0.35377
     0.45312    0.34632
     0.46665    0.33908
     0.48017    0.33204
     0.49370    0.32520
     0.50722    0.31855
     0.52075    0.31207
     0.53427    0.30572
     0.54780    0.29944
     0.56132    0.29322
     0.57484    0.28712
     0.58836    0.28118
     0.60188    0.27547
     0.61540    0.26992
     0.62892    0.26440
     0.64244    0.25873
     0.65596    0.25257
     0.66946    0.24643
     0.68294    0.24065
     0.69641    0.23568
     0.70987    0.23170
     0.72332    0.22859
     0.73677    0.22654
     0.75022    0.22610
     0.76369    0.22671
     0.77718    0.22805
     0.79068    0.23010
     0.80418    0.23256
     0.81767    0.23504
     0.83117    0.23688
     0.84466    0.23809
     0.85816    0.23914
     0.87164    0.24045
     0.88510    0.24178
     0.89855    0.24268
     0.91200    0.24288
     0.92545    0.24272
     0.93887    0.24241
     0.95226    0.24243
     0.96575    0.24422
     0.97897    0.25260
     0.99153    0.27746
     1.00000    0.25582
