#      x          Cp  
     1.00000    0.48940
     0.99098    0.27913
     0.97952    0.19207
     0.96677    0.12189
     0.95261    0.06238
     0.93710    0.01002
     0.92052   -0.03626
     0.90328   -0.07719
     0.88564   -0.11267
     0.86775   -0.14473
     0.84974   -0.17564
     0.83173   -0.20756
     0.81385   -0.24294
     0.79620   -0.28800
     0.77886   -0.34881
     0.76185   -0.41676
     0.74511   -0.48850
     0.72859   -0.56114
     0.71215   -0.63167
     0.69567   -0.69176
     0.67896   -0.73420
     0.66189   -0.76910
     0.64438   -0.80011
     0.62640   -0.83058
     0.60805   -0.86430
     0.58952   -0.91207
     0.57108   -0.97339
     0.55293   -1.03911
     0.53513   -1.10593
     0.51767   -1.17096
     0.50045   -1.22986
     0.48334   -1.27443
     0.46619   -1.31197
     0.44888   -1.34706
     0.43133   -1.38235
     0.41345   -1.42067
     0.39521   -1.46742
     0.37659   -1.52787
     0.35765   -1.59990
     0.33859   -1.68483
     0.31974   -1.78538
     0.30146   -1.90840
     0.28412   -2.07486
     0.26787   -2.25892
     0.25264   -2.44327
     0.23828   -2.61943
     0.22460   -2.77961
     0.21139   -2.91471
     0.19849   -3.00141
     0.18568   -3.00773
     0.17279   -2.98104
     0.15972   -2.94349
     0.14639   -2.92194
     0.13283   -2.93944
     0.11941   -2.99202
     0.10683   -3.09002
     0.09568   -3.32268
     0.08610   -3.65669
     0.07778   -3.88559
     0.07030   -3.78367
     0.06332   -3.48462
     0.05668   -3.22033
     0.05036   -3.08938
     0.04445   -3.24000
     0.03909   -3.50055
     0.03427   -3.78474
     0.02996   -4.05874
     0.02610   -4.29391
     0.02262   -4.43773
     0.01947   -4.50090
     0.01660   -4.52027
     0.01398   -4.51908
     0.01160   -4.55129
     0.00944   -4.63923
     0.00753   -4.73661
     0.00586   -4.83143
     0.00442   -4.91266
     0.00320   -4.96985
     0.00218   -4.99112
     0.00136   -4.96321
     0.00072   -4.87147
     0.00027   -4.70114
     0.00001   -4.43839
    -0.00005   -4.07494
     0.00007   -3.58550
     0.00040   -3.01104
     0.00093   -2.44247
     0.00164   -1.90648
     0.00255   -1.41622
     0.00365   -0.97607
     0.00495   -0.58615
     0.00647   -0.24431
     0.00821    0.05235
     0.01020    0.30673
     0.01243    0.52238
     0.01494    0.70215
     0.01773    0.83349
     0.02081    0.91896
     0.02419    0.96818
     0.02787    0.99208
     0.03190    0.99987
     0.03633    0.99668
     0.04122    0.98602
     0.04665    0.97062
     0.05271    0.95230
     0.05947    0.93195
     0.06700    0.91031
     0.07531    0.88644
     0.08437    0.85527
     0.09408    0.81787
     0.10443    0.78306
     0.11554    0.75954
     0.12761    0.74345
     0.14086    0.73308
     0.15547    0.72056
     0.17142    0.69902
     0.18852    0.67398
     0.20650    0.64953
     0.22513    0.62909
     0.24421    0.61075
     0.26355    0.59420
     0.28300    0.57907
     0.30248    0.56478
     0.32199    0.55062
     0.34154    0.53689
     0.36115    0.52368
     0.38082    0.51100
     0.40054    0.49895
     0.42030    0.48767
     0.44009    0.47701
     0.45989    0.46687
     0.47969    0.45718
     0.49949    0.44787
     0.51929    0.43885
     0.53909    0.43014
     0.55890    0.42173
     0.57871    0.41360
     0.59852    0.40576
     0.61834    0.39820
     0.63815    0.39090
     0.65797    0.38386
     0.67779    0.37707
     0.69761    0.37055
     0.71742    0.36428
     0.73722    0.35829
     0.75701    0.35258
     0.77678    0.34716
     0.79654    0.34205
     0.81628    0.33726
     0.83599    0.33287
     0.85563    0.32898
     0.87513    0.32575
     0.89441    0.32341
     0.91334    0.32233
     0.93166    0.32307
     0.94886    0.32645
     0.96444    0.33381
     0.97826    0.34750
     0.99049    0.37638
     1.00000    0.48940
