#      x          Cp  
     1.00000    0.35465
     0.99178    0.19499
     0.98026    0.13821
     0.96679    0.08133
     0.95203    0.03061
     0.93660   -0.01498
     0.92085   -0.05720
     0.90497   -0.09770
     0.88907   -0.13674
     0.87322   -0.17460
     0.85741   -0.20973
     0.84155   -0.23950
     0.82559   -0.26733
     0.80951   -0.29720
     0.79342   -0.32952
     0.77735   -0.36270
     0.76131   -0.39646
     0.74527   -0.43116
     0.72923   -0.46740
     0.71322   -0.50567
     0.69725   -0.54544
     0.68133   -0.58656
     0.66544   -0.62911
     0.64960   -0.67334
     0.63379   -0.72011
     0.61805   -0.76987
     0.60239   -0.82146
     0.58685   -0.87547
     0.57146   -0.93173
     0.55622   -0.98689
     0.54113   -1.03768
     0.52612   -1.08058
     0.51116   -1.11772
     0.49618   -1.14804
     0.48111   -1.16798
     0.46591   -1.18237
     0.45055   -1.19468
     0.43507   -1.20896
     0.41951   -1.22461
     0.40389   -1.24121
     0.38825   -1.26000
     0.37259   -1.28061
     0.35691   -1.30268
     0.34123   -1.32646
     0.32553   -1.35216
     0.30984   -1.38014
     0.29415   -1.41147
     0.27850   -1.44605
     0.26287   -1.48389
     0.24728   -1.52554
     0.23172   -1.57184
     0.21622   -1.62475
     0.20080   -1.68656
     0.18549   -1.75662
     0.17033   -1.83694
     0.15535   -1.92968
     0.14059   -2.04050
     0.12616   -2.17847
     0.11222   -2.34285
     0.09901   -2.55760
     0.08673   -2.79217
     0.07542   -3.02520
     0.06506   -3.24388
     0.05562   -3.42759
     0.04706   -3.56963
     0.03942   -3.69094
     0.03272   -3.81805
     0.02695   -3.93380
     0.02202   -4.04146
     0.01784   -4.15841
     0.01432   -4.25976
     0.01136   -4.35130
     0.00888   -4.46325
     0.00681   -4.56015
     0.00507   -4.63315
     0.00363   -4.70773
     0.00243   -4.86342
     0.00148   -5.01480
     0.00077   -5.10718
     0.00030   -5.12565
     0.00005   -5.07686
     0.00001   -5.33714
     0.00028   -5.74863
     0.00108   -3.81884
     0.00240   -1.64810
     0.00402   -0.64451
     0.00591   -0.06215
     0.00809    0.33192
     0.01062    0.59284
     0.01354    0.76178
     0.01693    0.87465
     0.02090    0.94602
     0.02560    0.98516
     0.03122    0.99959
     0.03800    0.99444
     0.04618    0.97352
     0.05593    0.94037
     0.06723    0.89919
     0.07986    0.85404
     0.09353    0.80820
     0.10792    0.76342
     0.12275    0.72068
     0.13784    0.68068
     0.15314    0.64334
     0.16859    0.60843
     0.18415    0.57538
     0.19978    0.54415
     0.21546    0.51452
     0.23116    0.48626
     0.24689    0.45932
     0.26264    0.43356
     0.27840    0.40882
     0.29417    0.38495
     0.30994    0.36159
     0.32568    0.33881
     0.34138    0.31679
     0.35705    0.29560
     0.37269    0.27510
     0.38830    0.25504
     0.40387    0.23463
     0.41935    0.21430
     0.43471    0.19462
     0.44986    0.17473
     0.46475    0.15618
     0.47938    0.14150
     0.49384    0.13463
     0.50824    0.13686
     0.52271    0.14474
     0.53736    0.15837
     0.55230    0.17852
     0.56761    0.20174
     0.58329    0.22541
     0.59925    0.24563
     0.61532    0.26369
     0.63141    0.28023
     0.64745    0.29476
     0.66345    0.30777
     0.67939    0.31976
     0.69528    0.33090
     0.71110    0.34123
     0.72686    0.35074
     0.74257    0.35927
     0.75825    0.36682
     0.77390    0.37375
     0.78953    0.38035
     0.80510    0.38682
     0.82060    0.39274
     0.83603    0.39798
     0.85139    0.40244
     0.86667    0.40609
     0.88185    0.40908
     0.89692    0.41115
     0.91184    0.41181
     0.92657    0.41077
     0.94104    0.40770
     0.95512    0.40238
     0.96853    0.39531
     0.98090    0.38476
     0.99183    0.37778
     1.00000    0.35465
