#      x          Cp  
     1.00000    0.34344
     0.99198    0.30309
     0.98127    0.22230
     0.96890    0.14503
     0.95516    0.06624
     0.94060   -0.00823
     0.92575   -0.07201
     0.91082   -0.12091
     0.89570   -0.15821
     0.88031   -0.18788
     0.86464   -0.21284
     0.84874   -0.23845
     0.83272   -0.26618
     0.81663   -0.29488
     0.80052   -0.32538
     0.78440   -0.35699
     0.76828   -0.38975
     0.75216   -0.42371
     0.73605   -0.45905
     0.71997   -0.49634
     0.70392   -0.53534
     0.68792   -0.57580
     0.67196   -0.61769
     0.65603   -0.66121
     0.64015   -0.70682
     0.62432   -0.75561
     0.60856   -0.80665
     0.59291   -0.85962
     0.57740   -0.91556
     0.56205   -0.97160
     0.54685   -1.02486
     0.53176   -1.07074
     0.51674   -1.11000
     0.50171   -1.14338
     0.48663   -1.16701
     0.47143   -1.18280
     0.45608   -1.19540
     0.44058   -1.20869
     0.42498   -1.22406
     0.40932   -1.24023
     0.39363   -1.25819
     0.37791   -1.27833
     0.36218   -1.29995
     0.34644   -1.32320
     0.33069   -1.34833
     0.31494   -1.37558
     0.29919   -1.40588
     0.28346   -1.43963
     0.26777   -1.47657
     0.25211   -1.51716
     0.23648   -1.56216
     0.22090   -1.61296
     0.20539   -1.67250
     0.19000   -1.74041
     0.17474   -1.81787
     0.15964   -1.90738
     0.14476   -2.01229
     0.13018   -2.14362
     0.11603   -2.29975
     0.10256   -2.50152
     0.08999   -2.73605
     0.07839   -2.97129
     0.06776   -3.19687
     0.05806   -3.39317
     0.04926   -3.54535
     0.04136   -3.67039
     0.03441   -3.79614
     0.02840   -3.91787
     0.02326   -4.02508
     0.01889   -4.14258
     0.01520   -4.25001
     0.01210   -4.34195
     0.00950   -4.45038
     0.00732   -4.55549
     0.00550   -4.63548
     0.00398   -4.70289
     0.00272   -4.84032
     0.00170   -5.00413
     0.00093   -5.11611
     0.00040   -5.15603
     0.00010   -5.11309
     0.00000   -5.25697
     0.00017   -5.77392
     0.00084   -4.53507
     0.00206   -2.03020
     0.00362   -0.83231
     0.00545   -0.18433
     0.00758    0.25000
     0.01003    0.53984
     0.01286    0.72682
     0.01614    0.85160
     0.01997    0.93206
     0.02451    0.97824
     0.02990    0.99805
     0.03640    0.99727
     0.04425    0.97982
     0.05365    0.94927
     0.06464    0.90959
     0.07701    0.86507
     0.09052    0.81911
     0.10481    0.77397
     0.11961    0.73058
     0.13471    0.68988
     0.15003    0.65188
     0.16550    0.61640
     0.18110    0.58288
     0.19678    0.55117
     0.21251    0.52115
     0.22827    0.49251
     0.24405    0.46523
     0.25986    0.43916
     0.27568    0.41415
     0.29151    0.39006
     0.30734    0.36652
     0.32314    0.34354
     0.33891    0.32129
     0.35464    0.29989
     0.37035    0.27921
     0.38602    0.25904
     0.40165    0.23862
     0.41720    0.21814
     0.43264    0.19831
     0.44788    0.17839
     0.46285    0.15941
     0.47757    0.14405
     0.49209    0.13588
     0.50653    0.13725
     0.52104    0.14450
     0.53572    0.15739
     0.55068    0.17701
     0.56600    0.20007
     0.58171    0.22391
     0.59771    0.24454
     0.61384    0.26276
     0.62999    0.27948
     0.64610    0.29422
     0.66216    0.30734
     0.67817    0.31943
     0.69412    0.33064
     0.71001    0.34104
     0.72583    0.35062
     0.74161    0.35922
     0.75735    0.36682
     0.77306    0.37377
     0.78875    0.38038
     0.80438    0.38686
     0.81995    0.39280
     0.83543    0.39805
     0.85085    0.40252
     0.86619    0.40611
     0.88143    0.40896
     0.89656    0.41087
     0.91153    0.41135
     0.92632    0.41016
     0.94084    0.40717
     0.95496    0.40242
     0.96842    0.39639
     0.98084    0.39029
     0.99180    0.39025
     1.00000    0.34344
