#      x          Cp  
     0.99927    0.28889
     0.99220   -0.02238
     0.98372   -0.33983
     0.97460   -0.47362
     0.96415   -0.44992
     0.95207   -0.45306
     0.93811   -0.44710
     0.92228   -0.47594
     0.90550   -0.50988
     0.88880   -0.54547
     0.87258   -0.58369
     0.85663   -0.62986
     0.84077   -0.68124
     0.82518   -0.74578
     0.80992   -0.79486
     0.79476   -0.82462
     0.77926   -0.78956
     0.76293   -0.76084
     0.74600   -0.74380
     0.72879   -0.73176
     0.71146   -0.73225
     0.69406   -0.74213
     0.67665   -0.75868
     0.65928   -0.78185
     0.64200   -0.82210
     0.62479   -0.85557
     0.60755   -0.88332
     0.59025   -0.91325
     0.57296   -0.94485
     0.55567   -0.97726
     0.53837   -1.01099
     0.52105   -1.04705
     0.50372   -1.08604
     0.48638   -1.12847
     0.46905   -1.17516
     0.45174   -1.22726
     0.43449   -1.28695
     0.41735   -1.35239
     0.40032   -1.42287
     0.38339   -1.49901
     0.36659   -1.58275
     0.34994   -1.67382
     0.33348   -1.77277
     0.31726   -1.87813
     0.30121   -1.98358
     0.28529   -2.09207
     0.26958   -2.22381
     0.25428   -2.37596
     0.23944   -2.52314
     0.22498   -2.65895
     0.21076   -2.77367
     0.19670   -2.86875
     0.18278   -2.96544
     0.16908   -3.06031
     0.15558   -3.13276
     0.14222   -3.19443
     0.12905   -3.26582
     0.11618   -3.34183
     0.10368   -3.42180
     0.09167   -3.51787
     0.08029   -3.62505
     0.06965   -3.72796
     0.05983   -3.83146
     0.05092   -3.94060
     0.04299   -4.06248
     0.03606   -4.19140
     0.03006   -4.31393
     0.02491   -4.43522
     0.02051   -4.59837
     0.01676   -4.78276
     0.01360   -4.93528
     0.01092   -5.05479
     0.00866   -5.13189
     0.00676   -5.17000
     0.00517   -5.17720
     0.00386   -5.14970
     0.00280   -5.07920
     0.00195   -4.96404
     0.00129   -4.85624
     0.00078   -4.79915
     0.00040   -4.99390
     0.00018   -5.28081
     0.00019   -5.39793
     0.00047   -5.11572
     0.00107   -4.44988
     0.00202   -3.64580
     0.00337   -2.38111
     0.00515   -1.00141
     0.00732   -0.11422
     0.00980    0.34544
     0.01253    0.58910
     0.01555    0.75057
     0.01892    0.85927
     0.02277    0.93095
     0.02721    0.97428
     0.03238    0.99554
     0.03847    0.99961
     0.04565    0.98986
     0.05414    0.96892
     0.06411    0.93919
     0.07561    0.90328
     0.08849    0.86421
     0.10247    0.82461
     0.11722    0.78609
     0.13242    0.74967
     0.14787    0.71593
     0.16339    0.68451
     0.17874    0.65467
     0.19387    0.63058
     0.20904    0.61519
     0.22456    0.60540
     0.24057    0.60026
     0.25709    0.59720
     0.27399    0.59358
     0.29111    0.59068
     0.30839    0.58854
     0.32578    0.58713
     0.34320    0.58625
     0.36055    0.58576
     0.37782    0.58521
     0.39506    0.58463
     0.41229    0.58451
     0.42945    0.58505
     0.44653    0.58577
     0.46355    0.58620
     0.48054    0.58643
     0.49753    0.58677
     0.51449    0.58738
     0.53140    0.58803
     0.54828    0.58844
     0.56518    0.58860
     0.58209    0.58881
     0.59894    0.58949
     0.61571    0.59007
     0.63249    0.58909
     0.64951    0.58577
     0.66682    0.58543
     0.68423    0.58718
     0.70159    0.59037
     0.71876    0.59506
     0.73568    0.60236
     0.75225    0.61170
     0.76830    0.62184
     0.78360    0.63510
     0.79835    0.63871
     0.81295    0.63923
     0.82761    0.63030
     0.84269    0.62039
     0.85797    0.61239
     0.87328    0.60454
     0.88863    0.59819
     0.90410    0.59218
     0.91949    0.58540
     0.93438    0.57765
     0.94823    0.56837
     0.96072    0.56537
     0.97191    0.54431
     0.98215    0.50074
     0.99166    0.44287
     0.99925    0.28889
